"age_band","records","deaths","complete_case_records","complete_case_deaths","baseline","survey","country"
"<1",8260,193,0,0,"previous_primary","AO62FL","AGO"
"1-5",7515,98,0,0,"previous_primary","AO62FL","AGO"
"6-11",7024,93,0,0,"previous_primary","AO62FL","AGO"
"12-23",6077,87,0,0,"previous_primary","AO62FL","AGO"
"24-35",5663,65,0,0,"previous_primary","AO62FL","AGO"
"36-47",5116,38,0,0,"previous_primary","AO62FL","AGO"
"48-59",4526,26,0,0,"previous_primary","AO62FL","AGO"
"<1",8260,193,0,0,"eligible_MAP","AO62FL","AGO"
"1-5",7515,98,0,0,"eligible_MAP","AO62FL","AGO"
"6-11",7024,93,0,0,"eligible_MAP","AO62FL","AGO"
"12-23",6077,87,0,0,"eligible_MAP","AO62FL","AGO"
"24-35",5663,65,0,0,"eligible_MAP","AO62FL","AGO"
"36-47",5116,38,0,0,"eligible_MAP","AO62FL","AGO"
"48-59",4526,26,0,0,"eligible_MAP","AO62FL","AGO"
"<1",8260,193,0,0,"regional_baseline","AO62FL","AGO"
"1-5",7515,98,0,0,"regional_baseline","AO62FL","AGO"
"6-11",7024,93,0,0,"regional_baseline","AO62FL","AGO"
"12-23",6077,87,0,0,"regional_baseline","AO62FL","AGO"
"24-35",5663,65,0,0,"regional_baseline","AO62FL","AGO"
"36-47",5116,38,0,0,"regional_baseline","AO62FL","AGO"
"48-59",4526,26,0,0,"regional_baseline","AO62FL","AGO"
"<1",14290,312,5986,139,"previous_primary","AO71FL","AGO"
"1-5",12767,133,4629,50,"previous_primary","AO71FL","AGO"
"6-11",12270,116,4290,40,"previous_primary","AO71FL","AGO"
"12-23",10560,79,2787,19,"previous_primary","AO71FL","AGO"
"24-35",10053,93,2725,24,"previous_primary","AO71FL","AGO"
"36-47",9525,54,2544,11,"previous_primary","AO71FL","AGO"
"48-59",8932,25,2496,12,"previous_primary","AO71FL","AGO"
"<1",14290,312,5986,139,"eligible_MAP","AO71FL","AGO"
"1-5",12767,133,4629,50,"eligible_MAP","AO71FL","AGO"
"6-11",12270,116,4290,40,"eligible_MAP","AO71FL","AGO"
"12-23",10560,79,2787,19,"eligible_MAP","AO71FL","AGO"
"24-35",10053,93,2725,24,"eligible_MAP","AO71FL","AGO"
"36-47",9525,54,2544,11,"eligible_MAP","AO71FL","AGO"
"48-59",8932,25,2496,12,"eligible_MAP","AO71FL","AGO"
"<1",14290,312,5986,139,"regional_baseline","AO71FL","AGO"
"1-5",12767,133,4629,50,"regional_baseline","AO71FL","AGO"
"6-11",12270,116,4290,40,"regional_baseline","AO71FL","AGO"
"12-23",10560,79,2787,19,"regional_baseline","AO71FL","AGO"
"24-35",10053,93,2725,24,"regional_baseline","AO71FL","AGO"
"36-47",9525,54,2544,11,"regional_baseline","AO71FL","AGO"
"48-59",8932,25,2496,12,"regional_baseline","AO71FL","AGO"
"<1",11400,185,11400,185,"previous_primary","AO81FL","AGO"
"1-5",10242,89,10242,89,"previous_primary","AO81FL","AGO"
"6-11",9981,62,9981,62,"previous_primary","AO81FL","AGO"
"12-23",8782,55,8782,55,"previous_primary","AO81FL","AGO"
"24-35",8523,46,8523,46,"previous_primary","AO81FL","AGO"
"36-47",8013,39,8013,39,"previous_primary","AO81FL","AGO"
"48-59",7763,22,7763,22,"previous_primary","AO81FL","AGO"
"<1",11400,185,11400,185,"eligible_MAP","AO81FL","AGO"
