"survey","country","year","type","eligible_rows","pfpr_available_rows","complete_case_rows","regions","status"
"AO62FL","AGO",2011,"MIS",44181,44181,0,,"Excluded: required covariates unavailable"
"AO71FL","AGO",2015,"DHS",78397,78397,78397,18,"Included in primary analysis"
"AO81FL","AGO",2023,"DHS",64704,64704,64704,18,"Included in primary analysis"
"BU61FL","BDI",2010,"DHS",42380,38604,38604,4,"Included in primary analysis"
"BU71FL","BDI",2016,"DHS",76022,76022,76022,18,"Included in primary analysis"
"BJ41FL","BEN",2001,"DHS",7397,1588,0,,"Excluded: required covariates unavailable"
"BJ51FL","BEN",2006,"DHS",88834,88834,0,,"Excluded: required covariates unavailable"
"BJ61FL","BEN",2012,"DHS",78271,78171,0,,"Excluded: required covariates unavailable"
"BJ71FL","BEN",2017,"DHS",74813,74813,74813,12,"Included in primary analysis"
"BF43FL","BFA",2003,"DHS",41968,40778,27893,13,"Included in primary analysis"
"BF62FL","BFA",2010,"DHS",84743,84743,84743,13,"Included in primary analysis"
"BF81FL","BFA",2021,"DHS",74127,74127,74127,13,"Included in primary analysis"
"CI62FL","CIV",2012,"DHS",42723,39785,39785,10,"Included in primary analysis"
"CI81FL","CIV",2021,"DHS",61165,61165,61165,14,"Included in primary analysis"
"CM44FL","CMR",2004,"DHS",38707,38707,28896,12,"Included in primary analysis"
"CM61FL","CMR",2011,"DHS",64649,64649,64649,12,"Included in primary analysis"
"CM71FL","CMR",2018,"DHS",55451,45974,45974,10,"Included in primary analysis"
"CD51FL","COD",2007,"DHS",47647,47647,47647,11,"Included in primary analysis"
"CD61FL","COD",2013,"DHS",102125,102125,102125,11,"Included in primary analysis"
"CD81FL","COD",2023,"DHS",137621,137621,137621,26,"Included in primary analysis"
"CG51FL","COG",2005,"DHS",25794,25794,20274,4,"Included in primary analysis"
"CG61FL","COG",2011,"DHS",51029,51029,51029,12,"Included in primary analysis"
"KM61FL","COM",2012,"DHS",17998,17998,17998,3,"Included in primary analysis"
"ET41FL","ETH",2000,"DHS",468,468,0,,"Excluded: required covariates unavailable"
"ET51FL","ETH",2005,"DHS",57107,57107,43574,11,"Included in primary analysis"
"ET61FL","ETH",2011,"DHS",68467,68312,68312,11,"Included in primary analysis"
"ET71FL","ETH",2016,"DHS",62705,62705,62705,11,"Included in primary analysis"
"ET81FL","ETH",2019,"DHS",33797,33797,33797,11,"Included in primary analysis"
"ET8AFL","ETH",2024,"DHS",81174,81174,76674,14,"Included in primary analysis"
"GA41FL","GAB",2000,"DHS",1508,1508,0,,"Excluded: required covariates unavailable"
"GA61FL","GAB",2012,"DHS",33506,33506,33506,10,"Included in primary analysis"
"GA71FL","GAB",2019,"DHS",36435,36435,36435,11,"Included in primary analysis"
"GH4BFL","GHA",2003,"DHS",15353,15353,0,,"Excluded: required covariates unavailable"
"GH5AFL","GHA",2008,"DHS",16772,16772,16772,10,"Included in primary analysis"
