"fit_id","subgroup","original_min_hessian","strict_min_hessian","original_max_gradient","strict_max_gradient","original_fREML","strict_fREML","strict_selected"
"sahel_age_7","sahel",-1.12661715774887e-05,1.46478793259299e-05,2.94945697274261e-05,2.31443106524236e-05,2603.60595128237,2603.52563451203,TRUE
"east_africa_age_7","east_africa",-2.9170612889774e-05,2.57015015486608e-05,5.02395700299539e-05,2.77814494804321e-05,3640.53386579554,3640.49246782544,TRUE
