"fit_id","subgroup","age_band","model_file","md5","selected_version","prepared_data_md5"
"sahel_age_1","sahel","<1","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_1.rds","51a61160de18f9477434fb6ae71846d9","original","9bac580948ac7c8a92240385a588fcd2"
"sahel_age_2","sahel","1-5","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_2.rds","a2dd8c5eee04ba54bc7b08aa68cf642f","original","9bac580948ac7c8a92240385a588fcd2"
"sahel_age_3","sahel","6-11","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_3.rds","2cb4d8e39f9945716b553faa6922e180","original","9bac580948ac7c8a92240385a588fcd2"
"sahel_age_4","sahel","12-23","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_4.rds","a60e29f7c6394b06f3195b182d7e95bd","original","9bac580948ac7c8a92240385a588fcd2"
"sahel_age_5","sahel","24-35","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_5.rds","a7e8390980821ee89bbdffa97b7df563","original","9bac580948ac7c8a92240385a588fcd2"
"sahel_age_6","sahel","36-47","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_6.rds","0fa01fc6fb746bbccc1345039281ea4a","original","9bac580948ac7c8a92240385a588fcd2"
"sahel_age_7","sahel","48-59","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/sahel_age_7_strict.rds","b97136ff712ca684b1b01097bdecf0d3","strict_restart","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_1","east_africa","<1","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_1.rds","9fffffd1f62342d2eed1ac745514e138","original","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_2","east_africa","1-5","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_2.rds","73ffb98f696cf322ebf05e662d6b7211","original","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_3","east_africa","6-11","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_3.rds","20ea63f3d59c63fdd181281f27c8895b","original","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_4","east_africa","12-23","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_4.rds","7d7b6c19412195572c583c79c53af770","original","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_5","east_africa","24-35","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_5.rds","dfc595ff97768de6585a9e9d4c03ba3f","original","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_6","east_africa","36-47","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_6.rds","f880d54080585eed85ca6a0ebdadd794","original","9bac580948ac7c8a92240385a588fcd2"
"east_africa_age_7","east_africa","48-59","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/east_africa_age_7_strict.rds","d80f3b94ab2ce4378cd615a723dc2ec3","strict_restart","9bac580948ac7c8a92240385a588fcd2"
"early_age_1","early","<1","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_1.rds","8b4206c080efde49c35fba0d53a6f0a7","original","9bac580948ac7c8a92240385a588fcd2"
"early_age_2","early","1-5","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_2.rds","5814e15c53e208c9e2f711740b7c38da","original","9bac580948ac7c8a92240385a588fcd2"
"early_age_3","early","6-11","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_3.rds","ee76775750ab9e8d560163945d1e978e","original","9bac580948ac7c8a92240385a588fcd2"
"early_age_4","early","12-23","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_4.rds","230c6b6663958ca28fbd6fc169705718","original","9bac580948ac7c8a92240385a588fcd2"
"early_age_5","early","24-35","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_5.rds","02bb929ece4f9331506d5f5600869cd0","original","9bac580948ac7c8a92240385a588fcd2"
"early_age_6","early","36-47","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_6.rds","a9f27cd0a82d3d9ba10afa39329fc15a","original","9bac580948ac7c8a92240385a588fcd2"
"early_age_7","early","48-59","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/early_age_7.rds","224c987505944431f3f7d64a544695e7","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_1","late","<1","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_1.rds","708bb95003140b354a2b9efe1ec0b955","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_2","late","1-5","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_2.rds","de62c376a25d86f7e5cc70f705238eab","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_3","late","6-11","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_3.rds","2e4ccf0ed1383ecd44d5ffe534fe4eed","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_4","late","12-23","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_4.rds","373514d4baa5a2897d3c66da29b9bd99","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_5","late","24-35","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_5.rds","5861302de922591e7d9989e6434d1f46","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_6","late","36-47","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_6.rds","45581b6279086e1d1e3a6b72d523e147","original","9bac580948ac7c8a92240385a588fcd2"
"late_age_7","late","48-59","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v3/late_age_7.rds","0d23795f494ab5c24f2b26ded9eb8ed8","original","9bac580948ac7c8a92240385a588fcd2"
