"subgroup","series","age_band","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max"
"map_full","Full analysis","<1",0.0164865959077473,1.74418423246995,63.5411089133486,94.7588284788529
"map_full","Full analysis","1-5",0.0164865959077473,1.71186420675262,63.5304360657503,94.7588284788529
"map_full","Full analysis","6-11",0.0164865959077473,1.71186420675262,63.5304360657503,94.7588284788529
"map_full","Full analysis","12-23",0.0164865959077473,1.68818322535867,63.1664103499948,94.7588284788529
"map_full","Full analysis","24-35",0.0164865959077473,1.66143275150509,62.9072879195487,94.7588284788529
"map_full","Full analysis","36-47",0.0164865959077473,1.65691527829735,63.18904408545,94.7588284788529
"map_full","Full analysis","48-59",0.0164865959077473,1.62295251492351,63.1664103499948,94.7588284788529
"sahel","Sahel (≥12°N)","<1",0.364760498555108,1.50751129369073,65.3159793858663,80.62991415684
"sahel","Sahel (≥12°N)","1-5",0.364760498555108,1.4928718005208,65.0269778284523,80.62991415684
"sahel","Sahel (≥12°N)","6-11",0.364760498555108,1.50526440198389,65.0269778284523,80.62991415684
"sahel","Sahel (≥12°N)","12-23",0.364760498555108,1.46255919596779,64.8021491662964,80.62991415684
"sahel","Sahel (≥12°N)","24-35",0.364760498555108,1.46255919596779,63.5411089133486,80.62991415684
"sahel","Sahel (≥12°N)","36-47",0.364760498555108,1.46255919596779,63.6602392578377,80.62991415684
"sahel","Sahel (≥12°N)","48-59",0.364760498555108,1.46255919596779,64.8021491662964,80.62991415684
"east_africa","Eastern Africa","<1",0.436512660235166,1.62295251492351,53.3264744290432,87.6830665543666
"east_africa","Eastern Africa","1-5",0.436512660235166,1.62295251492351,53.3674267276362,87.6830665543666
"east_africa","Eastern Africa","6-11",0.436512660235166,1.58047501561743,53.3264744290432,87.6830665543666
"east_africa","Eastern Africa","12-23",0.436512660235166,1.52248109901167,53.2528161423702,87.6830665543666
"east_africa","Eastern Africa","24-35",0.436512660235166,1.51243566540742,53.3264744290432,87.6830665543666
"east_africa","Eastern Africa","36-47",0.436512660235166,1.50964730078526,53.3264744290432,87.6830665543666
"east_africa","Eastern Africa","48-59",0.436512660235166,1.4493847695983,52.8878938293116,87.6830665543666
"early","Surveys up to median year","<1",0.0164865959077473,1.62295251492351,72.3430587087568,94.7588284788529
"early","Surveys up to median year","1-5",0.0164865959077473,1.62295251492351,72.2879183181127,94.7588284788529
"early","Surveys up to median year","6-11",0.0164865959077473,1.62295251492351,72.2879183181127,94.7588284788529
"early","Surveys up to median year","12-23",0.0164865959077473,1.51243566540742,71.1287334115602,94.7588284788529
"early","Surveys up to median year","24-35",0.0164865959077473,1.51136835806897,71.1004621802811,94.7588284788529
"early","Surveys up to median year","36-47",0.0164865959077473,1.4928718005208,71.568955382487,94.7588284788529
"early","Surveys up to median year","48-59",0.0164865959077473,1.39438596434118,71.1287334115602,94.7588284788529
"late","Surveys after median year","<1",0.0356479674097833,1.78501701505593,53.29039947187,87.6830665543666
"late","Surveys after median year","1-5",0.058423548480561,1.77153726358038,53.522501020021,87.6830665543666
"late","Surveys after median year","6-11",0.058423548480561,1.76768905979204,53.9442821099119,87.6830665543666
"late","Surveys after median year","12-23",0.058423548480561,1.75228032887322,54.0932079606818,87.6830665543666
"late","Surveys after median year","24-35",0.058423548480561,1.72053231100745,54.0932079525259,87.6830665543666
"late","Surveys after median year","36-47",0.058423548480561,1.74566449581994,54.0932079525259,87.6830665543666
"late","Surveys after median year","48-59",0.058423548480561,1.71198873135181,54.0932079525259,87.6830665543666
