"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","subgroup","age_band","gamma","input_verified"
"sahel_age_1",267851,7354,8,31,239,TRUE,15,305,305,TRUE,TRUE,5.366,0.0001960619051085,0.000196116622538284,"openMP not available: single threaded computation only","sahel","<1",2,TRUE
"sahel_age_2",240215,2618,8,31,239,TRUE,20,305,305,TRUE,TRUE,6.38,2.81249984045747e-05,0.000533560869839613,"openMP not available: single threaded computation only","sahel","1-5",2,TRUE
"sahel_age_3",232667,2189,8,31,239,TRUE,19,305,305,TRUE,TRUE,6.178,3.91296015502674e-05,3.9128304027093e-05,"openMP not available: single threaded computation only","sahel","6-11",2,TRUE
"sahel_age_4",203520,2312,8,31,239,TRUE,18,305,305,TRUE,TRUE,6.286,1.48288598484095e-05,0.000238562367388911,"openMP not available: single threaded computation only","sahel","12-23",2,TRUE
"sahel_age_5",203649,2326,8,31,239,TRUE,24,305,305,TRUE,TRUE,6.91200000000001,7.52738469060368e-05,7.53454098636771e-05,"openMP not available: single threaded computation only","sahel","24-35",2,TRUE
"sahel_age_6",197712,1300,8,31,239,TRUE,25,305,305,TRUE,TRUE,6.86399999999999,2.50366611290298e-05,3.99480516658116e-05,"openMP not available: single threaded computation only","sahel","36-47",2,TRUE
"sahel_age_7",193077,820,8,31,239,TRUE,18,305,305,TRUE,TRUE,4.756,1.46478793259299e-05,2.31443106524236e-05,"openMP not available: single threaded computation only","sahel","48-59",2,TRUE
"east_africa_age_1",471411,12676,12,51,447,TRUE,14,537,537,TRUE,TRUE,12.402,0.000327549580088359,0.000404197325613145,"openMP not available: single threaded computation only","east_africa","<1",2,TRUE
"east_africa_age_2",426284,5267,12,51,447,TRUE,19,537,537,TRUE,TRUE,16.026,0.000129783064969217,0.000129732499137416,"openMP not available: single threaded computation only","east_africa","1-5",2,TRUE
"east_africa_age_3",409024,4401,12,51,447,TRUE,20,537,537,TRUE,TRUE,16.19,7.62173715126671e-05,0.000122950735114759,"openMP not available: single threaded computation only","east_africa","6-11",2,TRUE
"east_africa_age_4",353006,3769,12,51,447,TRUE,22,537,537,TRUE,TRUE,17.733,6.53770228538236e-05,7.95700964578588e-05,"openMP not available: single threaded computation only","east_africa","12-23",2,TRUE
"east_africa_age_5",349020,2618,12,51,447,TRUE,20,537,537,TRUE,TRUE,15.666,7.37263456487696e-05,9.03350194447031e-05,"openMP not available: single threaded computation only","east_africa","24-35",2,TRUE
"east_africa_age_6",339848,1778,12,51,446,TRUE,17,536,536,TRUE,TRUE,13.344,3.76979575956399e-05,0.000156251235110844,"openMP not available: single threaded computation only","east_africa","36-47",2,TRUE
"east_africa_age_7",331809,1080,12,51,446,TRUE,18,536,536,TRUE,TRUE,13.605,2.57015015486608e-05,2.77814494804321e-05,"openMP not available: single threaded computation only","east_africa","48-59",2,TRUE
"early_age_1",629376,19345,34,72,560,TRUE,12,693,693,TRUE,TRUE,17.801,0.000266921554763753,0.000342262169858998,"openMP not available: single threaded computation only","early","<1",2,TRUE
"early_age_2",559973,8861,34,72,560,TRUE,15,693,693,TRUE,TRUE,22.118,0.000279274242641588,0.000279224866104781,"openMP not available: single threaded computation only","early","1-5",2,TRUE
"early_age_3",532203,8308,34,72,560,TRUE,16,693,693,TRUE,TRUE,22.795,0.000282985152902679,0.00028257543626965,"openMP not available: single threaded computation only","early","6-11",2,TRUE
"early_age_4",452818,8148,34,72,560,TRUE,13,693,693,TRUE,TRUE,19.068,0.000214772431825567,0.000214841241356534,"openMP not available: single threaded computation only","early","12-23",2,TRUE
"early_age_5",448336,6404,34,72,560,TRUE,19,693,693,TRUE,TRUE,24.731,0.52422016696146,2.13958547476967e-05,"openMP not available: single threaded computation only","early","24-35",2,TRUE
"early_age_6",431863,3819,34,72,559,TRUE,23,692,692,TRUE,TRUE,29.358,6.38595669902857e-05,9.11384363730132e-05,"openMP not available: single threaded computation only","early","36-47",2,TRUE
"early_age_7",421122,2120,34,72,559,TRUE,26,692,692,TRUE,TRUE,33.028,2.24184932487669e-05,6.4542471056344e-05,"openMP not available: single threaded computation only","early","48-59",2,TRUE
"late_age_1",711940,18900,35,63,667,TRUE,17,792,792,TRUE,TRUE,35.348,0.00049177629228752,0.000492291270542034,"openMP not available: single threaded computation only","late","<1",2,TRUE
"late_age_2",646393,7012,35,63,667,TRUE,17,792,792,TRUE,TRUE,34.977,9.53142185219558e-05,9.53330604220214e-05,"openMP not available: single threaded computation only","late","1-5",2,TRUE
"late_age_3",627802,6076,35,63,667,TRUE,22,792,792,TRUE,TRUE,44.008,0.000106568285737984,0.000185817235669713,"openMP not available: single threaded computation only","late","6-11",2,TRUE
"late_age_4",550461,5241,35,63,667,TRUE,22,792,792,TRUE,TRUE,44.3099999999999,0.0234628586676771,2.93630209924345e-06,"openMP not available: single threaded computation only","late","12-23",2,TRUE
"late_age_5",546317,5084,35,63,667,TRUE,21,792,792,TRUE,TRUE,42.125,8.48503143663847e-05,8.48667188815921e-05,"openMP not available: single threaded computation only","late","24-35",2,TRUE
"late_age_6",531188,2913,35,63,667,TRUE,24,792,792,TRUE,TRUE,46.1,4.8094523776816e-05,8.58308281365232e-05,"openMP not available: single threaded computation only","late","36-47",2,TRUE
"late_age_7",517330,1756,35,63,667,TRUE,21,792,792,TRUE,TRUE,40.076,5.02533267117692e-05,8.61740899724606e-05,"openMP not available: single threaded computation only","late","48-59",2,TRUE
