"subgroup","records","deaths","distinct_children","surveys","countries","survey_regions","countries_list"
"map_full",7607122,103987,2325130,135,37,1227,"AGO BDI BEN BFA CAF CIV CMR COD COG COM ETH GAB GHA GIN GMB GNB KEN LBR MDG MLI MOZ MRT MWI NAM NER NGA RWA SEN SLE SWZ TCD TGO TZA UGA ZAF ZMB ZWE"
"sahel",1538691,18919,468275,31,8,239,"BFA GMB GNB MLI MRT NER SEN TCD"
"east_africa",2680402,31589,828170,51,12,447,"BDI COM ETH KEN MDG MOZ MWI RWA TZA UGA ZMB ZWE"
"early",3475691,57005,1099661,72,34,560,"BDI BEN BFA CIV CMR COD COG COM ETH GAB GHA GIN GMB GNB KEN LBR MDG MLI MOZ MRT MWI NAM NER NGA RWA SEN SLE SWZ TCD TGO TZA UGA ZMB ZWE"
"late",4131431,46982,1225469,63,35,667,"AGO BDI BEN BFA CAF CIV CMR COD COG COM ETH GAB GHA GIN GMB GNB KEN LBR MDG MLI MOZ MRT MWI NGA RWA SEN SLE SWZ TCD TGO TZA UGA ZAF ZMB ZWE"
