"year","countries","under5_person_years","model_deaths","ihme_malaria_deaths","who_cacode_deaths","model_rate_per100000","ihme_malaria_rate_per100000","who_cacode_rate_per100000"
2004,42,122832161.765571,1024569.1988741,584453.040478886,668525,834.121279107274,475.81434054245,544.258922411462
2005,42,126350910.756313,973147.614140256,564066.526910137,610848,770.194380329496,446.428540588858,483.453578880896
2006,42,129881373.032834,923856.79402259,554937.729927586,592624,711.308151777111,427.265062702483,456.280978682126
2007,42,133401540.603534,878640.728070287,536695.125596742,586803,658.643613930654,402.315537863079,439.877228812494
2008,42,136899633.557023,839102.376035768,523508.878986053,564897,612.932521609894,382.403418755678,412.635874415764
2009,42,140334919.273811,821080.861380264,512614.088464976,582299,585.08663818606,365.279070325184,414.935215706264
2010,42,143670458.524793,802985.844310207,493613.981409873,521487,558.9081099589,343.573749592154,362.974410574465
2011,42,146877706.067324,774132.194778174,466206.53550503,489046,527.059017672389,317.411367584498,332.961354785755
2012,42,149944339.868488,755641.667943378,450122.710264977,463032,503.948110749716,300.193198796145,308.802586617216
2013,42,152913484.317387,751198.711966389,441161.752620604,443941,491.257337650615,288.504152913636,290.321682212509
2014,42,155809274.264136,721728.382367853,422381.860657935,431452,463.2127232326,271.089036678197,276.910345701618
2015,42,158554858.301487,694533.528813846,416121.688943615,416815,438.039891211161,262.446508042265,262.883776924349
2016,42,161120449.540599,657008.360394093,399457.771192791,408679,407.774656952246,247.924935867397,253.648125464683
2017,42,163557868.933093,640672.614721003,391929.926110506,413605,391.710052778374,239.62767958956,252.879915040464
2018,42,165838176.84716,635958.406804236,394470.024526765,400709,383.481306231647,237.864424239491,241.626510625055
2019,42,168113044.343543,635858.674056487,396709.770868792,419148,378.232799566163,235.977982801922,249.325090528646
2020,42,170363657.734106,627945.661765201,442134.532961011,419523,368.591324063529,259.523972918608,246.251463240339
2021,42,172440566.82942,597714.239133511,433442.929786364,429619,346.620432838624,251.357866513586,249.140331593194
2022,42,174369708.753716,580728.537829264,411776.616828822,462939,333.044392847785,236.151462184539,265.492787313114
2023,42,176249413.849184,576952.088706648,400147.764677009,437626,327.349791472409,227.034947769763,248.299265479813
2024,42,177450737.801667,592353.175637189,428146.804091449,440123,333.812743173403,241.276429388521,248.025455093861
