"draw","converged","iterations","elapsed_seconds"
10,TRUE,3,67.294
45,TRUE,4,78.75
61,TRUE,3,61.832
125,TRUE,3,63.79
137,TRUE,3,64.666
146,TRUE,3,66.447
153,TRUE,3,63.2479999999999
158,TRUE,4,74.1410000000001
175,TRUE,3,56.232
184,TRUE,4,66.91
