"age_band","pfpr_pct","estimate","within_variance","between_variance","total_se","df","lower_95","upper_95","monte_carlo_se","imputations"
"<1",1.76782403096607,0.0231753065294497,0.000179805845230515,2.25645326996766e-06,0.0135014052538052,48542.2993003955,-0.00328762134105669,0.049638234399956,0.000475021396356802,10
"<1",10.0982480366669,0.0125717553937595,5.25510400510462e-05,6.7043033378235e-07,0.00729989817861912,46991.2542935505,-0.00173615065905788,0.026879661446577,0.000258926694989595,10
"<1",10.536691405388,0.0120141510906788,4.79748839557758e-05,6.12673042178263e-07,0.00697487091652397,46896.917097723,-0.00165669753393441,0.0256849997152921,0.000247522330745786,10
"<1",10.9751347741091,0.011456614182585,4.36093891256999e-05,5.57496282512741e-07,0.00665001015310984,46801.7854184555,-0.00157750329610925,0.0244907316612792,0.000236113591839339,10
"<1",11.4135781428302,0.0108991474782527,3.94542570509934e-05,5.04902227195075e-07,0.00632531813436352,46705.9338496631,-0.0014985695373579,0.0232968644938633,0.000224700295325813,10
"<1",11.8520215115513,0.0103417537864566,3.55091782986487e-05,4.54893216653972e-07,0.00600079668352196,46609.4381132027,-0.00141989702093649,0.0221034045938498,0.000213282258205874,10
"<1",12.2904648802724,0.00978443591597155,3.17738337432314e-05,4.07471759564221e-07,0.00567644718805276,46512.3750544284,-0.00134148565606641,0.0209103574880095,0.00020185929742378,10
"<1",12.7289082489935,0.00922719667557212,2.82478958459103e-05,3.62640533082244e-07,0.00535227058661096,46414.8226451045,-0.0012633344723727,0.0197177278235169,0.000190431229865861,10
"<1",13.1673516177146,0.00867003887403301,2.49310299817643e-05,3.20402383090536e-07,0.005028267355975,46316.8599968991,-0.00118544159428157,0.0185255193423476,0.000178997872359013,10
"<1",13.6057949864357,0.00811296532012896,2.18228958153633e-05,2.80760324451005e-07,0.00470443749796503,46218.5673904087,-0.00110780421538328,0.0173337348556412,0.0001675590416692,10
"<1",14.0442383551568,0.00755597882263464,1.8923148724626e-05,2.43717541267191e-07,0.00438078052634686,46120.026327574,-0.00103041857276724,0.0161423762180365,0.000156114554499954,10
"<1",14.4826817238779,0.00699908219032476,1.62314412729516e-05,2.09277387155383e-07,0.00405729545372562,46021.3196202984,-0.000953279921336581,0.0149514443019861,0.000144664227490898,10
"<1",14.921125092599,0.006442278231974,1.37474247296284e-05,1.77443385524627e-07,0.00373398077843279,45922.5315369162,-0.000876382508110136,0.0137609389720581,0.000133207877216262,10
"<1",15.3595684613201,0.00588556975635707,1.14707506385167e-05,1.4821922986562e-07,0.00341083447141149,45823.7480444908,-0.000799719546520809,0.012570859059235,0.000121745320183414,10
"<1",15.7980118300412,0.00532895957224867,9.40107243500752e-06,1.21608784048497e-07,0.00308785396310461,45725.0572165869,-0.000723283190719736,0.0113812023352171,0.000110276372831399,10
"<1",16.2364551987623,0.00477245048842349,7.53804711125717e-06,9.76160826295105e-08,0.00276503613035158,45626.5499410672,-0.000647064509897237,0.0101919654867442,9.88008515294836e-05,10
"<1",16.6748985674834,0.00421604531365622,5.88133692969656e-06,7.62453311665977e-08,0.00244237728329998,45528.3212043807,-0.000571053462633152,0.00900314408994559,8.73185725757113e-05,10
"<1",17.1133419362045,0.00365974685672158,4.4306111848165e-06,5.75009065438406e-08,0.00211987315234066,45430.4725648455,-0.000495238871292898,0.00781473258473606,7.58293521954662e-05,10
"<1",17.5517853049256,0.00310355792639424,3.18554801322792e-06,4.13873573048132e-08,0.00179751887507843,45333.1173052871,-0.000419608396493782,0.00662672424928227,6.43330065400438e-05,10
"<1",17.9902286736467,0.00254748133144891,2.14583625199804e-06,2.79094039948251e-08,0.00147530898336327,45236.3923578727,-0.000344148511689476,0.0054391111745873,5.28293516852376e-05,10
"<1",18.4286720423678,0.00199151988066028,1.31117734526168e-06,1.70719395120506e-08,0.00115323739044697,45140.4902366632,-0.000268844478000607,0.00425188423932117,4.13182036299384e-05,10
"<1",18.8671154110889,0.00143567638280307,6.81287299107983e-07,8.88002946755071e-09,0.000831297378512821,45045.7652335154,-0.000193680319776404,0.00306503308538254,2.97993782947744e-05,10
"<1",19.3055587798099,0.000879953529827606,2.5589868680238e-07,3.33891561091232e-09,0.000509481593361706,44953.1621943692,-0.000118638931055178,0.00187854599071039,1.82726998851082e-05,10
"<1",19.744002148531,0.000324350798624691,3.47627785381906e-08,4.54036456082798e-10,0.00018778237041821,44863.6864347415,-4.37058140172396e-05,0.000692407411266621,6.73822273365016e-06,10
"<1",2.20626739968717,0.022616955388811,0.000171192314617506,2.14985652234158e-06,0.0131741093358178,48475.6051449093,-0.00320446916057979,0.0484383799382018,0.000463665452922856,10
"<1",2.64471076840826,0.02205861827644,0.00016279175778193,2.04583071814153e-06,0.0128468740000004,48406.937464859,-0.0031214216777089,0.0472386582305888,0.000452308602410072,10
"<1",20,0,0,0,0,Inf,0,0,0,10
"<1",20.1824455172521,-0.000231135872992084,1.76505862290488e-08,2.30759699386752e-10,0.000133807405992248,44777.2910584269,-0.000493400658817753,3.11289128335851e-05,4.80374540735405e-06,10
"<1",20.6208888859732,-0.000786510729024263,2.04351127725327e-07,2.67416805071798e-09,0.000455294094603825,44693.8551124645,-0.00167889492367473,0.0001058734656262,1.63528836928475e-05,10
"<1",21.0593322546943,-0.00134177801347342,5.94669034706251e-07,7.78905091856663e-09,0.000776683327178248,44613.2624121457,-0.00286409066269395,0.000180534635747108,2.79088712035557e-05,10
"<1",21.4977756234154,-0.00189694197034108,1.18842227297252e-06,1.55799038762135e-08,0.00109798003954369,44535.4014563936,-0.0040490017913545,0.000255117850672334,3.94713869482863e-05,10
"<1",21.9362189921365,-0.00245200684362884,1.98543998528992e-06,2.60509281515559e-08,0.00141918850272141,44460.1653476114,-0.00523364092222874,0.000329627234971048,5.10401098662178e-05,10
"<1",22.3746623608576,-0.00300697687733824,2.98556045678353e-06,3.92060301405603e-08,0.00174031235413019,44387.4517157909,-0.00641801942613816,0.00040406567146168,6.26147188291701e-05,10
"<1",22.8131057295787,-0.00356185631547084,4.18862920288308e-06,5.50488209443484e-08,0.00206135462885983,44317.1626466921,-0.00760214749344481,0.00047843486250313,7.41948926438663e-05,10
"<1",23.2515490982998,-0.00411664940202821,5.5944971798189e-06,7.35826159299105e-08,0.0023823177910056,44249.2046139101,-0.00878603419546175,0.000552735391405323,8.57803100541788e-05,10
"<1",23.6899924670209,-0.0046713603810119,7.20301911766879e-06,9.48104343144485e-08,0.00270320376505632,44183.4884146544,-0.00996968754596874,0.000626966783944942,9.73706497433639e-05,10
"<1",24.128435835742,-0.00522599349642347,9.01405197595584e-06,1.18734998773351e-07,0.00302401396732993,44119.9291090758,-0.0111531145628208,0.000701127569973825,0.000108965590336285,10
"<1",24.5668792044631,-0.00578055299226447,1.10274535217969e-05,1.45358735071797e-07,0.00334474933745055,44058.4459629835,-0.0123363213296378,0.000775215345108821,0.000120564810401625,10
"<1",25.0053225731842,-0.00633504311253648,1.32430810306023e-05,1.74683771719987e-07,0.00366541036986233,43998.9623938056,-0.0135193130575665,0.000849226832493524,0.000132167988454083,10
"<1",25.4437659419053,-0.00688946810124105,1.56607901093256e-05,2.0671193965201e-07,0.00398599714537564,43941.4059196504,-0.0147020941471055,0.00092315794462344,0.000143774802956572,10
"<1",25.8822093106264,-0.00744383220237975,1.82804336422651e-05,2.41444771928334e-07,0.00430650936274221,43885.7081113386,-0.015884668249987,0.000997003845227548,0.000155384932322389,10
"<1",26.3206526793475,-0.00799813965995412,2.11018608594159e-05,2.78883503461926e-07,0.00462694637025587,43831.80454728,-0.0170670383311086,0.00107075901120034,0.000166998054917393,10
"<1",26.7590960480686,-0.00855239471796573,2.41249165273723e-05,3.19029070768014e-07,0.00494730719737688,43779.6347710777,-0.0182492067305111,0.0011444172945796,0.000178613849062164,10
"<1",27.1975394167897,-0.00910660162041614,2.73494402627817e-05,3.61882111737458e-07,0.00526759058637751,43729.1422517507,-0.0194311752253984,0.00121797198456615,0.000190231993034152,10
"<1",27.6359827855108,-0.00966076461130691,3.07752659683493e-05,4.0744296543377e-07,0.00558779502400781,43680.2743464728,-0.0206129450921967,0.00129141586958284,0.000201852165069828,10
"<1",28.0744261542319,-0.0102148879346396,3.44022213913928e-05,4.55711671913756e-07,0.00590791877318045,43632.9822657294,-0.0217945171686502,0.00136474129937098,0.000213474043366812,10
"<1",28.512869522953,-0.0107689758344158,3.82301278049495e-05,5.06687972071782e-07,0.00622795990467412,43587.2210408077,-0.0229758919159545,0.00143794024712304,0.000225097306086009,10
"<1",28.9513128916741,-0.0113230325546369,4.22587998114324e-05,5.60371307507685e-07,0.00654791632885538,43542.9494935328,-0.0241570694809254,0.0015110043716515,0.000236721631353724,10
"<1",29.3897562603952,-0.0118770623393047,4.6488045268839e-05,6.16760820418294e-07,0.00686778582741913,43500.130208181,-0.0253380497582036,0.00158392507959412,0.000248346697263784,10
"<1",29.8281996291163,-0.0124310694324207,5.09176653395091e-05,6.75855353512602e-07,0.00718756608514822,43458.7295054945,-0.0265188324524981,0.0016566935876567,0.000259972181879639,10
"<1",3.08315413712936,0.0215002980011113,0.000154604253391614,1.94437486864909e-06,0.0125197070951012,48336.3457787814,-0.00303849146478101,0.0460390874670036,0.000440950662619878,10
"<1",3.52159750585046,0.0209419973715996,0.000146629854979179,1.8454881505479e-06,0.0121926162879335,48263.8811258055,-0.00295569073756548,0.0448396854807646,0.000429591451328807,10
"<1",3.96004087457155,0.0203837191966796,0.000138868591255571,1.74916990598141e-06,0.0118656090510412,48189.5960438534,-0.00287303133109043,0.0436404697244496,0.000418230786286879,10
"<1",30.2666429978374,-0.0129850580779864,5.5547454661435e-05,7.37653449950548e-07,0.00750725472169292,43418.7174187391,-0.0276994171408674,0.00172930098489472,0.000271597763236472,10
"<1",30.7050863665585,-0.0135390325200033,6.0377201642122e-05,8.02153353305446e-07,0.00782684932337132,43380.0676717485,-0.0288798033350425,0.00180173829503595,0.000283223119343292,10
"<1",31.1435297352796,-0.0140929970024731,6.54066888749991e-05,8.69353007550029e-07,0.00814634747499173,43342.7576589023,-0.0300599905437923,0.00187399653884618,0.000294847928185027,10
"<1",31.5819731040007,-0.0146469557693972,7.06356936783815e-05,9.39250057066137e-07,0.00846574679169855,43306.7684269962,-0.0312399783353353,0.00194606679654082,0.000306471867724615,10
