"survey","country","reason","records","deaths"
"AO62FL","AGO","wasting_pct",44181,600
"BJ41FL","BEN","political_stability",338,12
"BJ41FL","BEN","mean_wealth_quintile",1250,26
"BJ51FL","BEN","electricity_pct",83796,1591
"BJ51FL","BEN","political_stability",5038,117
"BJ61FL","BEN","wasting_pct",78171,854
"BF43FL","BFA","political_stability",12885,316
"CM44FL","CMR","political_stability",9811,229
"CG51FL","COG","political_stability",5520,85
"ET41FL","ETH","mean_wealth_quintile",468,23
"ET51FL","ETH","political_stability",13533,247
"ET8AFL","ETH","log_health_expenditure_pc",4500,70
"GA41FL","GAB","mean_wealth_quintile",1508,34
"GH4BFL","GHA","political_stability",4877,59
"GH4BFL","GHA","wasting_pct",10476,199
"GN52FL","GIN","political_stability",8565,212
"KE42FL","KEN","political_stability",7404,125
"LB5AFL","LBR","wasting_pct",22821,428
"MD42FL","MDG","political_stability",7031,88
"MD51FL","MDG","wasting_pct",73129,777
"ML41FL","MLI","mean_wealth_quintile",8446,306
"ML41FL","MLI","political_stability",541,34
"ML53FL","MLI","political_stability",6510,220
"ML8AFL","MLI","log_health_expenditure_pc",105,3
"MZ41FL","MOZ","political_stability",12593,277
"MW41FL","MWI","mean_wealth_quintile",3157,125
"MW4EFL","MWI","political_stability",12453,290
"MW81FL","MWI","log_health_expenditure_pc",1606,33
"NM41FL","NAM","mean_wealth_quintile",1266,22
"NM51FL","NAM","political_stability",136,2
"NI51FL","NER","political_stability",8965,279
"NG4BFL","NGA","political_stability",7191,185
"NG61FL","NGA","wasting_pct",32266,668
"NG8BFL","NGA","log_health_expenditure_pc",575,28
"RW41FL","RWA","mean_wealth_quintile",2196,72
"RW53FL","RWA","political_stability",9628,235
"RW5AFL","RWA","wasting_pct",30338,467
"SN4AFL","SEN","political_stability",13020,242
"SN5AFL","SEN","wasting_pct",87342,1301
"ST51FL","STP","log_hiv_incidence",10839,92
"SZ51FL","SWZ","political_stability",529,8
"TD41FL","TCD","wasting_pct",22698,611
"TD41FL","TCD","political_stability",7251,176
"TZ4IFL","TZA","political_stability",10380,173
"UG41FL","UGA","mean_wealth_quintile",3388,90
"UG41FL","UGA","political_stability",29,1
"UG52FL","UGA","political_stability",4680,113
"UG5AFL","UGA","wasting_pct",20657,263
"ZM42FL","ZMB","mean_wealth_quintile",8895,256
"ZM42FL","ZMB","political_stability",4383,127
"ZM81FL","ZMB","log_health_expenditure_pc",461,6
"ZW52FL","ZWE","log_health_expenditure_pc",29737,392
"ZW62FL","ZWE","log_health_expenditure_pc",26271,318
