"imputation","age_band","converged","iterations","elapsed_seconds"
1,"<1",TRUE,3,4919.71
1,"1-5",TRUE,4,3087.696
1,"6-11",TRUE,4,2158.698
1,"12-23",TRUE,4,2992.779
1,"24-35",TRUE,3,16.375
1,"36-47",TRUE,3,16.506
1,"48-59",TRUE,3,16.256
2,"<1",TRUE,3,20.58
2,"1-5",TRUE,4,24.325
2,"6-11",TRUE,4,24.52
2,"12-23",TRUE,4,21
2,"24-35",TRUE,3,16.914
2,"36-47",TRUE,3,17.241
2,"48-59",TRUE,3,16.963
3,"<1",TRUE,3,21.739
3,"1-5",TRUE,4,25.738
3,"6-11",TRUE,3,19.45
3,"12-23",TRUE,3,16.607
3,"24-35",TRUE,3,16.339
3,"36-47",TRUE,3,16.787
3,"48-59",TRUE,3,16.372
4,"<1",TRUE,3,20.621
4,"1-5",TRUE,4,24.898
4,"6-11",TRUE,4,24.313
4,"12-23",TRUE,4,20.802
4,"24-35",TRUE,3,16.575
4,"36-47",TRUE,3,16.56
4,"48-59",TRUE,3,16.497
5,"<1",TRUE,3,20.619
5,"1-5",TRUE,4,25.158
5,"6-11",TRUE,4,24.572
5,"12-23",TRUE,4,21.924
5,"24-35",TRUE,3,16.732
5,"36-47",TRUE,3,17.482
5,"48-59",TRUE,3,16.633
6,"<1",TRUE,3,20.827
6,"1-5",TRUE,4,25.402
6,"6-11",TRUE,4,25.206
6,"12-23",TRUE,4,20.707
6,"24-35",TRUE,3,16.7
6,"36-47",TRUE,3,16.7569999999999
6,"48-59",TRUE,3,16.597
7,"<1",TRUE,3,21.186
7,"1-5",TRUE,4,25.6769999999999
7,"6-11",TRUE,3,19.806
7,"12-23",TRUE,3,16.6089999999999
7,"24-35",TRUE,3,16.6460000000001
7,"36-47",TRUE,3,16.55
7,"48-59",TRUE,3,16.467
8,"<1",TRUE,3,21.02
8,"1-5",TRUE,4,24.909
8,"6-11",TRUE,4,24.3490000000002
8,"12-23",TRUE,4,20.9259999999999
8,"24-35",TRUE,4,21.779
8,"36-47",TRUE,4,20.3400000000001
8,"48-59",TRUE,3,16.5140000000001
9,"<1",TRUE,3,20.9739999999999
9,"1-5",TRUE,4,24.721
9,"6-11",TRUE,3,20.2060000000001
9,"12-23",TRUE,3,16.4880000000001
9,"24-35",TRUE,3,16.6000000000001
9,"36-47",TRUE,3,16.8710000000001
9,"48-59",TRUE,3,16.1369999999999
10,"<1",TRUE,3,20.8909999999998
10,"1-5",TRUE,3,19.9569999999999
10,"6-11",TRUE,3,19.239
10,"12-23",TRUE,3,16.5659999999998
10,"24-35",TRUE,3,16.7199999999998
10,"36-47",TRUE,3,16.4920000000002
10,"48-59",TRUE,3,16.405
