"age_band","contrast","point_hr","point_lower_95","point_upper_95","pooled_hr","pooled_lower_95","pooled_upper_95","between_imputation_share","pooled_df"
"<1","40% to 20%",0.947478415753497,0.919543342616731,0.976262136555892,0.947373646704864,0.919371449233146,0.976228734555002,0.00521322931759697,331153.120316147
"1-5","40% to 20%",0.918237301429079,0.881552043285185,0.956449194529282,0.91778129632888,0.88077192071337,0.956345778154339,0.0180644149382578,27580.0283732374
"6-11","40% to 20%",0.814780948883724,0.776836798801752,0.854578459321004,0.814339869054226,0.776320651728062,0.854221024334605,0.00526118086433088,325144.225729247
"12-23","40% to 20%",0.854310467587697,0.800538489910016,0.911694296063076,0.853465090049728,0.799596296057815,0.910963024122016,0.00551100795055486,296333.284240466
"24-35","40% to 20%",0.85402691309094,0.79490663469705,0.917544195063373,0.853642646836789,0.794498422744514,0.917189698100694,0.00141188658138247,4514845.4468697
"36-47","40% to 20%",0.847074324274515,0.783130108155792,0.916239719776402,0.846099637453723,0.782160245889561,0.915265893736567,0.00167678185086163,3201027.31593529
"48-59","40% to 20%",0.981434314355739,0.889722478302747,1.08259972843708,0.980376667782108,0.888579220563585,1.08165753653562,0.00403031548282054,554069.728958245
"<1","20% to 0%",0.93859215958222,0.892633411169087,0.986917172275036,0.938202066893457,0.892130864089839,0.986652467428271,0.00648655363931191,213901.82104265
"1-5","20% to 0%",0.904951511359562,0.845547102984552,0.968529411337734,0.90447587365023,0.844695228389618,0.968487305859395,0.0140597343897797,45529.017334618
"6-11","20% to 0%",0.757630171930998,0.695943414579661,0.824784695702427,0.75710074427016,0.695240634590243,0.824464952788987,0.00809199202910257,137445.845384408
"12-23","20% to 0%",0.589667414812112,0.521393148205547,0.666881912982339,0.588959737835001,0.520496885970234,0.666427758052928,0.0092348880420219,105530.802340136
"24-35","20% to 0%",0.508761127226871,0.442899478570012,0.584416774237047,0.509215284016814,0.443080468822407,0.585221474928644,0.00780986375965274,147555.56513377
"36-47","20% to 0%",0.584044651636929,0.50345002827458,0.677541237359236,0.584320782822573,0.503604841103086,0.677973580417778,0.00253395607724608,1401665.37127147
"48-59","20% to 0%",0.572103520932868,0.480238201487182,0.681541863288276,0.5716658199799,0.479717563711856,0.681237950106798,0.0038171931435251,617666.772901034
