"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"AGO","0 to 6 days (early neonatal)",18780.0952316926,77324.7561629315,24287.2996484088,16175.2688967014,22241.0836240614,72886.0897662842,82258.7606179812
"AGO","7 to 27 days (late neonatal)",4323.69461402839,5989.1146767718,72192.5501075714,3576.23944588,5218.46440120913,5477.39441737489,6541.35224967576
"AGO","1 to 5 months",14004.8175195865,2686.68145887388,521268.253567234,11645.4804767631,17122.6676900749,2362.793358072,2984.56773787627
"AGO","6-11 months",12587.0121600579,2049.17947480698,614246.449118055,10121.1763877188,15424.8992977887,1753.40532217186,2315.646932731
"AGO","12 to 23 months",9549.89195093778,790.204727929548,1208533.89171182,7733.1776711765,11506.3639614446,654.833142810188,916.933861549113
"AGO","2 to 4",19251.065480143,542.768247390582,3546829.71465162,15514.9119148818,22797.4927771374,448.117775520864,622.912749254603
"BDI","0 to 6 days (early neonatal)",10122.2786858057,102529.991586363,9872.5051364892,8371.07645122743,11872.6840501536,97172.1344591073,108680.139271615
"BDI","7 to 27 days (late neonatal)",3503.30236910893,12000.6545581534,29192.5940550363,2870.18047909001,4292.17463253003,10216.4551560809,13670.3781292474
"BDI","1 to 5 months",8031.47064184046,3823.74262703805,210042.134767365,6222.513838696,9999.03314869927,3201.56823233672,4392.30400175845
"BDI","6-11 months",5926.38470230452,2408.44611626285,246066.734160547,4603.68628519343,7580.63985527384,2001.9170887441,2854.16094552345
"BDI","12 to 23 months",5913.73896196694,1222.92570676228,483573.035489104,4416.28843423561,7356.52346267337,951.93327715723,1503.86813702668
"BDI","2 to 4",10286.5808706999,733.443273446585,1402505.31201429,7707.47366575121,12864.9415891173,572.798198116775,883.293246796942
"BEN","0 to 6 days (early neonatal)",8666.26336877421,88403.4240905677,9803.08563602217,7557.87838951961,9978.35967327476,84192.1763252845,93368.0432132894
"BEN","7 to 27 days (late neonatal)",1704.41125368221,5856.60488813232,29102.3773370129,1414.70356538609,1971.31382443432,5059.5841669435,6462.07625940167
"BEN","1 to 5 months",4404.79258584387,2092.74623195191,210479.059457462,3597.18690076648,5208.099896915,1757.07396307083,2383.93146143995
"BEN","6-11 months",4854.89795617045,1957.19268963082,248054.163593172,3674.19362896929,6039.26996508691,1534.81521498085,2404.67788656069
"BEN","12 to 23 months",4515.40258182857,930.213653810863,485415.642237678,3542.5430931002,5325.99941863445,739.154094281123,1066.75264504626
"BEN","2 to 4",9847.66328490842,707.623026534978,1391653.87722465,7787.31076345511,12364.4600231852,567.74273960289,853.683887562542
"BFA","0 to 6 days (early neonatal)",16001.150155782,81680.4123309906,19589.9478211999,14042.0740411738,18160.81101434,76065.5455431536,86996.6023405971
"BFA","7 to 27 days (late neonatal)",4392.95041855646,7552.53051333845,58165.2786545928,3636.47348498615,5059.16519241003,6443.88162951312,8422.18606289321
"BFA","1 to 5 months",8456.34007287264,2010.35490888719,420639.163537227,6918.84837097616,9785.43018319746,1738.4295640789,2260.92339865073
"BFA","6-11 months",6488.56180636557,1317.23904686528,492588.025067039,5122.6092541244,7915.59946526611,1073.73540318751,1510.31393408853
"BFA","12 to 23 months",7753.95745860433,816.352604741172,949829.450358984,6075.1212181323,9148.89287853685,662.015648997106,946.16526422259
"BFA","2 to 4",11391.0606400026,434.280510474059,2622973.02440952,8878.89743829368,13822.8734745328,342.189787314794,517.180325556156
"BWA","0 to 6 days (early neonatal)",274.572579967934,29631.0481300956,926.638095157547,237.564846711993,313.937573272844,27873.4979620654,31691.3989001448
"BWA","7 to 27 days (late neonatal)",87.0006323892851,3140.54088056715,2770.24358853668,71.0211335167141,99.9517679724328,2891.81039733607,3403.00847546237
"BWA","1 to 5 months",355.470850680171,1759.20314379581,20206.3560387447,295.88357578903,403.649200793085,1640.00529976564,1896.32437015881
"BWA","6-11 months",186.875061084911,782.312698993176,23887.5147144379,158.111233413799,213.281794131621,715.924218577458,852.694071896194
"BWA","12 to 23 months",144.522878150639,298.700451321683,48383.8834227258,127.162644249244,162.987741551813,269.850165515704,340.064519680544
"BWA","2 to 4",123.811083358606,83.0825910471772,149021.692508725,107.469328672128,143.703695488989,71.5769472504516,98.0073881698021
"CAF","0 to 6 days (early neonatal)",7668.49037878293,142905.33378073,5366.13307278595,6259.19640328676,9254.1835282009,133809.054569322,149585.786121897
"CAF","7 to 27 days (late neonatal)",1631.90353497046,10286.701206575,15864.2066314456,1233.71234078162,2057.05479540361,9064.83198493762,11361.3870088023
"CAF","1 to 5 months",6385.50969065786,5585.01695979777,114332.861236093,4936.77043122718,8116.37458493957,4941.34563010121,6086.99567844472
"CAF","6-11 months",4947.95283222689,3705.82047421443,133518.416951263,3596.34346608968,6149.85606260687,3158.00320237359,4223.6304551885
"CAF","12 to 23 months",2318.4496928125,899.830485749966,257654.050349292,1774.51935264523,2959.50821855951,786.453987267154,1016.82584943058
"CAF","2 to 4",7179.32411792122,1007.19810687321,712801.589769564,5297.03072000537,8884.49739627142,846.470185373857,1142.23262119196
"CIV","0 to 6 days (early neonatal)",24522.2901353265,113159.550407436,21670.543977095,22195.1960925913,27475.7766065321,106443.181178507,119993.284759113
"CIV","7 to 27 days (late neonatal)",4649.56342770546,7240.93378138215,64212.207542353,3888.62780512069,5291.34749366589,6361.75894680085,7968.63058403089
"CIV","1 to 5 months",13963.6947725235,3009.41457013726,464000.371071727,11913.3816980154,16067.061014512,2598.0248088483,3298.68541107208
"CIV","6-11 months",10004.8549002906,1835.70708908105,545013.687630251,8092.082768556,11832.4285565951,1507.98639475362,2072.83456969923
"CIV","12 to 23 months",9612.16851986281,904.185413067156,1063074.93805465,7814.69228502552,11169.5867663493,754.001209323178,1023.2778358567
"CIV","2 to 4",13396.9385949194,450.711767658911,2972396.00920692,10651.2156984945,15786.2914363451,364.578991001576,512.892677099751
"CMR","0 to 6 days (early neonatal)",19922.2304216382,97310.9148515959,20472.7603804985,15827.4055054614,23825.8358584899,90227.9273150404,102380.36648288
"CMR","7 to 27 days (late neonatal)",4569.77880105457,7526.35523802946,60717.0224701089,3487.54078416258,5589.0899380495,6741.94401080023,8391.68146900972
"CMR","1 to 5 months",10877.3979642973,2475.6380639855,439377.553711787,8531.56945221692,13218.8671203215,2167.31362587614,2701.15457804089
"CMR","6-11 months",10673.3827934628,2059.28635239209,518304.935157002,8121.16833046161,13414.2073586749,1765.79352006837,2309.69557381495
"CMR","12 to 23 months",10911.6649484588,1064.06100790514,1025473.6210982,8199.98737307568,12975.0077111803,930.681940143369,1214.15590606491
"CMR","2 to 4",19204.5047353461,636.882039925152,3015394.30089802,14908.7183190743,23902.2374923434,539.28847559521,732.396997386444
"COD","0 to 6 days (early neonatal)",47307.6175464699,80354.9483500693,58873.3096316266,33095.8598634035,63678.8159579632,75013.7121910797,86209.7601283456
"COD","7 to 27 days (late neonatal)",9773.87146082543,5584.09462673232,175030.548623508,6895.05492665837,13374.8543541258,5090.66495340417,6089.19613369904
"COD","1 to 5 months",37739.5575580428,2995.21924603686,1259993.15769549,27447.6278400292,50243.018167326,2662.51973362242,3388.55689637001
"COD","6-11 months",36734.8272721318,2463.78054071001,1490994.29373468,25102.602095771,51678.8092148018,2098.08954258661,2941.03228953219
"COD","12 to 23 months",24710.7895108883,844.815351331746,2924992.95519841,17221.7844572296,33450.0628010909,721.774173745898,1022.69638876899
"COD","2 to 4",51327.8288739456,598.769516690725,8572218.09781231,35921.4866488013,73123.7406515888,490.802197568611,713.79937744094
"COG","0 to 6 days (early neonatal)",2168.40571869182,76931.1518010511,2818.63155292339,1840.46777507148,2473.45221058572,73195.4665322563,81335.9522599895
"COG","7 to 27 days (late neonatal)",479.436246715918,5722.79319325089,8377.66158108484,388.11376360903,559.005040293225,4883.41108695609,6395.72144566612
"COG","1 to 5 months",1403.23265162331,2312.46395767442,60681.276651529,1167.76931060655,1711.55474829358,2000.14783722635,2640.52611033092
