"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction"
"AGO","Angola",20.3401829769949,"estimated",0.997135198338393,FALSE,78496.5769564463,63577.9516139099,14918.6253425364,0.190054470156246
"BDI","Burundi",23.4246685162394,"estimated",0.903118502531811,TRUE,43783.7562317263,35260.1792097646,8523.57702196171,0.194674412511584
"BEN","Benin",36.4070797441475,"estimated",1,FALSE,33993.4310312077,26013.4029853641,7980.02804584368,0.234752062494592
"BFA","Burkina Faso",20.8912355688325,"estimated",1,FALSE,54484.0205521835,45169.7635652428,9314.25698694074,0.170953921765369
"BWA","Botswana",0.0785030798269115,"estimated",0.500006041684288,TRUE,1172.25308563155,1171.37219173331,0.880893898234623,0.000751453682683246
"CAF","Central African Republic",33.7356038277751,"estimated",1,FALSE,30131.6302473719,24346.0629288014,5785.56731857042,0.192009767512498
"CIV","Cote d'Ivoire",21.6015841554766,"estimated",0.999044906250652,FALSE,76149.5103506282,64426.6187667613,11722.8915838669,0.153945725059678
"CMR","Cameroon",25.1740174516115,"estimated",0.994188327616715,FALSE,76158.9596642578,60133.5557131892,16025.4039510686,0.210420468211694
"COD","Democratic Republic of the Congo",36.0589155594133,"estimated",0.967916469947541,FALSE,207594.492222304,161735.111080315,45859.3811419889,0.220908467517915
"COG","Congo",23.0367800311056,"estimated",0.999607704919486,FALSE,7790.75347139419,6405.11348477646,1385.63998661772,0.177856993127233
"COM","Comoros",2.05693091322994,"estimated",0.977875023773357,FALSE,991.364747730025,974.745456399441,16.6192913305837,0.0167640531586762
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,171.633171400473,,,
"DJI","Djibouti",4.3967566637446,"estimated",0.900244405140964,TRUE,1619.05851447361,1572.2353797752,46.8231346984092,0.0289199768135819
"ERI","Eritrea",1.01244593723427,"estimated",0.941587510523092,TRUE,11415.5571326635,11235.0779779396,180.47915472394,0.0158099296097895
"ETH","Ethiopia",3.96841512486915,"estimated",0.827585277262,TRUE,191455.600459436,185866.961076786,5588.63938264955,0.0291902632737747
"GAB","Gabon",18.3938632660677,"estimated",0.999284909726468,FALSE,1762.17544190006,1526.34852124413,235.826920655932,0.133827151967145
"GHA","Ghana",16.1544407206884,"estimated",0.999730304961018,FALSE,39450.0929558237,34637.0837060381,4813.00924978563,0.122002481849035
"GIN","Guinea",21.3998882059171,"estimated",0.996935005435981,FALSE,41823.6813861269,33825.8269796213,7997.85440650555,0.191227891506425
"GMB","The Gambia",7.44118125415429,"estimated",0.99989435444155,FALSE,4149.15874769844,3891.31356243201,257.845185266421,0.0621439672341892
"GNB","Guinea-Bissau",6.4586512545087,"estimated",0.996068689009789,FALSE,5124.05416089457,4791.35618934951,332.697971545061,0.0649286602167721
"GNQ","Equatorial Guinea",22.7935103595535,"estimated",0.967788791016353,FALSE,2267.52069426983,1912.82129307255,354.699401197282,0.15642609220442
"KEN","Kenya",4.56636270936913,"estimated",0.822215895130027,TRUE,40835.6314958744,39243.5088648364,1592.12263103796,0.0389885639750377
"LBR","Liberia",15.076632247439,"estimated",0.999979141849584,FALSE,14929.2413209443,13037.2690486308,1891.97227231351,0.126729298002522
"LSO","Lesotho",,"missing_MAP_no_estimate",0,TRUE,2500.22260683638,,,
"MDG","Madagascar",9.56229188686996,"estimated",0.965066759112986,FALSE,56616.2699064943,50898.8943289898,5717.37557750448,0.100984674316184
"MLI","Mali",17.8255590399717,"estimated",0.97767054940682,FALSE,87756.7145398564,72926.5131268185,14830.2014130379,0.168992213197572
"MOZ","Mozambique",24.0344454120773,"estimated",0.999790945132115,FALSE,75208.0645451154,62996.6515560605,12211.4129890549,0.162368398427932
"MRT","Mauritania",2.77377496776398,"estimated",0.840119682930452,TRUE,5487.39520476196,5374.97881128496,112.416393476999,0.0204862943677621
"MWI","Malawi",19.1757235989892,"estimated",0.999764978481837,FALSE,34215.8271722914,28776.7141443985,5439.11302789292,0.158964826438497
"NAM","Namibia",0.94567686375632,"estimated",0.611389973186959,TRUE,2453.1860336331,2428.36602337114,24.8200102619587,0.0101174594676788
"NER","Niger",17.3368601964551,"estimated",0.952363358910006,FALSE,137095.733919724,107769.280162175,29326.4537575487,0.213912227018827
"NGA","Nigeria",24.7045606738025,"estimated",0.999968748812492,FALSE,733038.1657058,575774.407790265,157263.757915534,0.214536930371305
"RWA","Rwanda",2.95274596542956,"estimated",0.814603360177058,TRUE,19235.6005186113,18560.6193232762,674.981195335088,0.0350902065512337
"SEN","Senegal",6.76968783303698,"estimated",0.99558981120801,FALSE,23309.1314317423,22094.3026886367,1214.82874310563,0.0521181472017991
