"age_band","start_month","end_month","cumulative_hazard","death_probability","counterfactual_death_probability","survival_end","counterfactual_survival_end"
"<1",0,0.919917864476386,0.0186105578538498,0.0184384507455692,0.0195942625275944,0.981561549254431,0.980405737472406
"1-5",0.919917864476386,6,0.0126799664864736,0.0125999144211487,0.0120970785564956,0.969193957734735,0.968545692248963
"6-11",6,12,0.01231890270355,0.0122433356410228,0.00871205720614608,0.957327790808937,0.960107666771324
"12-23",12,24,0.00844815351331746,0.00841256814515238,0.00453264402055236,0.949274205531509,0.955755840496446
"24-35",24,36,0.00598769516690725,0.00596980464567396,0.00246635730385971,0.943607223969308,0.953398605098531
"36-47",36,48,0.00598769516690725,0.00596980464567396,0.00293435743666592,0.937974073179965,0.950600992811553
"48-59",48,60,0.00598769516690725,0.00596980464567396,0.00348705969488281,0.932374551200373,0.947286190403605
