"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","variant","age_band","input_verified","re_sd_survey","re_sd_country","re_sd_region"
"main_age_1",355586,11945,8,27,276,TRUE,11,339,339,TRUE,TRUE,6.025,0.000105573037832613,0.000260223165860749,"openMP not available: single threaded computation only","main","<1",TRUE,0.00159537330620655,0.128249579809348,0.0548147794835646
"main_age_2",319496,4698,8,27,276,TRUE,20,339,339,TRUE,TRUE,9.379,0.000145656602829327,0.000128721008658558,"openMP not available: single threaded computation only","main","1-5",TRUE,0.0576675426598178,0.13708546643634,0.0033964176737285
"main_age_3",308447,4808,8,27,276,TRUE,18,339,339,TRUE,TRUE,8.489,0.000157702942537947,0.000157690627160749,"openMP not available: single threaded computation only","main","6-11",TRUE,0.114476686029664,0.141730300017353,0.000776482881531415
"main_age_4",266090,5546,8,27,276,TRUE,13,339,339,TRUE,TRUE,6.093,0.687000096285974,0.000176173041509742,"openMP not available: single threaded computation only","main","12-23",TRUE,0.117958904068682,0.201507168662871,0.115910768819963
"main_age_5",265598,4950,8,27,276,TRUE,15,339,339,TRUE,TRUE,7.02,0.000127078630912916,0.00012709787038594,"openMP not available: single threaded computation only","main","24-35",TRUE,0.0910718489730739,0.218418296489898,0.0918838902692383
"main_age_6",254785,2721,8,27,276,TRUE,21,339,339,TRUE,TRUE,8.97199999999999,8.64974824115304e-05,8.72444695728196e-05,"openMP not available: single threaded computation only","main","36-47",TRUE,0.000838456362482246,0.109403221964435,0.0556829701777328
"main_age_7",249242,1472,8,27,276,TRUE,17,339,339,TRUE,TRUE,7.346,2.57518976234691e-05,5.83535670484358e-05,"openMP not available: single threaded computation only","main","48-59",TRUE,0.0559051261024991,0.132261679558839,0.000778108568569561
"no_smc_age_1",355586,11945,8,27,276,TRUE,14,338,338,TRUE,TRUE,7.372,0.000206878217806411,0.000202873241941513,"openMP not available: single threaded computation only","no_smc","<1",TRUE,0.00184546900569054,0.130792066159819,0.0564770157428879
"no_smc_age_2",319496,4698,8,27,276,TRUE,21,338,338,TRUE,TRUE,9.82300000000001,8.61046654963635e-05,8.36503315729837e-05,"openMP not available: single threaded computation only","no_smc","1-5",TRUE,0.0552170668208688,0.136866558991089,0.00210787786359374
"no_smc_age_3",308447,4808,8,27,276,TRUE,18,338,338,TRUE,TRUE,8.58499999999999,0.000126124109854733,0.000126118904409188,"openMP not available: single threaded computation only","no_smc","6-11",TRUE,0.12071827419701,0.138192798232102,0.000650150538891424
