"iso3","regkey","unit_type","clusters","clusters_admin2","clusters_admin1","clusters_national","clusters_none","rounds","first_year_main","first_year_confirmed","earliest_cluster_year","national_start","status_basis"
"BFA","boucledumouhoun","analysis_region",131,131,0,0,0,4,2016,2016,2014,2014,"confirmed"
"BFA","cascades","analysis_region",98,98,0,0,0,4,2016,2016,2016,2014,"confirmed"
"BFA","centre","analysis_region",152,152,0,0,0,4,2019,2019,2019,2014,"confirmed"
"BFA","centreest","analysis_region",126,126,0,0,0,4,2016,2016,2014,2014,"confirmed"
"BFA","centrenord","analysis_region",112,112,0,0,0,4,2015,2015,2014,2014,"confirmed"
"BFA","centreouest","analysis_region",127,127,0,0,0,4,2016,2016,2016,2014,"confirmed"
"BFA","centresud","analysis_region",107,106,0,0,1,4,2016,2016,2016,2014,"confirmed"
"BFA","est","analysis_region",111,111,0,0,0,4,2015,2015,2014,2014,"confirmed"
"BFA","hautsbassins","analysis_region",140,140,0,0,0,4,2016,2016,2016,2014,"confirmed"
"BFA","nord","analysis_region",123,123,0,0,0,4,2016,2016,2014,2014,"confirmed"
"BFA","plateaucentral","analysis_region",107,107,0,0,0,4,2015,2015,2014,2014,"confirmed"
"BFA","sahel","analysis_region",87,86,0,0,1,4,2015,2015,2014,2014,"confirmed"
"BFA","sudouest","analysis_region",106,106,0,0,0,4,2018,2018,2017,2014,"confirmed"
"CIV","abidjan","analysis_region",52,0,0,52,0,1,2025,,2025,2023,"national"
"CIV","bassassandra","analysis_region",43,0,0,43,0,1,2025,,2025,2023,"national"
"CIV","centre","analysis_region",27,0,0,27,0,1,2025,,2025,2023,"national"
"CIV","centreest","analysis_region",32,0,0,32,0,1,2025,,2025,2023,"national"
"CIV","centrenord","analysis_region",37,4,0,33,0,1,2025,2023,2023,2023,"national"
"CIV","centreouest","analysis_region",31,0,0,31,0,1,2025,,2025,2023,"national"
"CIV","comoe","analysis_region",37,0,0,37,0,1,2025,,2025,2023,"national"
"CIV","denguele","analysis_region",32,0,0,32,0,1,2025,,2025,2023,"national"
"CIV","gohdjiboua","analysis_region",39,0,0,39,0,1,2025,,2025,2023,"national"
"CIV","lacs","analysis_region",36,0,0,36,0,1,2025,,2025,2023,"national"
"CIV","lagunes","analysis_region",39,0,0,39,0,1,2025,,2025,2023,"national"
"CIV","montagnes","analysis_region",44,0,0,44,0,1,2025,,2025,2023,"national"
"CIV","nord","analysis_region",29,1,0,28,0,1,2025,2023,2023,2023,"national"
"CIV","nordest","analysis_region",30,0,0,30,0,1,2025,,2025,2023,"national"
"CIV","nordouest","analysis_region",30,0,0,30,0,1,2025,,2025,2023,"national"
"CIV","ouest","analysis_region",29,0,0,29,0,1,2025,,2025,2023,"national"
"CIV","sassandramarahoue","analysis_region",42,0,0,42,0,1,2025,,2025,2023,"national"
"CIV","savanes","analysis_region",38,3,0,35,0,1,2025,2023,2023,2023,"national"
"CIV","sudouest","analysis_region",34,0,0,34,0,1,2025,,2025,2023,"national"
"CIV","sudsansabidjan","analysis_region",27,0,0,27,0,1,2025,,2025,2023,"national"
"CIV","valleedubandama","analysis_region",37,5,0,32,0,1,2025,2023,2023,2023,"national"
"CIV","villedabidjan","analysis_region",45,0,0,45,0,1,2025,,2025,2023,"national"
"CIV","woroba","analysis_region",33,0,0,33,0,1,2025,,2025,2023,"national"
"CIV","yamoussoukro","analysis_region",32,0,0,32,0,1,2025,,2025,2023,"national"
"CIV","zanzan","analysis_region",35,0,0,35,0,1,2025,,2025,2023,"national"
