"term","k'","edf","k-index","p-value"
"s(pfpr_pct):age_band<1",4,1.01309200562277,0.896225960493528,0.75
"s(pfpr_pct):age_band1-5",4,1.0018895069677,0.896225960493528,0.805
"s(pfpr_pct):age_band6-11",4,2.81717904808139,0.896225960493528,0.835
"s(pfpr_pct):age_band12-23",4,3.62972494075193,0.896225960493528,0.8
"s(pfpr_pct):age_band24-35",4,3.80193979611223,0.896225960493528,0.775
"s(pfpr_pct):age_band36-47",4,3.54028235169923,0.896225960493528,0.83
"s(pfpr_pct):age_band48-59",4,3.62578733814278,0.896225960493528,0.815
"s(calendar_year)",5,3.79214868032373,0.891697245591492,0.67
"s(survey)",105,72.2355154505466,,
"s(country_age)",238,159.600038085677,,
"s(region)",1015,652.516325220096,,
