"survey","country","variable","pfpr_available_rows","missing_rows"
"AO62FL","AGO","sex",44181,0
"AO62FL","AGO","multiple_birth",44181,0
"AO62FL","AGO","birth_order",44181,0
"AO62FL","AGO","maternal_age_birth",44181,0
"AO62FL","AGO","maternal_education_years",44181,0
"AO62FL","AGO","wealth_quintile",44181,0
"AO62FL","AGO","urban",44181,0
"AO62FL","AGO","log_hiv_incidence",44181,0
"AO62FL","AGO","log_gdp_pc",44181,0
"AO62FL","AGO","log_health_expenditure_pc",44181,0
"AO62FL","AGO","political_stability",44181,0
"AO71FL","AGO","sex",78397,0
"AO71FL","AGO","multiple_birth",78397,0
"AO71FL","AGO","birth_order",78397,0
"AO71FL","AGO","maternal_age_birth",78397,0
"AO71FL","AGO","maternal_education_years",78397,0
"AO71FL","AGO","wealth_quintile",78397,0
"AO71FL","AGO","urban",78397,0
"AO71FL","AGO","log_hiv_incidence",78397,0
"AO71FL","AGO","log_gdp_pc",78397,0
"AO71FL","AGO","log_health_expenditure_pc",78397,0
"AO71FL","AGO","political_stability",78397,0
"AO81FL","AGO","sex",64704,0
"AO81FL","AGO","multiple_birth",64704,0
"AO81FL","AGO","birth_order",64704,0
"AO81FL","AGO","maternal_age_birth",64704,0
"AO81FL","AGO","maternal_education_years",64704,0
"AO81FL","AGO","wealth_quintile",64704,0
"AO81FL","AGO","urban",64704,0
"AO81FL","AGO","log_hiv_incidence",64704,0
"AO81FL","AGO","log_gdp_pc",64704,0
"AO81FL","AGO","log_health_expenditure_pc",64704,0
"AO81FL","AGO","political_stability",64704,0
"BU61FL","BDI","sex",38604,0
"BU61FL","BDI","multiple_birth",38604,0
"BU61FL","BDI","birth_order",38604,0
"BU61FL","BDI","maternal_age_birth",38604,0
"BU61FL","BDI","maternal_education_years",38604,7
"BU61FL","BDI","wealth_quintile",38604,0
"BU61FL","BDI","urban",38604,0
"BU61FL","BDI","log_hiv_incidence",38604,0
"BU61FL","BDI","log_gdp_pc",38604,0
"BU61FL","BDI","log_health_expenditure_pc",38604,0
"BU61FL","BDI","political_stability",38604,0
"BU71FL","BDI","sex",76022,0
"BU71FL","BDI","multiple_birth",76022,0
"BU71FL","BDI","birth_order",76022,0
"BU71FL","BDI","maternal_age_birth",76022,0
"BU71FL","BDI","maternal_education_years",76022,0
"BU71FL","BDI","wealth_quintile",76022,0
"BU71FL","BDI","urban",76022,0
"BU71FL","BDI","log_hiv_incidence",76022,0
"BU71FL","BDI","log_gdp_pc",76022,0
"BU71FL","BDI","log_health_expenditure_pc",76022,0
"BU71FL","BDI","political_stability",76022,0
"BJ41FL","BEN","sex",1588,0
"BJ41FL","BEN","multiple_birth",1588,0
"BJ41FL","BEN","birth_order",1588,0
"BJ41FL","BEN","maternal_age_birth",1588,0
"BJ41FL","BEN","maternal_education_years",1588,0
"BJ41FL","BEN","wealth_quintile",1588,1588
"BJ41FL","BEN","urban",1588,0
"BJ41FL","BEN","log_hiv_incidence",1588,0
"BJ41FL","BEN","log_gdp_pc",1588,0
"BJ41FL","BEN","log_health_expenditure_pc",1588,0
"BJ41FL","BEN","political_stability",1588,338
"BJ51FL","BEN","sex",88834,0
"BJ51FL","BEN","multiple_birth",88834,0
"BJ51FL","BEN","birth_order",88834,0
"BJ51FL","BEN","maternal_age_birth",88834,1
"BJ51FL","BEN","maternal_education_years",88834,81
"BJ51FL","BEN","wealth_quintile",88834,0
"BJ51FL","BEN","urban",88834,0
"BJ51FL","BEN","log_hiv_incidence",88834,0
"BJ51FL","BEN","log_gdp_pc",88834,0
"BJ51FL","BEN","log_health_expenditure_pc",88834,0
"BJ51FL","BEN","political_stability",88834,5038
"BJ61FL","BEN","sex",78171,0
"BJ61FL","BEN","multiple_birth",78171,0
"BJ61FL","BEN","birth_order",78171,0
"BJ61FL","BEN","maternal_age_birth",78171,0
"BJ61FL","BEN","maternal_education_years",78171,0
"BJ61FL","BEN","wealth_quintile",78171,0
"BJ61FL","BEN","urban",78171,0
"BJ61FL","BEN","log_hiv_incidence",78171,0
"BJ61FL","BEN","log_gdp_pc",78171,0
"BJ61FL","BEN","log_health_expenditure_pc",78171,0
"BJ61FL","BEN","political_stability",78171,0
"BJ71FL","BEN","sex",74813,0
"BJ71FL","BEN","multiple_birth",74813,0
"BJ71FL","BEN","birth_order",74813,0
"BJ71FL","BEN","maternal_age_birth",74813,0
"BJ71FL","BEN","maternal_education_years",74813,0
"BJ71FL","BEN","wealth_quintile",74813,0
"BJ71FL","BEN","urban",74813,0
"BJ71FL","BEN","log_hiv_incidence",74813,0
"BJ71FL","BEN","log_gdp_pc",74813,0
"BJ71FL","BEN","log_health_expenditure_pc",74813,0
"BJ71FL","BEN","political_stability",74813,0
"BF43FL","BFA","sex",40778,0
"BF43FL","BFA","multiple_birth",40778,0
"BF43FL","BFA","birth_order",40778,0
"BF43FL","BFA","maternal_age_birth",40778,0
"BF43FL","BFA","maternal_education_years",40778,0
"BF43FL","BFA","wealth_quintile",40778,0
"BF43FL","BFA","urban",40778,0
"BF43FL","BFA","log_hiv_incidence",40778,0
"BF43FL","BFA","log_gdp_pc",40778,0
"BF43FL","BFA","log_health_expenditure_pc",40778,0
"BF43FL","BFA","political_stability",40778,12885
"BF62FL","BFA","sex",84743,0
"BF62FL","BFA","multiple_birth",84743,0
"BF62FL","BFA","birth_order",84743,0
