"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","series","age_band","gamma","input_verified","nuisance_hash"
"map_matched_age_1",620695,18761,31,69,587,TRUE,13,711,711,TRUE,TRUE,15.53,0.000511412996772903,0.000505856416875937,"openMP not available: single threaded computation only","map_matched","<1",2,TRUE,"16912cc3524e442ddcf50b9b48f2e2131edb54ed9cacbff1f9be2948e4855b37"
"snow_matched_age_1",620695,18761,31,69,587,TRUE,12,711,711,TRUE,TRUE,15.462,0.000368234851446619,0.000408626761776887,"openMP not available: single threaded computation only","snow_matched","<1",2,TRUE,"16912cc3524e442ddcf50b9b48f2e2131edb54ed9cacbff1f9be2948e4855b37"
"map_full_age_1",1042571,30086,34,105,1015,TRUE,12,1178,1178,TRUE,TRUE,47.718,0.000109699762217206,0.000109580474469636,"openMP not available: single threaded computation only","map_full","<1",2,TRUE,"821bdb72b2a84d852c4f034b88b8e20b0c75a3c4246d91b7e8ec15a3ec25438c"
"snow_full_age_1",620799,18763,31,69,587,TRUE,12,711,711,TRUE,TRUE,18.05,0.000517266358850746,0.000564998989485588,"openMP not available: single threaded computation only","snow_full","<1",2,TRUE,"882da2562a887a7439a9069b6cbbf87537d5ab2aaac31deb861a8c377d26494e"
"map_matched_age_2",552072,8278,31,69,587,TRUE,15,711,711,TRUE,TRUE,16.102,0.000300046284777819,0.000300020225785351,"openMP not available: single threaded computation only","map_matched","1-5",2,TRUE,"ff96e3780b6509d21f23e593f69cc7ace57b31d19937e181232e5cc30530527d"
"snow_matched_age_2",552072,8278,31,69,587,TRUE,13,711,711,TRUE,TRUE,14.441,0.00021374050557401,0.000465185008321711,"openMP not available: single threaded computation only","snow_matched","1-5",2,TRUE,"ff96e3780b6509d21f23e593f69cc7ace57b31d19937e181232e5cc30530527d"
"map_full_age_2",935677,12137,34,105,1015,TRUE,19,1178,1178,TRUE,TRUE,72.118,0.00021675041009273,0.000216728381537136,"openMP not available: single threaded computation only","map_full","1-5",2,TRUE,"940003f9b55aa7a1785791aff1b6188aa32334fbc7a21fe856c0f6accca21450"
"snow_full_age_2",552179,8278,31,69,587,TRUE,14,711,711,TRUE,TRUE,18.886,0.000127228240820572,0.000354455639937967,"openMP not available: single threaded computation only","snow_full","1-5",2,TRUE,"bcfb92fe0faee5f1651407555eff6d153272e071eadae302219b9cb8d2df5c8b"
"map_matched_age_3",524193,8046,31,69,587,TRUE,15,711,711,TRUE,TRUE,16.664,0.000351184587161822,0.000351042766325265,"openMP not available: single threaded computation only","map_matched","6-11",2,TRUE,"fc6549664b86f6041cbdee5222912d2245d1f4c49217134a4a7bb76860b74658"
"snow_matched_age_3",524193,8046,31,69,587,TRUE,16,711,711,TRUE,TRUE,18.303,0.000250215359843521,0.000250287631075506,"openMP not available: single threaded computation only","snow_matched","6-11",2,TRUE,"fc6549664b86f6041cbdee5222912d2245d1f4c49217134a4a7bb76860b74658"
"map_full_age_3",895573,11291,34,105,1015,TRUE,15,1178,1178,TRUE,TRUE,58.64,0.275006751335292,1.93083143287254e-05,"openMP not available: single threaded computation only","map_full","6-11",2,TRUE,"c36b1d1c7c4935919c25b1f8c5e3083a81ec62827ba1f2794c6ac6ffc26efd6e"
"snow_full_age_3",524318,8046,31,69,587,TRUE,17,711,711,TRUE,TRUE,23.221,0.000266711992220743,0.000266793321423137,"openMP not available: single threaded computation only","snow_full","6-11",2,TRUE,"daa7dc4009ac9bd5358d0c2b3961d42c96954cc8b092a664b77b8851fadc7e68"
"map_matched_age_4",446236,7854,31,69,587,TRUE,14,711,711,TRUE,TRUE,15.021,0.000261196110380997,0.000261322190642157,"openMP not available: single threaded computation only","map_matched","12-23",2,TRUE,"4e8c7d467f1aa76bd2088aad15e80f8673550346ea8dae9d5427638cae940115"
"snow_matched_age_4",446236,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,18.485,0.000178134857934155,0.000178185654855702,"openMP not available: single threaded computation only","snow_matched","12-23",2,TRUE,"4e8c7d467f1aa76bd2088aad15e80f8673550346ea8dae9d5427638cae940115"
"map_full_age_4",772578,11062,34,105,1015,TRUE,15,1178,1178,TRUE,TRUE,51.134,0.359751517868746,2.42318529330987e-05,"openMP not available: single threaded computation only","map_full","12-23",2,TRUE,"3482788c0b69ce79a19e30fd94eebd655a78c0b56e2d8bc71e20c767a83c7fb8"
"snow_full_age_4",446360,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,20.835,0.000180944892529931,0.000180997329120819,"openMP not available: single threaded computation only","snow_full","12-23",2,TRUE,"c894f30d9279466c920c40f71baf5131cf5f29b35f6e842d3ab469d552119ca7"
"map_matched_age_5",443238,6363,31,69,587,TRUE,16,711,711,TRUE,TRUE,19.522,7.52076284267257e-05,7.52260578203477e-05,"openMP not available: single threaded computation only","map_matched","24-35",2,TRUE,"dcac90433781b3c4bedf9fb64ac07ad8393fa7481b69eace6c1ff0927f104e94"
"snow_matched_age_5",443238,6363,31,69,587,TRUE,15,711,711,TRUE,TRUE,14.472,0.000220067144199817,0.000220552665816911,"openMP not available: single threaded computation only","snow_matched","24-35",2,TRUE,"dcac90433781b3c4bedf9fb64ac07ad8393fa7481b69eace6c1ff0927f104e94"
"map_full_age_5",768240,9168,34,105,1015,TRUE,19,1178,1178,TRUE,TRUE,59.501,0.171381452777479,1.78807855135688e-05,"openMP not available: single threaded computation only","map_full","24-35",2,TRUE,"08533f2d2d65e6aa134690427535a7fe44e6fd0c9fd34589d83b8614bcd24c48"
"snow_full_age_5",443341,6363,31,69,587,TRUE,15,711,711,TRUE,TRUE,15.792,0.00022437405015559,0.000224876260567027,"openMP not available: single threaded computation only","snow_full","24-35",2,TRUE,"a495ee73f35b536c3c19aed923bf8580018923d0228b7394abe5b15745a63b62"
"map_matched_age_6",426757,3801,31,69,587,TRUE,20,711,711,TRUE,TRUE,17.484,0.00010397198527341,0.000103985306463554,"openMP not available: single threaded computation only","map_matched","36-47",2,TRUE,"42e4ba905a31c0628fcee5dcdeeb494b654f096f0f90d90cb344de7aa811346a"
"snow_matched_age_6",426757,3801,31,69,587,TRUE,18,711,711,TRUE,TRUE,16.402,5.7293725768046e-05,0.000175613431519395,"openMP not available: single threaded computation only","snow_matched","36-47",2,TRUE,"42e4ba905a31c0628fcee5dcdeeb494b654f096f0f90d90cb344de7aa811346a"
"map_full_age_6",744682,5477,34,105,1013,TRUE,17,1176,1176,TRUE,TRUE,55.75,8.71066529557906e-05,9.73573801310579e-05,"openMP not available: single threaded computation only","map_full","36-47",2,TRUE,"eaa9526892a335f155c33bd84d8a559e077c4869c14f736d7e12e08eee5fefae"
