"series","age_band","log_hazard_ratio","standard_error","pfpr_min","hazard_ratio_20_to_zero","attributable_fraction_at_20pct","lower_95","upper_95","zero_below_observed_support"
"map_matched","<1",-0.0530233763195526,0.0284724901758928,0.0164865959077473,0.948357843107189,0.0516421568928107,-0.0027865797409421,0.10311663842244,TRUE
"snow_matched","<1",-0.0424493104389875,0.0188358792041793,0.0281661902385298,0.958439047144203,0.0415609528557971,0.005515719450642,0.0762997213156095,TRUE
"map_full","<1",-0.0320369187951657,0.0252543879401451,0.0164865959077473,0.968470826643105,0.031529173356895,-0.0176150279909271,0.0783000287343026,TRUE
"snow_full","<1",-0.0420427990003953,0.0186998864988753,0.0281661902385298,0.958828742782561,0.0411712572174388,0.00537651598454858,0.0756778089791162,TRUE
"map_matched","1-5",-0.0985606230909203,0.0365811586376424,0.0164865959077473,0.906140757895579,0.0938592421044211,0.0265039893863159,0.15655424966563,TRUE
"snow_matched","1-5",-0.0828055224817513,0.0153675046557577,0.0281661902385298,0.920530152232815,0.0794698477671855,0.0513214031640603,0.1067830938782,TRUE
"map_full","1-5",-0.106487532098437,0.0340195407961338,0.0164865959077473,0.898986256563512,0.101013743436488,0.0390272556167341,0.159001861172713,TRUE
"snow_full","1-5",-0.0828239213404234,0.0153572953494555,0.0281661902385298,0.920513215684447,0.0794867843155528,0.0513578403544642,0.106781654563681,TRUE
"map_matched","6-11",-0.25118257134316,0.0493168331218729,0.0164865959077473,0.77788033993542,0.22211966006458,0.143174996990842,0.29379065604651,TRUE
"snow_matched","6-11",-0.16300207969557,0.0288546603348857,0.0281661902385298,0.849589421525397,0.150410578474603,0.100977255847179,0.197125779228159,TRUE
"map_full","6-11",-0.292398973419667,0.0465220601555285,0.0164865959077473,0.746470654604186,0.253529345395814,0.182264002173454,0.318583944370521,TRUE
"snow_full","6-11",-0.162721677067094,0.0287753612215596,0.0281661902385298,0.849827682035193,0.150172317964807,0.100864892230091,0.196775787184451,TRUE
"map_matched","12-23",-0.632996436516187,0.0760799273977628,0.0164865959077473,0.530998312072633,0.469001687927367,0.383612699731207,0.542561621076507,TRUE
"snow_matched","12-23",-0.473958580158634,0.063133439682915,0.0281661902385298,0.622533037253332,0.377466962746668,0.295464838046572,0.449924711497257,TRUE
"map_full","12-23",-0.63034828877923,0.0647610176200067,0.0164865959077473,0.53240633755799,0.46759366244201,0.395538133871105,0.531059734028831,TRUE
"snow_full","12-23",-0.472973814764434,0.0630799848375076,0.0281661902385298,0.623146388198991,0.376853611801009,0.294844578531422,0.449325057564276,TRUE
"map_matched","24-35",-0.753428893380082,0.0853196322613871,0.0164865959077473,0.470749631904145,0.529250368095855,0.443563607587472,0.60174205181462,TRUE
"snow_matched","24-35",-0.55043750871762,0.0685749077721475,0.0281661902385298,0.576697445018864,0.423302554981136,0.340339974452201,0.495831291557946,TRUE
"map_full","24-35",-0.802898763130047,0.0735628306849506,0.0164865959077473,0.448028351876916,0.551971648123084,0.482484402907464,0.612128783725038,TRUE
"snow_full","24-35",-0.550021113188884,0.0685581993019586,0.0281661902385298,0.576937629258755,0.423062370741245,0.340086849358198,0.49560479628116,TRUE
"map_matched","36-47",-0.575052247865855,0.0869866473956234,0.0164865959077473,0.562675469446488,0.437324530553512,0.332728599796943,0.525524870659105,TRUE
"snow_matched","36-47",-0.382823325516531,0.069248696658441,0.0281661902385298,0.681933368869432,0.318066631130568,0.218934198699471,0.404617230964024,TRUE
"map_full","36-47",-0.691718298175855,0.077236947431524,0.0164865959077473,0.500714951861462,0.499285048138538,0.417446283839878,0.569626875491918,TRUE
"snow_full","36-47",-0.382787019173731,0.0692369578105413,0.0281661902385298,0.68195812782554,0.31804187217446,0.218923811860453,0.404581915094528,TRUE
"map_matched","48-59",-0.454561603852365,0.0946843973449876,0.0164865959077473,0.634726168469814,0.365273831530186,0.235841602746113,0.472782985323241,TRUE
"snow_matched","48-59",-0.353466991685997,0.07466760716359,0.0281661902385298,0.70224917226669,0.29775082773331,0.187076672211951,0.393357426104236,TRUE
"map_full","48-59",-0.683042624541176,0.0891183682924951,0.0164865959077473,0.505077889714751,0.494922110285249,0.398525189763504,0.575869728312643,TRUE
"snow_full","48-59",-0.3544219263063,0.0748732266730533,0.0281661902385298,0.701578890308673,0.298421109691327,0.187525217373367,0.394180656616217,TRUE
