"source_label","source_key","regkey","match_method","survey"
"Couffo","couffo","couffo","exact","BJ51FL"
"Ouémé/Plateau","ouemeplateau",,"unmatched","BJ51FL"
"Ouémé","oueme","oueme","exact","BJ51FL"
"Plateau","plateau","plateau","exact","BJ51FL"
"Zou/Collines","zoucollines",,"unmatched","BJ51FL"
"Zou","zou","zou","exact","BJ51FL"
"Collines","collines","collines","exact","BJ51FL"
"Atacora/Donga","atacoradonga",,"unmatched","BJ71FL"
"Atacora","atacora","atacora","exact","BJ71FL"
"Donga","donga","donga","exact","BJ71FL"
"Atlantique/Littoral","atlantiquelittoral",,"unmatched","BJ71FL"
"Atlantique","atlantique","atlantic","curated_published_alias","BJ71FL"
"Littoral (Cotonou)","littoralcotonou","littoral","survey_specific_published_override","BJ71FL"
"Borgou/Alibori","borgoualibori",,"unmatched","BJ71FL"
"Borgou","borgou","borgou","exact","BJ71FL"
"Alibori","alibori","alibori","exact","BJ71FL"
"Mono/Couffo","monocouffo",,"unmatched","BJ71FL"
"Mono","mono","mono","exact","BJ71FL"
"Couffo","couffo","couffo","exact","BJ71FL"
"Ouémé/Plateau","ouemeplateau",,"unmatched","BJ71FL"
"Ouémé","oueme","oueme","exact","BJ71FL"
"Plateau","plateau","plateau","exact","BJ71FL"
"Zou/Collines","zoucollines",,"unmatched","BJ71FL"
"Zou","zou","zou","exact","BJ71FL"
"Collines","collines","collines","exact","BJ71FL"
"Bujumbura Mairie","bujumburamairie","bujumburamairie","exact","BU61FL"
"North","north","north","exact","BU61FL"
"Centre-East","centreeast","centraleast","canonical","BU61FL"
"West","west","west","exact","BU61FL"
"South","south","south","exact","BU61FL"
"Bujumbura Mairie","bujumburamairie","bujumburamairie","exact","BU71FL"
"North","north",,"unmatched","BU71FL"
"Kayanza","kayanza","kayanza","exact","BU71FL"
"Kirundo","kirundo","kirundo","exact","BU71FL"
"Muyinga","muyinga","muyinga","exact","BU71FL"
"Ngozi","ngozi","ngozi","exact","BU71FL"
"Centre-East","centreeast",,"unmatched","BU71FL"
"Cankuzo","cankuzo","cankuzo","exact","BU71FL"
"Gitega","gitega","gitega","exact","BU71FL"
"Karusi","karusi","karusi","exact","BU71FL"
"Muramvya","muramvya","muramvya","exact","BU71FL"
"Ruyigi","ruyigi","ruyigi","exact","BU71FL"
"West","west",,"unmatched","BU71FL"
"Bubanza","bubanza","bubanza","exact","BU71FL"
"Bujumbura Rural","bujumburarural","bujumburarural","exact","BU71FL"
"Cibitoke","cibitoke","cibitoke","exact","BU71FL"
"South","south",,"unmatched","BU71FL"
"Bururi","bururi","bururi","exact","BU71FL"
"Makamba","makamba","makamba","exact","BU71FL"
"Mwaro","mwaro","mwaro","exact","BU71FL"
"Rutana","rutana","rutana","exact","BU71FL"
"Rumonge","rumonge","rumonge","exact","BU71FL"
"Kinshasa","kinshasa","kinshasa","exact","CD51FL"
"Bas-Congo","bascongo","bascongo","exact","CD51FL"
"Bandundu","bandundu","bandundu","exact","CD51FL"
"Equateur","equateur","equateur","exact","CD51FL"
"Orientale","orientale","orientale","exact","CD51FL"
"Nord-Kivu","nordkivu","nordkivu","exact","CD51FL"
"Maniema","maniema","maniema","exact","CD51FL"
