"source_label","source_key","regkey","match_method","survey"
"Mamou","mamou","mamou","exact","GN52FL"
"N'Zérékoré","nzerekore","nzerekore","exact","GN52FL"
"Lower Guinea","lowerguinea",,"unmatched","GN62FL"
"Central Guinea","centralguinea",,"unmatched","GN62FL"
"Upper Guinea","upperguinea",,"unmatched","GN62FL"
"Forest Guinea","forestguinea",,"unmatched","GN62FL"
"Conakry","conakry","conakry","exact","GN62FL"
"Boké","boke","boke","exact","GN62FL"
"Faranah","faranah","faranah","exact","GN62FL"
"Kankan","kankan","kankan","exact","GN62FL"
"Kindia","kindia","kindia","exact","GN62FL"
"Labé","labe","labe","exact","GN62FL"
"Mamou","mamou","mamou","exact","GN62FL"
"N'Zérékoré","nzerekore","nzerekore","exact","GN62FL"
"Conakry","conakry","conakry","exact","GN71FL"
"Boké","boke","boke","exact","GN71FL"
"Faranah","faranah","faranah","exact","GN71FL"
"Kankan","kankan","kankan","exact","GN71FL"
"Kindia","kindia","kindia","exact","GN71FL"
"Labé","labe","labe","exact","GN71FL"
"Mamou","mamou","mamou","exact","GN71FL"
"N'Zérékoré","nzerekore","nzerekore","exact","GN71FL"
"Coast","coast","coast","exact","KE42FL"
"North Eastern","northeastern","northeastern","exact","KE42FL"
"Eastern","eastern","eastern","exact","KE42FL"
"Central","central","central","exact","KE42FL"
"Rift Valley","riftvalley","riftvalley","exact","KE42FL"
"Western","western","western","exact","KE42FL"
"Nyanza","nyanza","nyanza","exact","KE42FL"
"Nairobi","nairobi","nairobiarea","reviewed_recode_crosswalk","KE42FL"
"Coast","coast","coast","exact","KE52FL"
"North Eastern","northeastern","northeastern","exact","KE52FL"
"Eastern","eastern","eastern","exact","KE52FL"
"Central","central","central","exact","KE52FL"
"Rift Valley","riftvalley","riftvalley","exact","KE52FL"
"Western","western","western","exact","KE52FL"
"Nyanza","nyanza","nyanza","exact","KE52FL"
"Nairobi","nairobi","nairobiarea","reviewed_recode_crosswalk","KE52FL"
"Coast","coast","coast","exact","KE72FL"
"Mombasa","mombasa",,"unmatched","KE72FL"
"Kwale","kwale",,"unmatched","KE72FL"
"Kilifi","kilifi",,"unmatched","KE72FL"
"Tana River","tanariver",,"unmatched","KE72FL"
"Lamu","lamu",,"unmatched","KE72FL"
"Taita Taveta","taitataveta",,"unmatched","KE72FL"
"North Eastern","northeastern","northeastern","exact","KE72FL"
"Garissa","garissa",,"unmatched","KE72FL"
"Wajir","wajir",,"unmatched","KE72FL"
"Mandera","mandera",,"unmatched","KE72FL"
"Eastern","eastern","eastern","exact","KE72FL"
"Marsabit","marsabit",,"unmatched","KE72FL"
"Isiolo","isiolo",,"unmatched","KE72FL"
"Meru","meru",,"unmatched","KE72FL"
"Tharaka-Nithi","tharakanithi",,"unmatched","KE72FL"
"Embu","embu",,"unmatched","KE72FL"
"Kitui","kitui",,"unmatched","KE72FL"
"Machakos","machakos",,"unmatched","KE72FL"
"Makueni","makueni",,"unmatched","KE72FL"
"Central","central","central","exact","KE72FL"
"Nyandarua","nyandarua",,"unmatched","KE72FL"
"Nyeri","nyeri",,"unmatched","KE72FL"
"Kirinyaga","kirinyaga",,"unmatched","KE72FL"
"Murang'a","muranga",,"unmatched","KE72FL"
"Kiambu","kiambu",,"unmatched","KE72FL"
"Rift Valley","riftvalley","riftvalley","exact","KE72FL"
"Turkana","turkana",,"unmatched","KE72FL"
"West Pokot","westpokot",,"unmatched","KE72FL"
"Samburu","samburu",,"unmatched","KE72FL"
"Trans-Nzoia","transnzoia",,"unmatched","KE72FL"
"Uasin Gishu","uasingishu",,"unmatched","KE72FL"
"Elgeyo Marakwet","elgeyomarakwet",,"unmatched","KE72FL"
"Nandi","nandi",,"unmatched","KE72FL"
"Baringo","baringo",,"unmatched","KE72FL"
"Laikipia","laikipia",,"unmatched","KE72FL"
"Nakuru","nakuru",,"unmatched","KE72FL"
"Narok","narok",,"unmatched","KE72FL"
"Kajiado","kajiado",,"unmatched","KE72FL"
"Kericho","kericho",,"unmatched","KE72FL"
"Bomet","bomet",,"unmatched","KE72FL"
"Western","western","western","exact","KE72FL"
"Kakamega","kakamega",,"unmatched","KE72FL"
"Vihiga","vihiga",,"unmatched","KE72FL"
"Bungoma","bungoma",,"unmatched","KE72FL"
"Busia","busia",,"unmatched","KE72FL"
"Nyanza","nyanza","nyanza","exact","KE72FL"
"Siaya","siaya",,"unmatched","KE72FL"
"Kisumu","kisumu",,"unmatched","KE72FL"
"Homa Bay","homabay",,"unmatched","KE72FL"
"Migori","migori",,"unmatched","KE72FL"
"Kisii","kisii",,"unmatched","KE72FL"
"Nyamira","nyamira",,"unmatched","KE72FL"
"Nairobi","nairobi","nairobi","exact","KE72FL"
"Coast","coast",,"unmatched","KE8CFL"
"Mombasa","mombasa","mombasa","exact","KE8CFL"
"Kwale","kwale","kwale","exact","KE8CFL"
"Kilifi","kilifi","kilifi","exact","KE8CFL"
"Tana River","tanariver","tanariver","exact","KE8CFL"
"Lamu","lamu","lamu","exact","KE8CFL"
"Taita Taveta","taitataveta","taitataveta","exact","KE8CFL"
"North Eastern","northeastern",,"unmatched","KE8CFL"
"Garissa","garissa","garissa","exact","KE8CFL"
"Wajir","wajir","wajir","exact","KE8CFL"
"Mandera","mandera","mandera","exact","KE8CFL"
"Eastern","eastern",,"unmatched","KE8CFL"
"Marsabit","marsabit","marsabit","exact","KE8CFL"
"Isiolo","isiolo","isiolo","exact","KE8CFL"
"Meru","meru","meru","exact","KE8CFL"
"Tharaka-Nithi","tharakanithi","tharakanithi","exact","KE8CFL"
"Embu","embu","embu","exact","KE8CFL"
"Kitui","kitui","kitui","exact","KE8CFL"
"Machakos","machakos","machakos","exact","KE8CFL"
"Makueni","makueni","makueni","exact","KE8CFL"
"Central","central",,"unmatched","KE8CFL"
"Nyandarua","nyandarua","nyandarua","exact","KE8CFL"
"Nyeri","nyeri","nyeri","exact","KE8CFL"
"Kirinyaga","kirinyaga","kirinyaga","exact","KE8CFL"
"Murang'a","muranga","muranga","exact","KE8CFL"
"Kiambu","kiambu","kiambu","exact","KE8CFL"
"Rift Valley","riftvalley",,"unmatched","KE8CFL"
"Turkana","turkana","turkana","exact","KE8CFL"
"West Pokot","westpokot","westpokot","exact","KE8CFL"
"Samburu","samburu","samburu","exact","KE8CFL"
"Trans-Nzoia","transnzoia","transnzoia","exact","KE8CFL"
"Uasin Gishu","uasingishu","uasingishu","exact","KE8CFL"
"Elgeyo Marakwet","elgeyomarakwet","elgeyomarakwet","exact","KE8CFL"
"Nandi","nandi","nandi","exact","KE8CFL"
"Baringo","baringo","baringo","exact","KE8CFL"
"Laikipia","laikipia","laikipia","exact","KE8CFL"
"Nakuru","nakuru","nakuru","exact","KE8CFL"
"Narok","narok","narok","exact","KE8CFL"
"Kajiado","kajiado","kajiado","exact","KE8CFL"
"Kericho","kericho","kericho","exact","KE8CFL"
"Bomet","bomet","bomet","exact","KE8CFL"
"Western","western",,"unmatched","KE8CFL"
"Kakamega","kakamega","kakamega","exact","KE8CFL"
"Vihiga","vihiga","vihiga","exact","KE8CFL"
"Bungoma","bungoma","bungoma","exact","KE8CFL"
"Busia","busia","busia","exact","KE8CFL"
"Nyanza","nyanza",,"unmatched","KE8CFL"
"Siaya","siaya","siaya","exact","KE8CFL"
"Kisumu","kisumu","kisumu","exact","KE8CFL"
"Homa Bay","homabay","homabay","exact","KE8CFL"
"Migori","migori","migori","exact","KE8CFL"
"Kisii","kisii","kisii","exact","KE8CFL"
"Nyamira","nyamira","nyamira","exact","KE8CFL"
"Nairobi","nairobi","nairobi","exact","KE8CFL"
"Ngazidja","ngazidja","ngazidja","exact","KM61FL"
"Mwali","mwali","mwali","exact","KM61FL"
"Ndzuwani","ndzuwani","ndzuwani","exact","KM61FL"
"North Western","northwestern","northwestern","exact","LB51FL"
"South Central","southcentral","southcentral","exact","LB51FL"
"Monrovia","monrovia","monrovia","exact","LB51FL"
"South Eastern B","southeasternb","southeasternb","exact","LB51FL"
"North Central","northcentral","northcentral","exact","LB51FL"
"South Eastern A","southeasterna","southeasterna","exact","LB51FL"
"North Western","northwestern","northwestern","exact","LB6AFL"
"Bomi","bomi",,"unmatched","LB6AFL"
"Grand Cape Mount","grandcapemount",,"unmatched","LB6AFL"
"Gbarpolu","gbarpolu",,"unmatched","LB6AFL"
"South Central","southcentral","southcentral","exact","LB6AFL"
"Montserrado incl. Monrovia","montserradoinclmonrovia",,"unmatched","LB6AFL"
"Sinoe","sinoe",,"unmatched","LB6AFL"
"Monrovia","monrovia",,"unmatched","LB6AFL"
"Grand Gedeh","grandgedeh",,"unmatched","LB6AFL"
"South Eastern B","southeasternb","southeasternb","exact","LB6AFL"
"Margibi","margibi",,"unmatched","LB6AFL"
"Grand Bassa","grandbassa",,"unmatched","LB6AFL"
"North Central","northcentral","northcentral","exact","LB6AFL"
"South Eastern A","southeasterna","southeasterna","exact","LB6AFL"
"River Cess","rivercess",,"unmatched","LB6AFL"
"River Gee","rivergee",,"unmatched","LB6AFL"
"Grand Kru","grandkru",,"unmatched","LB6AFL"
"Maryland","maryland",,"unmatched","LB6AFL"
"Lofa","lofa",,"unmatched","LB6AFL"
"Bong","bong",,"unmatched","LB6AFL"
"Nimba","nimba",,"unmatched","LB6AFL"
"North Western","northwestern","northwestern","exact","LB7AFL"
"Bomi","bomi",,"unmatched","LB7AFL"
"Grand Cape Mount","grandcapemount",,"unmatched","LB7AFL"
"Gbarpolu","gbarpolu",,"unmatched","LB7AFL"
"South Central","southcentral","southcentral","exact","LB7AFL"
"Sinoe","sinoe",,"unmatched","LB7AFL"
"Montserrado incl. Monrovia","montserradoinclmonrovia",,"unmatched","LB7AFL"
"Monrovia","monrovia",,"unmatched","LB7AFL"
"Grand Gedeh","grandgedeh",,"unmatched","LB7AFL"
"South Eastern B","southeasternb","southeasternb","exact","LB7AFL"
"Margibi","margibi",,"unmatched","LB7AFL"
"Grand Bassa","grandbassa",,"unmatched","LB7AFL"
"North Central","northcentral","northcentral","exact","LB7AFL"
"South Eastern A","southeasterna","southeasterna","exact","LB7AFL"
"River Cess","rivercess",,"unmatched","LB7AFL"
"River Gee","rivergee",,"unmatched","LB7AFL"
"Grand Kru","grandkru",,"unmatched","LB7AFL"
"Maryland","maryland",,"unmatched","LB7AFL"
"Lofa","lofa",,"unmatched","LB7AFL"
"Bong","bong",,"unmatched","LB7AFL"
"Nimba","nimba",,"unmatched","LB7AFL"
"Antananarivo","antananarivo","antananarivo","exact","MD42FL"
"Fianarantsoa","fianarantsoa","fianarantsoa","exact","MD42FL"
"Toamasina","toamasina","toamasina","exact","MD42FL"
"Mahajanga","mahajanga","mahajanga","exact","MD42FL"
"Toliary","toliary","toliara","reviewed_recode_crosswalk","MD42FL"
"Antsiranana","antsiranana","antsiranana","exact","MD42FL"
"Antananarivo","antananarivo",,"unmatched","MD51FL"
"Analamanga","analamanga","analamanga","exact","MD51FL"
"Vakinankarata","vakinankarata","vakinankaratra","curated_published_alias","MD51FL"
"Itasy","itasy","itasy","exact","MD51FL"
"Bongolava","bongolava","bongolava","exact","MD51FL"
"Fianarantsoa","fianarantsoa",,"unmatched","MD51FL"
"Haute Matsiatra","hautematsiatra","hautematsiatra","exact","MD51FL"
"Anamoroni'i Mania","anamoroniimania","amoronimania","reviewed_recode_crosswalk","MD51FL"
"Vatovavy Fitovinany","vatovavyfitovinany","vatovavyfitovinany","exact","MD51FL"
"Ihorombe","ihorombe","ihorombe","exact","MD51FL"
"Atsimo Atsinanana","atsimoatsinanana","atsimoatsinanana","exact","MD51FL"
"Toamasina","toamasina",,"unmatched","MD51FL"
"Atsinanana","atsinanana","atsinanana","exact","MD51FL"
"Analanjirofo","analanjirofo","analanjirofo","exact","MD51FL"
"Alaotra Mangoro","alaotramangoro","alaotramangoro","exact","MD51FL"
"Mahajanga","mahajanga",,"unmatched","MD51FL"
"Boeny","boeny","boeny","exact","MD51FL"
"Sofia","sofia","sofia","exact","MD51FL"
"Betsiboka","betsiboka","betsiboka","exact","MD51FL"
"Melaky","melaky","melaky","exact","MD51FL"
"Toliary","toliary",,"unmatched","MD51FL"
"Atsimo Andrefana","atsimoandrefana","atsimoandrefana","exact","MD51FL"
"Androy","androy","androy","exact","MD51FL"
"Anosy","anosy","anosy","exact","MD51FL"
"Menabe","menabe","menabe","exact","MD51FL"
"Antsiranana","antsiranana",,"unmatched","MD51FL"
"Diana","diana","diana","exact","MD51FL"
"Sava","sava","sava","exact","MD51FL"
"Antananarivo","antananarivo","antananarivocapital","reviewed_recode_crosswalk","MD81FL"
"Analamanga","analamanga","analamangaexcludingcapital","reviewed_recode_crosswalk","MD81FL"
"Antananarivo capital","antananarivocapital","antananarivocapital","exact","MD81FL"
"Analamanga excluding capital","analamangaexcludingcapital","analamangaexcludingcapital","exact","MD81FL"
"Vakinankarata","vakinankarata","vakinankaratra","curated_published_alias","MD81FL"
"Itasy","itasy","itasy","exact","MD81FL"
"Bongolava","bongolava","bongolava","exact","MD81FL"
"Fianarantsoa","fianarantsoa",,"unmatched","MD81FL"
"Haute Matsiatra","hautematsiatra","hautematsiatra","exact","MD81FL"
"Anamoroni'i Mania","anamoroniimania","amoronimania","curated_published_alias","MD81FL"
"Vatovavy Fitovinany","vatovavyfitovinany","vatovavyfitovinany","exact","MD81FL"
"Ihorombe","ihorombe","ihorombe","exact","MD81FL"
"Atsimo Atsinanana","atsimoatsinanana","atsimoatsinanana","exact","MD81FL"
"Toamasina","toamasina",,"unmatched","MD81FL"
"Atsinanana","atsinanana","atsinanana","exact","MD81FL"
"Analanjirofo","analanjirofo","analanjirofo","exact","MD81FL"
"Alaotra Mangoro","alaotramangoro","alaotramangoro","exact","MD81FL"
"Mahajanga","mahajanga",,"unmatched","MD81FL"
"Boeny","boeny","boeny","exact","MD81FL"
"Sofia","sofia","sofia","exact","MD81FL"
"Betsiboka","betsiboka","betsiboka","exact","MD81FL"
"Melaky","melaky","melaky","exact","MD81FL"
"Toliary","toliary",,"unmatched","MD81FL"
"Atsimo Andrefana","atsimoandrefana","atsimoandrefana","exact","MD81FL"
"Androy","androy","androy","exact","MD81FL"
"Anosy","anosy","anosy","exact","MD81FL"
"Menabe","menabe","menabe","exact","MD81FL"
"Antsiranana","antsiranana",,"unmatched","MD81FL"
"Diana","diana","diana","exact","MD81FL"
"Sava","sava","sava","exact","MD81FL"
"Kayes, Koulikoro","kayeskoulikoro",,"unmatched","ML41FL"
"Kayes","kayes","kayes","exact","ML41FL"
"Koulikoro","koulikoro","koulikoro","exact","ML41FL"
"Sikasso, Ségou","sikassosegou",,"unmatched","ML41FL"
"Sikasso","sikasso","sikasso","exact","ML41FL"
"Ségou","segou","segou","exact","ML41FL"
"Mopti, Tombouctou/Gao, Kidal","moptitombouctougaokidal",,"unmatched","ML41FL"
"Mopti","mopti","mopti","exact","ML41FL"
"Kidal/Gao/Tombouctou","kidalgaotombouctou",,"unmatched","ML41FL"
"Bamako","bamako","bamako","exact","ML41FL"
"Kayes, Koulikoro","kayeskoulikoro",,"unmatched","ML53FL"
"Kayes","kayes","kayes","exact","ML53FL"
"Koulikoro","koulikoro","koulikoro","exact","ML53FL"
"Sikasso, Ségou","sikassosegou",,"unmatched","ML53FL"
"Sikasso","sikasso","sikasso","exact","ML53FL"
"Ségou","segou","segou","exact","ML53FL"
"Mopti, Tombouctou/Gao, Kidal","moptitombouctougaokidal",,"unmatched","ML53FL"
"Mopti","mopti","mopti","exact","ML53FL"
"Kidal/Gao/Tombouctou","kidalgaotombouctou",,"unmatched","ML53FL"
"Kidal","kidal","kidal","exact","ML53FL"
"Gao","gao","gao","exact","ML53FL"
"Tombouctou","tombouctou","tombouctou","exact","ML53FL"
"Bamako","bamako","bamako","exact","ML53FL"
"Kayes, Koulikoro","kayeskoulikoro",,"unmatched","ML6AFL"
"Kayes","kayes","kayes","exact","ML6AFL"
"Koulikoro","koulikoro","koulikoro","exact","ML6AFL"
"Sikasso, Ségou","sikassosegou",,"unmatched","ML6AFL"
"Sikasso","sikasso","sikasso","exact","ML6AFL"
"Ségou","segou","segou","exact","ML6AFL"
"Mopti, Tombouctou/Gao, Kidal","moptitombouctougaokidal",,"unmatched","ML6AFL"
"Mopti","mopti","mopti","exact","ML6AFL"
"Bamako","bamako","bamako","exact","ML6AFL"
"Kayes, Koulikoro","kayeskoulikoro",,"unmatched","ML7AFL"
"Kayes","kayes","kayes","exact","ML7AFL"
"Koulikoro","koulikoro","koulikoro","exact","ML7AFL"
"Sikasso, Ségou","sikassosegou",,"unmatched","ML7AFL"
"Sikasso","sikasso","sikasso","exact","ML7AFL"
"Ségou","segou","segou","exact","ML7AFL"
"Mopti, Tombouctou/Gao, Kidal","moptitombouctougaokidal",,"unmatched","ML7AFL"
"Mopti","mopti","mopti","exact","ML7AFL"
"Kidal/Gao/Tombouctou","kidalgaotombouctou",,"unmatched","ML7AFL"
"Kidal","kidal","kidal","exact","ML7AFL"
"Gao","gao","gao","exact","ML7AFL"
"Tombouctou","tombouctou","tombouctou","exact","ML7AFL"
"Bamako","bamako","bamako","exact","ML7AFL"
"Kayes, Koulikoro","kayeskoulikoro",,"unmatched","ML8AFL"
"Kayes","kayes","kayes","exact","ML8AFL"
"Koulikoro","koulikoro","koulikoro","exact","ML8AFL"
"Sikasso, Ségou","sikassosegou",,"unmatched","ML8AFL"
"Sikasso","sikasso","sikasso","exact","ML8AFL"
"Ségou","segou","segou","exact","ML8AFL"
"Mopti, Tombouctou/Gao, Kidal","moptitombouctougaokidal",,"unmatched","ML8AFL"
"Mopti","mopti","mopti","exact","ML8AFL"
"Kidal/Gao/Tombouctou","kidalgaotombouctou",,"unmatched","ML8AFL"
"Gao","gao","gao","exact","ML8AFL"
"Tombouctou","tombouctou","tombouctou","exact","ML8AFL"
"Bamako","bamako","bamako","exact","ML8AFL"
"Hodh Echargui","hodhechargui","easternbasinregion","curated_synonym","MR71FL"
"Hodh Gharbi","hodhgharbi","westernbasinregion","curated_synonym","MR71FL"
"Assaba","assaba","assaba","exact","MR71FL"
"Gorgol","gorgol","gorgol","exact","MR71FL"
"Brakna","brakna","brakna","exact","MR71FL"
"Trarza","trarza","trarza","exact","MR71FL"
"Adrar","adrar","adrar","exact","MR71FL"
"Dakhlet Nouadhibou","dakhletnouadhibou",,"unmatched","MR71FL"
"Tagant","tagant","tagant","exact","MR71FL"
"Guidimagha","guidimagha","guidimagha","exact","MR71FL"
"Tiris Zemour et Inchiri","tiriszemouretinchiri","tiriszemourandinchiri","canonical","MR71FL"
"Nouakchott Ouest","nouakchottouest","westnouakchott","canonical","MR71FL"
"Nouakchott Nord","nouakchottnord","northnouakchott","canonical","MR71FL"
"Nouakchott Sud","nouakchottsud","southnouakchott","canonical","MR71FL"
"Northern","northern","northern","exact","MW41FL"
"Central","central","central","exact","MW41FL"
"Southern","southern","southern","exact","MW41FL"
"Northern","northern","northern","exact","MW4EFL"
"Central","central","central","exact","MW4EFL"
"Southern","southern","southern","exact","MW4EFL"
"Northern","northern","northern","exact","MW61FL"
"Chitipa","chitipa",,"unmatched","MW61FL"
"Karonga","karonga",,"unmatched","MW61FL"
"Mzimba","mzimba",,"unmatched","MW61FL"
"Nkhata Bay and Likoma","nkhatabayandlikoma",,"unmatched","MW61FL"
"Rumphi","rumphi",,"unmatched","MW61FL"
"Central","central","central","exact","MW61FL"
"Dedza","dedza",,"unmatched","MW61FL"
"Dowa","dowa",,"unmatched","MW61FL"
"Kasungu","kasungu",,"unmatched","MW61FL"
"Lilongwe","lilongwe",,"unmatched","MW61FL"
"Mchinji","mchinji",,"unmatched","MW61FL"
"Nkhotakota","nkhotakota",,"unmatched","MW61FL"
"Ntcheu","ntcheu",,"unmatched","MW61FL"
"Ntchisi","ntchisi",,"unmatched","MW61FL"
"Salima","salima",,"unmatched","MW61FL"
"Southern","southern","southern","exact","MW61FL"
"Balaka","balaka",,"unmatched","MW61FL"
"Blantyre","blantyre",,"unmatched","MW61FL"
"Chikwawa","chikwawa",,"unmatched","MW61FL"
"Chiradzulu","chiradzulu",,"unmatched","MW61FL"
"Machinga","machinga",,"unmatched","MW61FL"
"Mangochi","mangochi",,"unmatched","MW61FL"
"Mulanje","mulanje",,"unmatched","MW61FL"
"Mwanza","mwanza",,"unmatched","MW61FL"
"Neno","neno",,"unmatched","MW61FL"
"Nsanje","nsanje",,"unmatched","MW61FL"
"Phalombe","phalombe",,"unmatched","MW61FL"
"Thyolo","thyolo",,"unmatched","MW61FL"
"Zomba","zomba",,"unmatched","MW61FL"
"Northern","northern","northern","exact","MW7AFL"
"Chitipa","chitipa",,"unmatched","MW7AFL"
"Karonga","karonga",,"unmatched","MW7AFL"
"Mzimba","mzimba",,"unmatched","MW7AFL"
"Rumphi","rumphi",,"unmatched","MW7AFL"
"Nkhata Bay","nkhatabay",,"unmatched","MW7AFL"
"Likoma","likoma",,"unmatched","MW7AFL"
"Mzuzu City","mzuzucity",,"unmatched","MW7AFL"
"Central","central","central","exact","MW7AFL"
"Dedza","dedza",,"unmatched","MW7AFL"
"Dowa","dowa",,"unmatched","MW7AFL"
"Kasungu","kasungu",,"unmatched","MW7AFL"
"Mchinji","mchinji",,"unmatched","MW7AFL"
"Nkhotakota","nkhotakota",,"unmatched","MW7AFL"
"Ntcheu","ntcheu",,"unmatched","MW7AFL"
"Ntchisi","ntchisi",,"unmatched","MW7AFL"
"Salima","salima",,"unmatched","MW7AFL"
"Lilongwe","lilongwe",,"unmatched","MW7AFL"
"Lilongwe Rural","lilongwerural",,"unmatched","MW7AFL"
"Lilongwe City","lilongwecity",,"unmatched","MW7AFL"
"Southern","southern","southern","exact","MW7AFL"
"Balaka","balaka",,"unmatched","MW7AFL"
"Chikwawa","chikwawa",,"unmatched","MW7AFL"
"Chiradzulu","chiradzulu",,"unmatched","MW7AFL"
"Machinga","machinga",,"unmatched","MW7AFL"
"Mangochi","mangochi",,"unmatched","MW7AFL"
"Mulanje","mulanje",,"unmatched","MW7AFL"
"Mwanza","mwanza",,"unmatched","MW7AFL"
"Neno","neno",,"unmatched","MW7AFL"
"Nsanje","nsanje",,"unmatched","MW7AFL"
"Phalombe","phalombe",,"unmatched","MW7AFL"
"Thyolo","thyolo",,"unmatched","MW7AFL"
"Blantyre","blantyre",,"unmatched","MW7AFL"
"Blantyre Rural","blantyrerural",,"unmatched","MW7AFL"
"Blantyre City","blantyrecity",,"unmatched","MW7AFL"
"Zomba","zomba",,"unmatched","MW7AFL"
"Zomba Rural","zombarural",,"unmatched","MW7AFL"
"Zomba City","zombacity",,"unmatched","MW7AFL"
"Northern","northern","northern","exact","MW81FL"
"Chitipa","chitipa",,"unmatched","MW81FL"
"Karonga","karonga",,"unmatched","MW81FL"
"Mzimba","mzimba",,"unmatched","MW81FL"
"Rumphi","rumphi",,"unmatched","MW81FL"
"Nkhata Bay","nkhatabay",,"unmatched","MW81FL"
"Likoma","likoma",,"unmatched","MW81FL"
"Mzuzu City","mzuzucity",,"unmatched","MW81FL"
"Central","central","central","exact","MW81FL"
"Dedza","dedza",,"unmatched","MW81FL"
"Dowa","dowa",,"unmatched","MW81FL"
"Kasungu","kasungu",,"unmatched","MW81FL"
"Mchinji","mchinji",,"unmatched","MW81FL"
"Nkhotakota","nkhotakota",,"unmatched","MW81FL"
"Ntcheu","ntcheu",,"unmatched","MW81FL"
"Ntchisi","ntchisi",,"unmatched","MW81FL"
"Salima","salima",,"unmatched","MW81FL"
"Lilongwe","lilongwe",,"unmatched","MW81FL"
"Lilongwe Rural","lilongwerural",,"unmatched","MW81FL"
"Lilongwe City","lilongwecity",,"unmatched","MW81FL"
"Southern","southern","southern","exact","MW81FL"
"Balaka","balaka",,"unmatched","MW81FL"
"Chikwawa","chikwawa",,"unmatched","MW81FL"
"Chiradzulu","chiradzulu",,"unmatched","MW81FL"
"Machinga","machinga",,"unmatched","MW81FL"
"Mangochi","mangochi",,"unmatched","MW81FL"
"Mulanje","mulanje",,"unmatched","MW81FL"
"Mwanza","mwanza",,"unmatched","MW81FL"
"Neno","neno",,"unmatched","MW81FL"
"Nsanje","nsanje",,"unmatched","MW81FL"
"Phalombe","phalombe",,"unmatched","MW81FL"
"Thyolo","thyolo",,"unmatched","MW81FL"
"Blantyre","blantyre",,"unmatched","MW81FL"
"Blantyre Rural","blantyrerural",,"unmatched","MW81FL"
"Blantyre City","blantyrecity",,"unmatched","MW81FL"
"Zomba","zomba",,"unmatched","MW81FL"
"Zomba Rural","zombarural",,"unmatched","MW81FL"
"Zomba City","zombacity",,"unmatched","MW81FL"
"Niassa","niassa","niassa","exact","MZ41FL"
"Cabo Delgado","cabodelgado","cabodelgado","exact","MZ41FL"
"Nampula","nampula","nampula","exact","MZ41FL"
"Zambézia","zambezia","zambezia","exact","MZ41FL"
"Tete","tete","tete","exact","MZ41FL"
"Manica","manica","manica","exact","MZ41FL"
"Sofala","sofala","sofala","exact","MZ41FL"
"Inhambane","inhambane","inhambane","exact","MZ41FL"
"Gaza","gaza","gaza","exact","MZ41FL"
"Maputo Provincia","maputoprovincia","maputo","canonical","MZ41FL"
"Maputo Cidade","maputocidade","maputocity","canonical","MZ41FL"
"Niassa","niassa","niassa","exact","MZ62FL"
"Cabo Delgado","cabodelgado","cabodelgado","exact","MZ62FL"
"Nampula","nampula","nampula","exact","MZ62FL"
"Zambézia","zambezia","zambezia","exact","MZ62FL"
"Tete","tete","tete","exact","MZ62FL"
"Manica","manica","manica","exact","MZ62FL"
"Sofala","sofala","sofala","exact","MZ62FL"
"Inhambane","inhambane","inhambane","exact","MZ62FL"
"Gaza","gaza","gaza","exact","MZ62FL"
"Maputo Provincia","maputoprovincia","maputo","canonical","MZ62FL"
"Maputo Cidade","maputocidade","maputocity","canonical","MZ62FL"
"Niassa","niassa","niassa","exact","MZ81FL"
"Cabo Delgado","cabodelgado","cabodelgado","exact","MZ81FL"
"Nampula","nampula","nampula","exact","MZ81FL"
"Zambézia","zambezia","zambezia","exact","MZ81FL"
"Tete","tete","tete","exact","MZ81FL"
"Manica","manica","manica","exact","MZ81FL"
"Sofala","sofala","sofala","exact","MZ81FL"
"Inhambane","inhambane","inhambane","exact","MZ81FL"
"Gaza","gaza","gaza","exact","MZ81FL"
"Maputo Provincia","maputoprovincia","maputo","canonical","MZ81FL"
"Maputo Cidade","maputocidade","maputocity","canonical","MZ81FL"
"North Central","northcentral","northcentral","exact","NG4BFL"
"North East","northeast","northeast","exact","NG4BFL"
"North West","northwest","northwest","exact","NG4BFL"
"South East","southeast","southeast","exact","NG4BFL"
"South West","southwest","southwest","exact","NG4BFL"
"South South","southsouth","southsouth","exact","NG4BFL"
"North Central","northcentral","northcentral","exact","NG53FL"
"North East","northeast","northeast","exact","NG53FL"
"North West","northwest","northwest","exact","NG53FL"
"South East","southeast","southeast","exact","NG53FL"
"South West","southwest","southwest","exact","NG53FL"
"South South","southsouth","southsouth","exact","NG53FL"
"North Central","northcentral","northcentral","exact","NG6AFL"
"FCT Abuja","fctabuja",,"unmatched","NG6AFL"
"Benue","benue",,"unmatched","NG6AFL"
"Kogi","kogi",,"unmatched","NG6AFL"
"Kwara","kwara",,"unmatched","NG6AFL"
"Nasarawa","nasarawa",,"unmatched","NG6AFL"
"Niger","niger",,"unmatched","NG6AFL"
"Plateau","plateau",,"unmatched","NG6AFL"
"North East","northeast","northeast","exact","NG6AFL"
"Adamawa","adamawa",,"unmatched","NG6AFL"
"Bauchi","bauchi",,"unmatched","NG6AFL"
"Borno","borno",,"unmatched","NG6AFL"
"Gombe","gombe",,"unmatched","NG6AFL"
"Taraba","taraba",,"unmatched","NG6AFL"
"Yobe","yobe",,"unmatched","NG6AFL"
"North West","northwest","northwest","exact","NG6AFL"
"Jigawa","jigawa",,"unmatched","NG6AFL"
"Kaduna","kaduna",,"unmatched","NG6AFL"
