"survey","IndicatorId","CharacteristicLabel","value"
"MD81FL","CN_NUTS_C_WH2","Antsiranana",9
"ML41FL","CN_NUTS_C_HA2","Kayes, Koulikoro",40.9
"ML41FL","CN_NUTS_C_HA2","Sikasso, Ségou",49
"ML41FL","CN_NUTS_C_HA2","Mopti, Tombouctou/Gao, Kidal",44.3
"ML41FL","CN_NUTS_C_HA2","..Kidal/Gao/Tombouctou",45
"ML41FL","CN_NUTS_C_WH2","Kayes, Koulikoro",11.4
"ML41FL","CN_NUTS_C_WH2","Sikasso, Ségou",13.7
"ML41FL","CN_NUTS_C_WH2","Mopti, Tombouctou/Gao, Kidal",14.2
"ML41FL","CN_NUTS_C_WH2","..Kidal/Gao/Tombouctou",17.7
"ML53FL","CN_NUTS_C_HA2","Kayes, Koulikoro",35.4
"ML53FL","CN_NUTS_C_HA2","Sikasso, Ségou",42.7
"ML53FL","CN_NUTS_C_HA2","Mopti, Tombouctou/Gao, Kidal",39.9
"ML53FL","CN_NUTS_C_HA2","..Kidal/Gao/Tombouctou",38.8
"ML53FL","CN_NUTS_C_WH2","Kayes, Koulikoro",15.8
"ML53FL","CN_NUTS_C_WH2","Sikasso, Ségou",15.2
"ML53FL","CN_NUTS_C_WH2","Mopti, Tombouctou/Gao, Kidal",14.7
"ML53FL","CN_NUTS_C_WH2","..Kidal/Gao/Tombouctou",17.3
"ML6AFL","CN_NUTS_C_HA2","Kayes, Koulikoro",37.6
"ML6AFL","CN_NUTS_C_HA2","Sikasso, Ségou",40.2
"ML6AFL","CN_NUTS_C_HA2","Mopti, Tombouctou/Gao, Kidal",46.5
"ML6AFL","CN_NUTS_C_WH2","Kayes, Koulikoro",11.5
"ML6AFL","CN_NUTS_C_WH2","Sikasso, Ségou",13.2
"ML6AFL","CN_NUTS_C_WH2","Mopti, Tombouctou/Gao, Kidal",14.7
"ML7AFL","CN_NUTS_C_HA2","Kayes, Koulikoro",25.6
"ML7AFL","CN_NUTS_C_HA2","Sikasso, Ségou",30.5
"ML7AFL","CN_NUTS_C_HA2","Mopti, Tombouctou/Gao, Kidal",30.5
"ML7AFL","CN_NUTS_C_HA2","..Kidal/Gao/Tombouctou",30.8
"ML7AFL","CN_NUTS_C_WH2","Kayes, Koulikoro",8.4
"ML7AFL","CN_NUTS_C_WH2","Sikasso, Ségou",8.5
"ML7AFL","CN_NUTS_C_WH2","Mopti, Tombouctou/Gao, Kidal",11.2
"ML7AFL","CN_NUTS_C_WH2","..Kidal/Gao/Tombouctou",12.9
"ML8AFL","CN_NUTS_C_HA2","Kayes, Koulikoro",23.9
"ML8AFL","CN_NUTS_C_HA2","Sikasso, Ségou",26.2
"ML8AFL","CN_NUTS_C_HA2","Mopti, Tombouctou/Gao, Kidal",34.6
"ML8AFL","CN_NUTS_C_HA2","..Kidal/Gao/Tombouctou",36.5
"ML8AFL","CN_NUTS_C_WH2","Kayes, Koulikoro",5.8
"ML8AFL","CN_NUTS_C_WH2","Sikasso, Ségou",4.4
"ML8AFL","CN_NUTS_C_WH2","Mopti, Tombouctou/Gao, Kidal",6.9
"ML8AFL","CN_NUTS_C_WH2","..Kidal/Gao/Tombouctou",11.6
"MR71FL","CN_NUTS_C_HA2","Dakhlet Nouadhibou",13
"MR71FL","CN_NUTS_C_WH2","Dakhlet Nouadhibou",0.6
"MW61FL","CN_NUTS_C_HA2","..Chitipa",46.6
"MW61FL","CN_NUTS_C_HA2","..Karonga",37.9
"MW61FL","CN_NUTS_C_HA2","..Mzimba",47.7
"MW61FL","CN_NUTS_C_HA2","..Nkhata Bay and Likoma",48.3
"MW61FL","CN_NUTS_C_HA2","..Rumphi",38.5
"MW61FL","CN_NUTS_C_HA2","..Dedza",51.1
"MW61FL","CN_NUTS_C_HA2","..Dowa",51.6
"MW61FL","CN_NUTS_C_HA2","..Kasungu",47.2
"MW61FL","CN_NUTS_C_HA2","..Lilongwe",45.5
"MW61FL","CN_NUTS_C_HA2","..Mchinji",53.7
"MW61FL","CN_NUTS_C_HA2","..Nkhotakota",42.9
"MW61FL","CN_NUTS_C_HA2","..Ntcheu",42.4
"MW61FL","CN_NUTS_C_HA2","..Ntchisi",46.8
"MW61FL","CN_NUTS_C_HA2","..Salima",39.6
"MW61FL","CN_NUTS_C_HA2","..Balaka",44.8
"MW61FL","CN_NUTS_C_HA2","..Blantyre",41.6
"MW61FL","CN_NUTS_C_HA2","..Chikwawa",49
"MW61FL","CN_NUTS_C_HA2","..Chiradzulu",56.6
"MW61FL","CN_NUTS_C_HA2","..Machinga",48.4
"MW61FL","CN_NUTS_C_HA2","..Mangochi",48.3
"MW61FL","CN_NUTS_C_HA2","..Mulanje",52.2
"MW61FL","CN_NUTS_C_HA2","..Mwanza",56.4
"MW61FL","CN_NUTS_C_HA2","..Neno",54.6
"MW61FL","CN_NUTS_C_HA2","..Nsanje",38.6
"MW61FL","CN_NUTS_C_HA2","..Phalombe",49.3
"MW61FL","CN_NUTS_C_HA2","..Thyolo",49.8
"MW61FL","CN_NUTS_C_HA2","..Zomba",47.8
"MW61FL","CN_NUTS_C_WH2","..Chitipa",3.7
"MW61FL","CN_NUTS_C_WH2","..Karonga",1.9
"MW61FL","CN_NUTS_C_WH2","..Mzimba",2.2
"MW61FL","CN_NUTS_C_WH2","..Nkhata Bay and Likoma",3.4
"MW61FL","CN_NUTS_C_WH2","..Rumphi",1.3
"MW61FL","CN_NUTS_C_WH2","..Dedza",3.7
"MW61FL","CN_NUTS_C_WH2","..Dowa",3
"MW61FL","CN_NUTS_C_WH2","..Kasungu",1.2
"MW61FL","CN_NUTS_C_WH2","..Lilongwe",6.1
"MW61FL","CN_NUTS_C_WH2","..Mchinji",3.3
"MW61FL","CN_NUTS_C_WH2","..Nkhotakota",2.4
"MW61FL","CN_NUTS_C_WH2","..Ntcheu",9.8
"MW61FL","CN_NUTS_C_WH2","..Ntchisi",4.4
"MW61FL","CN_NUTS_C_WH2","..Salima",3.3
"MW61FL","CN_NUTS_C_WH2","..Balaka",5.7
"MW61FL","CN_NUTS_C_WH2","..Blantyre",2.2
"MW61FL","CN_NUTS_C_WH2","..Chikwawa",2.8
"MW61FL","CN_NUTS_C_WH2","..Chiradzulu",3.4
"MW61FL","CN_NUTS_C_WH2","..Machinga",6.4
"MW61FL","CN_NUTS_C_WH2","..Mangochi",5.9
"MW61FL","CN_NUTS_C_WH2","..Mulanje",6
"MW61FL","CN_NUTS_C_WH2","..Mwanza",4.4
"MW61FL","CN_NUTS_C_WH2","..Neno",2.9
"MW61FL","CN_NUTS_C_WH2","..Nsanje",7.6
"MW61FL","CN_NUTS_C_WH2","..Phalombe",3.8
"MW61FL","CN_NUTS_C_WH2","..Thyolo",2.4
"MW61FL","CN_NUTS_C_WH2","..Zomba",2
"MW7AFL","CN_NUTS_C_HA2","..Chitipa",33
"MW7AFL","CN_NUTS_C_HA2","..Karonga",28.4
"MW7AFL","CN_NUTS_C_HA2","..Mzimba",42.2
"MW7AFL","CN_NUTS_C_HA2","..Rumphi",32.1
"MW7AFL","CN_NUTS_C_HA2","..Nkhata Bay",32.5
"MW7AFL","CN_NUTS_C_HA2","..Likoma",24.6
"MW7AFL","CN_NUTS_C_HA2","..Mzuzu City",18.3
"MW7AFL","CN_NUTS_C_HA2","..Dedza",42.8
"MW7AFL","CN_NUTS_C_HA2","..Dowa",39
"MW7AFL","CN_NUTS_C_HA2","..Kasungu",36.3
"MW7AFL","CN_NUTS_C_HA2","..Mchinji",44
"MW7AFL","CN_NUTS_C_HA2","..Nkhotakota",33.2
"MW7AFL","CN_NUTS_C_HA2","..Ntcheu",41.6
"MW7AFL","CN_NUTS_C_HA2","..Ntchisi",39.5
"MW7AFL","CN_NUTS_C_HA2","..Salima",34.5
"MW7AFL","CN_NUTS_C_HA2","..Lilongwe",36.6
"MW7AFL","CN_NUTS_C_HA2","..Lilongwe Rural",43.8
"MW7AFL","CN_NUTS_C_HA2","..Lilongwe City",20.3
"MW7AFL","CN_NUTS_C_HA2","..Balaka",32.6
"MW7AFL","CN_NUTS_C_HA2","..Chikwawa",32.6
"MW7AFL","CN_NUTS_C_HA2","..Chiradzulu",33.2
"MW7AFL","CN_NUTS_C_HA2","..Machinga",38.5
"MW7AFL","CN_NUTS_C_HA2","..Mangochi",45.4
"MW7AFL","CN_NUTS_C_HA2","..Mulanje",36.5
"MW7AFL","CN_NUTS_C_HA2","..Mwanza",31
"MW7AFL","CN_NUTS_C_HA2","..Neno",45.4
"MW7AFL","CN_NUTS_C_HA2","..Nsanje",31.6
"MW7AFL","CN_NUTS_C_HA2","..Phalombe",31.4
"MW7AFL","CN_NUTS_C_HA2","..Thyolo",35.6
"MW7AFL","CN_NUTS_C_HA2","..Blantyre",33.2
"MW7AFL","CN_NUTS_C_HA2","..Blantyre Rural",35.1
"MW7AFL","CN_NUTS_C_HA2","..Blantyre City",32
"MW7AFL","CN_NUTS_C_HA2","..Zomba",36.4
"MW7AFL","CN_NUTS_C_HA2","..Zomba Rural",38.8
"MW7AFL","CN_NUTS_C_HA2","..Zomba City",17.8
"MW7AFL","CN_NUTS_C_WH2","..Chitipa",1.2
"MW7AFL","CN_NUTS_C_WH2","..Karonga",2.2
"MW7AFL","CN_NUTS_C_WH2","..Mzimba",2.8
"MW7AFL","CN_NUTS_C_WH2","..Rumphi",1.5
"MW7AFL","CN_NUTS_C_WH2","..Nkhata Bay",0.1
"MW7AFL","CN_NUTS_C_WH2","..Likoma",3.8
"MW7AFL","CN_NUTS_C_WH2","..Mzuzu City",2.3
"MW7AFL","CN_NUTS_C_WH2","..Dedza",2.6
"MW7AFL","CN_NUTS_C_WH2","..Dowa",1
"MW7AFL","CN_NUTS_C_WH2","..Kasungu",2.4
"MW7AFL","CN_NUTS_C_WH2","..Mchinji",3.1
"MW7AFL","CN_NUTS_C_WH2","..Nkhotakota",1.8
"MW7AFL","CN_NUTS_C_WH2","..Ntcheu",3.5
"MW7AFL","CN_NUTS_C_WH2","..Ntchisi",1.7
"MW7AFL","CN_NUTS_C_WH2","..Salima",1.4
"MW7AFL","CN_NUTS_C_WH2","..Lilongwe",1.6
"MW7AFL","CN_NUTS_C_WH2","..Lilongwe Rural",0.6
"MW7AFL","CN_NUTS_C_WH2","..Lilongwe City",4
"MW7AFL","CN_NUTS_C_WH2","..Balaka",0.6
"MW7AFL","CN_NUTS_C_WH2","..Chikwawa",4.9
"MW7AFL","CN_NUTS_C_WH2","..Chiradzulu",6.2
"MW7AFL","CN_NUTS_C_WH2","..Machinga",3.4
"MW7AFL","CN_NUTS_C_WH2","..Mangochi",1.7
"MW7AFL","CN_NUTS_C_WH2","..Mulanje",4.1
"MW7AFL","CN_NUTS_C_WH2","..Mwanza",7.1
"MW7AFL","CN_NUTS_C_WH2","..Neno",4.1
"MW7AFL","CN_NUTS_C_WH2","..Nsanje",8.7
"MW7AFL","CN_NUTS_C_WH2","..Phalombe",2.3
"MW7AFL","CN_NUTS_C_WH2","..Thyolo",3.4
"MW7AFL","CN_NUTS_C_WH2","..Blantyre",3.1
"MW7AFL","CN_NUTS_C_WH2","..Blantyre Rural",4.9
"MW7AFL","CN_NUTS_C_WH2","..Blantyre City",2
"MW7AFL","CN_NUTS_C_WH2","..Zomba",4.6
"MW7AFL","CN_NUTS_C_WH2","..Zomba Rural",4.5
"MW7AFL","CN_NUTS_C_WH2","..Zomba City",5.6
"MW81FL","CN_NUTS_C_HA2","..Chitipa",43.8
"MW81FL","CN_NUTS_C_HA2","..Karonga",24.1
"MW81FL","CN_NUTS_C_HA2","..Mzimba",37.4
"MW81FL","CN_NUTS_C_HA2","..Rumphi",31.9
"MW81FL","CN_NUTS_C_HA2","..Nkhata Bay",28
"MW81FL","CN_NUTS_C_HA2","..Likoma",22.4
"MW81FL","CN_NUTS_C_HA2","..Mzuzu City",28.8
"MW81FL","CN_NUTS_C_HA2","..Dedza",37.6
"MW81FL","CN_NUTS_C_HA2","..Dowa",42.2
"MW81FL","CN_NUTS_C_HA2","..Kasungu",40.4
"MW81FL","CN_NUTS_C_HA2","..Mchinji",42.2
"MW81FL","CN_NUTS_C_HA2","..Nkhotakota",32.5
"MW81FL","CN_NUTS_C_HA2","..Ntcheu",48.4
"MW81FL","CN_NUTS_C_HA2","..Ntchisi",30.6
"MW81FL","CN_NUTS_C_HA2","..Salima",35.7
"MW81FL","CN_NUTS_C_HA2","..Lilongwe",36
"MW81FL","CN_NUTS_C_HA2","..Lilongwe Rural",35.8
"MW81FL","CN_NUTS_C_HA2","..Lilongwe City",36.4
"MW81FL","CN_NUTS_C_HA2","..Balaka",33.9
"MW81FL","CN_NUTS_C_HA2","..Chikwawa",37.4
"MW81FL","CN_NUTS_C_HA2","..Chiradzulu",38.1
"MW81FL","CN_NUTS_C_HA2","..Machinga",41.8
"MW81FL","CN_NUTS_C_HA2","..Mangochi",37.7
"MW81FL","CN_NUTS_C_HA2","..Mulanje",37.9
"MW81FL","CN_NUTS_C_HA2","..Mwanza",44.3
"MW81FL","CN_NUTS_C_HA2","..Neno",44.8
"MW81FL","CN_NUTS_C_HA2","..Nsanje",38.1
"MW81FL","CN_NUTS_C_HA2","..Phalombe",37.9
"MW81FL","CN_NUTS_C_HA2","..Thyolo",40.7
"MW81FL","CN_NUTS_C_HA2","..Blantyre",34.4
"MW81FL","CN_NUTS_C_HA2","..Blantyre Rural",30.4
"MW81FL","CN_NUTS_C_HA2","..Blantyre City",37.6
"MW81FL","CN_NUTS_C_HA2","..Zomba",41.3
"MW81FL","CN_NUTS_C_HA2","..Zomba Rural",41.9
"MW81FL","CN_NUTS_C_HA2","..Zomba City",33.7
"MW81FL","CN_NUTS_C_WH2","..Chitipa",1.6
"MW81FL","CN_NUTS_C_WH2","..Karonga",1.9
"MW81FL","CN_NUTS_C_WH2","..Mzimba",3.6
"MW81FL","CN_NUTS_C_WH2","..Rumphi",2.3
"MW81FL","CN_NUTS_C_WH2","..Nkhata Bay",2
"MW81FL","CN_NUTS_C_WH2","..Likoma",12.4
"MW81FL","CN_NUTS_C_WH2","..Mzuzu City",0
"MW81FL","CN_NUTS_C_WH2","..Dedza",0
"MW81FL","CN_NUTS_C_WH2","..Dowa",0.7
"MW81FL","CN_NUTS_C_WH2","..Kasungu",0.2
"MW81FL","CN_NUTS_C_WH2","..Mchinji",1.9
"MW81FL","CN_NUTS_C_WH2","..Nkhotakota",4.1
"MW81FL","CN_NUTS_C_WH2","..Ntcheu",0
"MW81FL","CN_NUTS_C_WH2","..Ntchisi",2
"MW81FL","CN_NUTS_C_WH2","..Salima",2.9
"MW81FL","CN_NUTS_C_WH2","..Lilongwe",1.5
"MW81FL","CN_NUTS_C_WH2","..Lilongwe Rural",1.6
"MW81FL","CN_NUTS_C_WH2","..Lilongwe City",1.3
"MW81FL","CN_NUTS_C_WH2","..Balaka",2.2
"MW81FL","CN_NUTS_C_WH2","..Chikwawa",3.1
"MW81FL","CN_NUTS_C_WH2","..Chiradzulu",1.8
"MW81FL","CN_NUTS_C_WH2","..Machinga",1.8
"MW81FL","CN_NUTS_C_WH2","..Mangochi",1.3
"MW81FL","CN_NUTS_C_WH2","..Mulanje",1.1
"MW81FL","CN_NUTS_C_WH2","..Mwanza",0.7
"MW81FL","CN_NUTS_C_WH2","..Neno",1.1
"MW81FL","CN_NUTS_C_WH2","..Nsanje",2.4
"MW81FL","CN_NUTS_C_WH2","..Phalombe",4.6
"MW81FL","CN_NUTS_C_WH2","..Thyolo",3.1
"MW81FL","CN_NUTS_C_WH2","..Blantyre",1.1
"MW81FL","CN_NUTS_C_WH2","..Blantyre Rural",1.2
"MW81FL","CN_NUTS_C_WH2","..Blantyre City",0.9
"MW81FL","CN_NUTS_C_WH2","..Zomba",3
"MW81FL","CN_NUTS_C_WH2","..Zomba Rural",2.7
"MW81FL","CN_NUTS_C_WH2","..Zomba City",6
"NG6AFL","CN_NUTS_C_HA2","..FCT Abuja",20.6
"NG6AFL","CN_NUTS_C_HA2","..Benue",22.6
"NG6AFL","CN_NUTS_C_HA2","..Kogi",23.1
"NG6AFL","CN_NUTS_C_HA2","..Kwara",27.1
"NG6AFL","CN_NUTS_C_HA2","..Nasarawa",34.5
"NG6AFL","CN_NUTS_C_HA2","..Niger",34.2
"NG6AFL","CN_NUTS_C_HA2","..Plateau",35.8
"NG6AFL","CN_NUTS_C_HA2","..Adamawa",34.3
"NG6AFL","CN_NUTS_C_HA2","..Bauchi",50.8
"NG6AFL","CN_NUTS_C_HA2","..Borno",26.8
"NG6AFL","CN_NUTS_C_HA2","..Gombe",47.5
"NG6AFL","CN_NUTS_C_HA2","..Taraba",43.4
"NG6AFL","CN_NUTS_C_HA2","..Yobe",49.3
"NG6AFL","CN_NUTS_C_HA2","..Jigawa",59
"NG6AFL","CN_NUTS_C_HA2","..Kaduna",56.6
"NG6AFL","CN_NUTS_C_HA2","..Kano",48.3
"NG6AFL","CN_NUTS_C_HA2","..Katsina",58.5
"NG6AFL","CN_NUTS_C_HA2","..Kebbi",60.6
"NG6AFL","CN_NUTS_C_HA2","..Sokoto",51.6
"NG6AFL","CN_NUTS_C_HA2","..Zamfara",55.9
"NG6AFL","CN_NUTS_C_HA2","..Abia",17.3
"NG6AFL","CN_NUTS_C_HA2","..Anambra",18.4
"NG6AFL","CN_NUTS_C_HA2","..Ebonyi",16.2
"NG6AFL","CN_NUTS_C_HA2","..Enugu",11.7
"NG6AFL","CN_NUTS_C_HA2","..Imo",16.9
"NG6AFL","CN_NUTS_C_HA2","..Ekiti",19.2
"NG6AFL","CN_NUTS_C_HA2","..Lagos",17
"NG6AFL","CN_NUTS_C_HA2","..Ogun",23.8
"NG6AFL","CN_NUTS_C_HA2","..Ondo",24
"NG6AFL","CN_NUTS_C_HA2","..Osun",20.5
"NG6AFL","CN_NUTS_C_HA2","..Oyo",27.2
"NG6AFL","CN_NUTS_C_HA2","..Akwa Ibom",22.4
"NG6AFL","CN_NUTS_C_HA2","..Bayelsa",20.5
"NG6AFL","CN_NUTS_C_HA2","..Cross River",21.7
"NG6AFL","CN_NUTS_C_HA2","..Delta",14.9
"NG6AFL","CN_NUTS_C_HA2","..Edo",15.8
"NG6AFL","CN_NUTS_C_HA2","..Rivers",16.1
"NG6AFL","CN_NUTS_C_WH2","..FCT Abuja",13.8
"NG6AFL","CN_NUTS_C_WH2","..Benue",7.8
"NG6AFL","CN_NUTS_C_WH2","..Kogi",9.5
"NG6AFL","CN_NUTS_C_WH2","..Kwara",6.5
"NG6AFL","CN_NUTS_C_WH2","..Nasarawa",9.8
"NG6AFL","CN_NUTS_C_WH2","..Niger",17.7
"NG6AFL","CN_NUTS_C_WH2","..Plateau",10.5
"NG6AFL","CN_NUTS_C_WH2","..Adamawa",14.5
"NG6AFL","CN_NUTS_C_WH2","..Bauchi",23.3
"NG6AFL","CN_NUTS_C_WH2","..Borno",28.2
"NG6AFL","CN_NUTS_C_WH2","..Gombe",14.2
"NG6AFL","CN_NUTS_C_WH2","..Taraba",7.9
"NG6AFL","CN_NUTS_C_WH2","..Yobe",23.6
"NG6AFL","CN_NUTS_C_WH2","..Jigawa",17
"NG6AFL","CN_NUTS_C_WH2","..Kaduna",41.7
"NG6AFL","CN_NUTS_C_WH2","..Kano",39.7
"NG6AFL","CN_NUTS_C_WH2","..Katsina",24.3
"NG6AFL","CN_NUTS_C_WH2","..Kebbi",18.1
"NG6AFL","CN_NUTS_C_WH2","..Sokoto",19.3
"NG6AFL","CN_NUTS_C_WH2","..Zamfara",16.2
"NG6AFL","CN_NUTS_C_WH2","..Abia",11
"NG6AFL","CN_NUTS_C_WH2","..Anambra",17.3
"NG6AFL","CN_NUTS_C_WH2","..Ebonyi",10.5
"NG6AFL","CN_NUTS_C_WH2","..Enugu",8.9
"NG6AFL","CN_NUTS_C_WH2","..Imo",11.8
"NG6AFL","CN_NUTS_C_WH2","..Ekiti",8.3
"NG6AFL","CN_NUTS_C_WH2","..Lagos",11.3
"NG6AFL","CN_NUTS_C_WH2","..Ogun",10
"NG6AFL","CN_NUTS_C_WH2","..Ondo",6.6
"NG6AFL","CN_NUTS_C_WH2","..Osun",11.1
"NG6AFL","CN_NUTS_C_WH2","..Oyo",10.1
"NG6AFL","CN_NUTS_C_WH2","..Akwa Ibom",10.5
"NG6AFL","CN_NUTS_C_WH2","..Bayelsa",5.2
"NG6AFL","CN_NUTS_C_WH2","..Cross River",9.8
"NG6AFL","CN_NUTS_C_WH2","..Delta",17
"NG6AFL","CN_NUTS_C_WH2","..Edo",10.5
"NG6AFL","CN_NUTS_C_WH2","..Rivers",10.5
"NG7BFL","CN_NUTS_C_HA2","..FCT Abuja",21.2
"NG7BFL","CN_NUTS_C_HA2","..Benue",20.8
"NG7BFL","CN_NUTS_C_HA2","..Kogi",20
"NG7BFL","CN_NUTS_C_HA2","..Kwara",32.9
"NG7BFL","CN_NUTS_C_HA2","..Nasarawa",31.4
"NG7BFL","CN_NUTS_C_HA2","..Niger",28.2
"NG7BFL","CN_NUTS_C_HA2","..Plateau",44.7
"NG7BFL","CN_NUTS_C_HA2","..Adamawa",39.7
"NG7BFL","CN_NUTS_C_HA2","..Bauchi",54.7
"NG7BFL","CN_NUTS_C_HA2","..Borno",45.1
"NG7BFL","CN_NUTS_C_HA2","..Gombe",51.2
"NG7BFL","CN_NUTS_C_HA2","..Taraba",41.9
"NG7BFL","CN_NUTS_C_HA2","..Yobe",57.2
"NG7BFL","CN_NUTS_C_HA2","..Jigawa",64
"NG7BFL","CN_NUTS_C_HA2","..Kaduna",48.1
"NG7BFL","CN_NUTS_C_HA2","..Kano",56.9
"NG7BFL","CN_NUTS_C_HA2","..Katsina",60.5
"NG7BFL","CN_NUTS_C_HA2","..Kebbi",66.1
"NG7BFL","CN_NUTS_C_HA2","..Sokoto",54.8
"NG7BFL","CN_NUTS_C_HA2","..Zamfara",50.8
"NG7BFL","CN_NUTS_C_HA2","..Abia",22.2
"NG7BFL","CN_NUTS_C_HA2","..Anambra",14
"NG7BFL","CN_NUTS_C_HA2","..Ebonyi",25.2
"NG7BFL","CN_NUTS_C_HA2","..Enugu",14.8
"NG7BFL","CN_NUTS_C_HA2","..Imo",17.6
"NG7BFL","CN_NUTS_C_HA2","..Ekiti",22.1
"NG7BFL","CN_NUTS_C_HA2","..Lagos",17.2
"NG7BFL","CN_NUTS_C_HA2","..Ogun",26.6
"NG7BFL","CN_NUTS_C_HA2","..Ondo",20.4
"NG7BFL","CN_NUTS_C_HA2","..Osun",23.7
"NG7BFL","CN_NUTS_C_HA2","..Oyo",34.5
"NG7BFL","CN_NUTS_C_HA2","..Akwa Ibom",19.6
"NG7BFL","CN_NUTS_C_HA2","..Bayelsa",24.9
"NG7BFL","CN_NUTS_C_HA2","..Cross River",22.9
"NG7BFL","CN_NUTS_C_HA2","..Delta",23.7
"NG7BFL","CN_NUTS_C_HA2","..Edo",16
"NG7BFL","CN_NUTS_C_HA2","..Rivers",16.8
"NG7BFL","CN_NUTS_C_WH2","..FCT Abuja",3
"NG7BFL","CN_NUTS_C_WH2","..Benue",8.9
"NG7BFL","CN_NUTS_C_WH2","..Kogi",3.9
"NG7BFL","CN_NUTS_C_WH2","..Kwara",7.3
"NG7BFL","CN_NUTS_C_WH2","..Nasarawa",5.6
"NG7BFL","CN_NUTS_C_WH2","..Niger",4.7
"NG7BFL","CN_NUTS_C_WH2","..Plateau",2.4
"NG7BFL","CN_NUTS_C_WH2","..Adamawa",4.2
"NG7BFL","CN_NUTS_C_WH2","..Bauchi",8.5
"NG7BFL","CN_NUTS_C_WH2","..Borno",16
"NG7BFL","CN_NUTS_C_WH2","..Gombe",7.8
"NG7BFL","CN_NUTS_C_WH2","..Taraba",5.3
"NG7BFL","CN_NUTS_C_WH2","..Yobe",12.4
"NG7BFL","CN_NUTS_C_WH2","..Jigawa",9.6
"NG7BFL","CN_NUTS_C_WH2","..Kaduna",4.8
"NG7BFL","CN_NUTS_C_WH2","..Kano",6.4
"NG7BFL","CN_NUTS_C_WH2","..Katsina",10.5
"NG7BFL","CN_NUTS_C_WH2","..Kebbi",12.3
"NG7BFL","CN_NUTS_C_WH2","..Sokoto",17.9
"NG7BFL","CN_NUTS_C_WH2","..Zamfara",9.1
"NG7BFL","CN_NUTS_C_WH2","..Abia",9
"NG7BFL","CN_NUTS_C_WH2","..Anambra",2.3
"NG7BFL","CN_NUTS_C_WH2","..Ebonyi",4.5
"NG7BFL","CN_NUTS_C_WH2","..Enugu",2.2
"NG7BFL","CN_NUTS_C_WH2","..Imo",6.9
"NG7BFL","CN_NUTS_C_WH2","..Ekiti",3.3
"NG7BFL","CN_NUTS_C_WH2","..Lagos",6.4
"NG7BFL","CN_NUTS_C_WH2","..Ogun",5.7
"NG7BFL","CN_NUTS_C_WH2","..Ondo",3.3
"NG7BFL","CN_NUTS_C_WH2","..Osun",4.5
"NG7BFL","CN_NUTS_C_WH2","..Oyo",3.9
"NG7BFL","CN_NUTS_C_WH2","..Akwa Ibom",4.2
"NG7BFL","CN_NUTS_C_WH2","..Bayelsa",1.3
"NG7BFL","CN_NUTS_C_WH2","..Cross River",5
"NG7BFL","CN_NUTS_C_WH2","..Delta",2
"NG7BFL","CN_NUTS_C_WH2","..Edo",3.3
"NG7BFL","CN_NUTS_C_WH2","..Rivers",6.4
"NG8BFL","CN_NUTS_C_HA2","..FCT Abuja",16.3
"NG8BFL","CN_NUTS_C_HA2","..Benue",25.3
"NG8BFL","CN_NUTS_C_HA2","..Kogi",34.6
"NG8BFL","CN_NUTS_C_HA2","..Kwara",40.8
"NG8BFL","CN_NUTS_C_HA2","..Nasarawa",35
"NG8BFL","CN_NUTS_C_HA2","..Niger",43.9
"NG8BFL","CN_NUTS_C_HA2","..Plateau",46.4
"NG8BFL","CN_NUTS_C_HA2","..Adamawa",48.6
"NG8BFL","CN_NUTS_C_HA2","..Bauchi",61.7
"NG8BFL","CN_NUTS_C_HA2","..Borno",40.9
"NG8BFL","CN_NUTS_C_HA2","..Gombe",50.6
"NG8BFL","CN_NUTS_C_HA2","..Taraba",45.6
"NG8BFL","CN_NUTS_C_HA2","..Yobe",54.5
"NG8BFL","CN_NUTS_C_HA2","..Jigawa",55.7
"NG8BFL","CN_NUTS_C_HA2","..Kaduna",40.7
"NG8BFL","CN_NUTS_C_HA2","..Kano",51.9
"NG8BFL","CN_NUTS_C_HA2","..Katsina",64.6
"NG8BFL","CN_NUTS_C_HA2","..Kebbi",60
"NG8BFL","CN_NUTS_C_HA2","..Sokoto",42.8
"NG8BFL","CN_NUTS_C_HA2","..Zamfara",64.2
"NG8BFL","CN_NUTS_C_HA2","..Abia",20.2
"NG8BFL","CN_NUTS_C_HA2","..Anambra",12.9
"NG8BFL","CN_NUTS_C_HA2","..Ebonyi",31.6
"NG8BFL","CN_NUTS_C_HA2","..Enugu",15.2
"NG8BFL","CN_NUTS_C_HA2","..Imo",17.3
"NG8BFL","CN_NUTS_C_HA2","..Ekiti",17.1
"NG8BFL","CN_NUTS_C_HA2","..Lagos",17.3
"NG8BFL","CN_NUTS_C_HA2","..Ogun",17.7
"NG8BFL","CN_NUTS_C_HA2","..Ondo",23.2
"NG8BFL","CN_NUTS_C_HA2","..Osun",30.5
"NG8BFL","CN_NUTS_C_HA2","..Oyo",23.1
"NG8BFL","CN_NUTS_C_HA2","..Akwa Ibom",24.1
"NG8BFL","CN_NUTS_C_HA2","..Bayelsa",27.6
"NG8BFL","CN_NUTS_C_HA2","..Cross River",21
"NG8BFL","CN_NUTS_C_HA2","..Delta",20
"NG8BFL","CN_NUTS_C_HA2","..Edo",13.6
"NG8BFL","CN_NUTS_C_HA2","..Rivers",12.3
"NG8BFL","CN_NUTS_C_WH2","..FCT Abuja",7
"NG8BFL","CN_NUTS_C_WH2","..Benue",6.7
