"survey","IndicatorId","CharacteristicLabel","value"
"CD81FL","CN_NUTS_C_HA2","Bandundu",49.2
"CD81FL","CN_NUTS_C_HA2","Orientale",46.6
"CD81FL","CN_NUTS_C_HA2","Katanga",46.6
"CD81FL","CN_NUTS_C_HA2","Kasaï Occident",47.6
"CD81FL","CN_NUTS_C_WH2","Bandundu",12.6
"CD81FL","CN_NUTS_C_WH2","Orientale",6.3
"CD81FL","CN_NUTS_C_WH2","Katanga",6.2
"CD81FL","CN_NUTS_C_WH2","Kasaï Occident",9.7
"CG61FL","CN_NUTS_C_HA2","Sud",27.2
"CG61FL","CN_NUTS_C_HA2","Nord",30.3
"CG61FL","CN_NUTS_C_WH2","Sud",8.7
"CG61FL","CN_NUTS_C_WH2","Nord",4
"CI81FL","CN_NUTS_C_HA2","Centre",22.4
"CI81FL","CN_NUTS_C_HA2","Nord-Ouest",30
"CI81FL","CN_NUTS_C_WH2","Centre",5
"CI81FL","CN_NUTS_C_WH2","Nord-Ouest",6.8
"CM44FL","CN_NUTS_C_HA2","Yaoundé/Douala",19.3
"CM44FL","CN_NUTS_C_HA2","Adamaoua/Nord/Extrême-Nord",41.7
"CM44FL","CN_NUTS_C_HA2","Centre/Sud/Est",31.6
"CM44FL","CN_NUTS_C_HA2","Ouest/Littoral",36.2
"CM44FL","CN_NUTS_C_HA2","Nord Ouest/Sud Ouest",36.2
"CM44FL","CN_NUTS_C_WH2","Yaoundé/Douala",3.3
"CM44FL","CN_NUTS_C_WH2","Adamaoua/Nord/Extrême-Nord",9.2
"CM44FL","CN_NUTS_C_WH2","Centre/Sud/Est",4
"CM44FL","CN_NUTS_C_WH2","Ouest/Littoral",2.6
"CM44FL","CN_NUTS_C_WH2","Nord Ouest/Sud Ouest",6.7
"CM61FL","CN_NUTS_C_HA2","Yaoundé/Douala",12.8
"CM61FL","CN_NUTS_C_HA2","Adamaoua/Nord/Extrême-Nord",42.6
"CM61FL","CN_NUTS_C_HA2","Centre/Sud/Est",29.6
"CM61FL","CN_NUTS_C_HA2","Ouest/Littoral",30.1
"CM61FL","CN_NUTS_C_HA2","Nord Ouest/Sud Ouest",32.1
"CM61FL","CN_NUTS_C_WH2","Yaoundé/Douala",2.4
"CM61FL","CN_NUTS_C_WH2","Adamaoua/Nord/Extrême-Nord",10.5
"CM61FL","CN_NUTS_C_WH2","Centre/Sud/Est",4.8
"CM61FL","CN_NUTS_C_WH2","Ouest/Littoral",0.8
"CM61FL","CN_NUTS_C_WH2","Nord Ouest/Sud Ouest",2.4
"CM71FL","CN_NUTS_C_HA2","Yaoundé/Douala",10.1
"CM71FL","CN_NUTS_C_HA2","Adamaoua/Nord/Extrême-Nord",38.5
"CM71FL","CN_NUTS_C_HA2","Centre/Sud/Est",29.9
"CM71FL","CN_NUTS_C_HA2","Ouest/Littoral",23.5
"CM71FL","CN_NUTS_C_HA2","Nord Ouest/Sud Ouest",27.1
"CM71FL","CN_NUTS_C_WH2","Yaoundé/Douala",2.7
"CM71FL","CN_NUTS_C_WH2","Adamaoua/Nord/Extrême-Nord",8.2
"CM71FL","CN_NUTS_C_WH2","Centre/Sud/Est",2.2
"CM71FL","CN_NUTS_C_WH2","Ouest/Littoral",0.8
"CM71FL","CN_NUTS_C_WH2","Nord Ouest/Sud Ouest",1.5
"ET8AFL","CN_NUTS_C_HA2","SNNPR",38.1
"ET8AFL","CN_NUTS_C_WH2","SNNPR",4.2
"GA61FL","CN_NUTS_C_HA2","North",25.5
"GA61FL","CN_NUTS_C_HA2","East",23
"GA61FL","CN_NUTS_C_HA2","West",18.1
"GA61FL","CN_NUTS_C_HA2","..Estuaire (excluding Libreville)",14.7
"GA61FL","CN_NUTS_C_HA2","..Ogooué-Maritime (excluding Port-Gentil)",23.8
"GA61FL","CN_NUTS_C_HA2","South",25.8
