"survey","country","region","records","before_missing","after_missing","variable"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"log_gdp_pc"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"log_gdp_pc"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"log_health_expenditure_pc"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"log_health_expenditure_pc"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"log_health_expenditure_pc"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"log_health_expenditure_pc"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"political_stability"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"political_stability"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"political_stability"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"political_stability"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:uige",4707,0,0,"mean_maternal_age_first_birth"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:uige",4707,0,0,"mean_maternal_education_years"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:uige",4707,0,0,"mean_wealth_quintile"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"urban_pct"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"urban_pct"
