"survey","regkey","variable","value","eligible_n","observed_n","missing_n","weighted_n","population","source","small_denominator","low_precision"
"AO71FL","cabinda","stunting_pct",21.6,,310,,154,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","zaire","stunting_pct",24.9,,337,,140,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","uige","stunting_pct",41.7,,438,,451,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","luanda","stunting_pct",29.7,,658,,1967,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","cuanzanorte","stunting_pct",44.5,,349,,112,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","cuanzasul","stunting_pct",48.8,,361,,576,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","malanje","stunting_pct",31.9,,472,,354,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","lundanorte","stunting_pct",38.7,,408,,235,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","benguela","stunting_pct",33.1,,423,,650,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","huambo","stunting_pct",43.6,,475,,632,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","bie","stunting_pct",50.8,,411,,402,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","moxico","stunting_pct",38.5,,359,,192,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","cuandocubango","stunting_pct",42.9,,342,,142,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","namibe","stunting_pct",33.8,,436,,108,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","huila","stunting_pct",43.6,,451,,718,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","cunene","stunting_pct",39.3,,458,,306,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","lundasul","stunting_pct",42.1,,430,,142,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","bengo","stunting_pct",39.7,,398,,108,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO71FL","cabinda","wasting_pct",5.3,,320,,159,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","zaire","wasting_pct",3.2,,340,,142,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","uige","wasting_pct",4.7,,439,,452,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","luanda","wasting_pct",3.9,,671,,1996,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","cuanzanorte","wasting_pct",4,,359,,116,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","cuanzasul","wasting_pct",3.3,,361,,575,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","malanje","wasting_pct",7.6,,473,,354,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","lundanorte","wasting_pct",5.8,,411,,238,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","benguela","wasting_pct",4.6,,430,,660,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","huambo","wasting_pct",6,,478,,637,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","bie","wasting_pct",4.9,,408,,402,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","moxico","wasting_pct",4.3,,367,,196,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","cuandocubango","wasting_pct",5.3,,339,,140,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","namibe","wasting_pct",4.5,,438,,109,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
