"survey","country","region","records","retained_records","previous_records","newly_excluded","newly_recovered"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,0,0
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,0,0
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,0,0
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,0,0
"AO71FL","AGO","AGO:AO71FL:benguela",4829,4829,4829,0,0
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,4901,4901,0,0
"AO71FL","AGO","AGO:AO71FL:luanda",7158,7158,7158,0,0
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,3477,3477,0,0
"AO71FL","AGO","AGO:AO71FL:namibe",4128,4128,4128,0,0
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,3191,3191,0,0
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,4155,4155,0,0
"AO71FL","AGO","AGO:AO71FL:malanje",4469,4469,4469,0,0
"AO71FL","AGO","AGO:AO71FL:huila",4973,4973,4973,0,0
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,4181,4181,0,0
"AO71FL","AGO","AGO:AO71FL:huambo",5118,5118,5118,0,0
"AO71FL","AGO","AGO:AO71FL:moxico",3033,3033,3033,0,0
"AO71FL","AGO","AGO:AO71FL:zaire",4117,4117,4117,0,0
"AO71FL","AGO","AGO:AO71FL:bie",4535,4535,4535,0,0
"AO71FL","AGO","AGO:AO71FL:bengo",3306,3306,3306,0,0
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,3666,3666,0,0
"AO71FL","AGO","AGO:AO71FL:cunene",4453,4453,4453,0,0
"AO71FL","AGO","AGO:AO71FL:uige",4707,4707,4707,0,0
"AO81FL","AGO","AGO:AO81FL:moxico",3147,3147,3147,0,0
"AO81FL","AGO","AGO:AO81FL:uige",3962,3962,3962,0,0
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,2790,2790,0,0
"AO81FL","AGO","AGO:AO81FL:bie",4118,4118,4118,0,0
"AO81FL","AGO","AGO:AO81FL:cunene",4289,4289,4289,0,0
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,2843,2843,0,0
"AO81FL","AGO","AGO:AO81FL:huambo",4731,4731,4731,0,0
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,3905,3905,0,0
"AO81FL","AGO","AGO:AO81FL:luanda",3641,3641,3641,0,0
"AO81FL","AGO","AGO:AO81FL:benguela",4228,4228,4228,0,0
"AO81FL","AGO","AGO:AO81FL:bengo",2907,2907,2907,0,0
"AO81FL","AGO","AGO:AO81FL:malanje",3620,3620,3620,0,0
"AO81FL","AGO","AGO:AO81FL:huila",3686,3686,3686,0,0
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,4710,4710,0,0
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,2954,2954,0,0
"AO81FL","AGO","AGO:AO81FL:zaire",1938,1938,1938,0,0
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,3360,3360,0,0
"AO81FL","AGO","AGO:AO81FL:namibe",3875,3875,3875,0,0
"BU61FL","BDI","BDI:BU61FL:west",8079,8079,8079,0,0
"BU61FL","BDI","BDI:BU61FL:south",9298,9298,9298,0,0
"BU61FL","BDI","BDI:BU61FL:centraleast",11894,11894,11894,0,0
"BU61FL","BDI","BDI:BU61FL:north",9333,9333,9333,0,0
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,4071,4071,0,0
"BU71FL","BDI","BDI:BU71FL:karusi",4704,4704,4704,0,0
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,4381,4381,0,0
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,3141,3141,0,0
"BU71FL","BDI","BDI:BU71FL:rutana",3981,3981,3981,0,0
"BU71FL","BDI","BDI:BU71FL:gitega",4542,4542,4542,0,0
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,4253,4253,0,0
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,4745,4745,0,0
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,3862,3862,0,0
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,3504,3504,0,0
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,4856,4856,0,0
