"age_band","contrast","point_hr","point_lower_95","point_upper_95","pooled_hr","pooled_lower_95","pooled_upper_95","between_imputation_share","pooled_df"
"<1","40% to 20%",0.939539826877166,0.912493863888715,0.967387421682466,0.9389903488915,0.911849276716333,0.966939271462153,0.00893767695198349,112666.084880996
"1-5","40% to 20%",0.9130775994969,0.87922516389652,0.948233441145168,0.911834884343572,0.877691380462497,0.947306621454718,0.0204804338898496,21456.7629423569
"6-11","40% to 20%",0.824729486637687,0.786964329024591,0.864306933673495,0.824021846047639,0.786013486204576,0.863868132902535,0.0150206878361047,39889.89271458
"12-23","40% to 20%",0.843476184578186,0.794807833829022,0.89512463726373,0.842465913701561,0.793755454882318,0.894165591409048,0.00466838320822446,412961.450752549
"24-35","40% to 20%",0.863978475975026,0.81077922448259,0.920668394561407,0.863414773045314,0.809829686321909,0.920545496052066,0.0161020032294503,34712.2440589391
"36-47","40% to 20%",0.857621170301132,0.799810389845467,0.91961054905875,0.855993985358727,0.798119422402648,0.918065244878428,0.00619230387335148,234713.45643791
"48-59","40% to 20%",0.947468211505969,0.869500350874482,1.03242742905334,0.946064498533625,0.867881376104836,1.03129075012846,0.00928139821410288,104475.797966476
"<1","20% to 0%",0.932848807498045,0.88685261264903,0.981230573422132,0.931643576359034,0.885533741318344,0.980154355359595,0.00897501185492586,111730.681470829
"1-5","20% to 0%",0.873790359840899,0.81744666601175,0.934017624264081,0.871606290598628,0.814825498255374,0.932343829982851,0.0221001294910824,18426.9251921072
"6-11","20% to 0%",0.692987442575963,0.634575577265428,0.756776044923493,0.691685102989676,0.63277728460697,0.756076890457595,0.0228917283043131,17174.5491008629
"12-23","20% to 0%",0.550876044013707,0.491039015673718,0.618004692461821,0.548747923136596,0.488758458714943,0.616100402514674,0.0148233218003995,40959.1971890025
"24-35","20% to 0%",0.469302931540914,0.413795650074212,0.532256058064883,0.46880610069471,0.412953477282987,0.532212881447585,0.0166716704688118,32380.5539750634
"36-47","20% to 0%",0.553241611219845,0.482897274576732,0.633833107990537,0.553221016138797,0.482624419226639,0.634144234119081,0.00862398636825971,121011.428232269
"48-59","20% to 0%",0.577483165977373,0.494360353498583,0.674582426821178,0.57636478558779,0.493006256746627,0.673817748800673,0.0117203103295626,65518.5514941956
