"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths","previous_deaths","change_deaths","change_pct"
2005,42,936871.176975167,2458484.10720779,3395355.28418296,564066.526910137,973934.744391753,-37063.567416586,-3.8055493584155
2015,42,653312.609846388,2274694.11509805,2928006.72494444,416121.688943615,665558.666396863,-12246.056550475,-1.8399665076516
2024,42,556344.732068836,2080478.37478392,2636823.10685275,428146.804091449,565616.384837018,-9271.65276818199,-1.63921219694751
