"year","iso3","country","previous_deaths","rerun_deaths","difference_deaths"
2005,"AGO","Angola",24155.6330463862,23840.1591732386,-315.473873147632
2005,"BDI","Burundi",12256.9763160432,11974.4456635029,-282.530652540294
2005,"BEN","Benin",12532.7817101421,11766.3370386556,-766.444671486457
2005,"BFA","Burkina Faso",32764.2238215029,30957.9902747718,-1806.23354673111
2005,"BWA","Botswana",2.24378125896788,2.22115698680362,-0.0226242721642578
2005,"CAF","Central African Republic",9210.12242676941,8710.98422295491,-499.138203814498
2005,"CIV","Cote d'Ivoire",26322.9912890305,24562.2877799898,-1760.70350904066
2005,"CMR","Cameroon",31795.3384271552,30294.4467321469,-1500.89169500827
2005,"COD","Democratic Republic of the Congo",105102.242948752,98426.4878244558,-6675.75512429621
2005,"COG","Congo",3040.08122640521,2968.8920727333,-71.1891536719058
2005,"COM","Comoros",24.2301625876496,24.0503389540716,-0.179823633577954
2005,"CPV","Cape Verde",,,
2005,"DJI","Djibouti",3.5965993396833,3.58416391987148,-0.0124354198118222
2005,"ERI","Eritrea",66.1922231062939,65.5706364159398,-0.621586690354107
2005,"ETH","Ethiopia",40940.7706692935,40634.0323865741,-306.738282719365
2005,"GAB","Gabon",390.34018391332,386.46588533304,-3.87429858028003
2005,"GHA","Ghana",16285.386524923,15829.1491446857,-456.237380237271
2005,"GIN","Guinea",15907.2125104209,15270.9049166619,-636.307593759007
2005,"GMB","The Gambia",480.15533845255,476.574071444679,-3.58126700787147
2005,"GNB","Guinea-Bissau",633.935467902709,629.219299880845,-4.71616802186384
2005,"GNQ","Equatorial Guinea",797.754766834626,779.22845634641,-18.5263104882156
2005,"KEN","Kenya",12357.3984250662,12238.1824372056,-119.215987860647
2005,"LBR","Liberia",5793.34156617838,5594.55006727804,-198.791498900336
2005,"LSO","Lesotho",,,
2005,"MDG","Madagascar",12553.404286962,12415.3346384151,-138.069648546867
2005,"MLI","Mali",29444.0738902305,28425.4183759198,-1018.65551431067
2005,"MOZ","Mozambique",31312.0652963714,30168.1310951215,-1143.93420124987
2005,"MRT","Mauritania",387.166735774968,385.096449012484,-2.07028676248427
2005,"MWI","Malawi",18988.7305695554,18530.309124117,-458.421445438395
