"year","age_band","previous_deaths","revised_deaths","change_deaths"
2005,"<1",93071.7614215645,83260.200814134,-9811.56060743053
2005,"1-5",72009.3190082113,74784.2069837394,2774.88797552808
2005,"6-11",164975.116996673,163340.329290895,-1634.78770577715
2005,"12-23",249027.755771432,237618.945476293,-11408.8102951393
2005,"24-35",141050.170138137,142496.906142211,1446.73600407445
2005,"36-47",132450.664866901,122977.719292005,-9472.94557489616
2005,"48-59",121349.956188835,112392.86897589,-8957.08721294526
2015,"<1",62901.3360818263,60649.9546048656,-2251.38147696073
2015,"1-5",42774.3015838424,44583.7295761434,1809.42799230105
2015,"6-11",98948.4903356857,97865.9825726633,-1082.50776302238
2015,"12-23",155454.076806279,150918.489734448,-4535.58707183166
2015,"24-35",107266.16834321,110512.710876617,3246.5425334068
2015,"36-47",101571.167515273,95417.8184059988,-6153.34910927396
2015,"48-59",96643.125730747,93363.9240756527,-3279.20165509431
2024,"<1",54024.9412657024,52618.431854572,-1406.5094111304
2024,"1-5",37077.6537803702,38591.0603566765,1513.40657630626
2024,"6-11",84906.027935531,83936.3466087548,-969.68132677619
2024,"12-23",129763.812735158,126061.445316565,-3702.3674185932
2024,"24-35",91023.6170726666,94139.9695896486,3116.35251698204
2024,"36-47",86119.0115748836,80728.1710194459,-5390.84055543778
2024,"48-59",82701.320472706,80269.3073231728,-2432.01314953313
