"edf","Ref.df","Chi.sq","p-value","term","series","age_band","fit_id"
22.3796138017848,68,257.583621713573,0.102022558238403,"s(survey)","cs","6-11","cs_age_3"
19.4670158631313,30,560.562946183771,0.0136055979793652,"s(country)","cs","6-11","cs_age_3"
197.122256169369,586,573.653411800833,3.70817792605393e-06,"s(region)","cs","6-11","cs_age_3"
3.38319922671207,3.72251122632388,66.6356860256657,0,"s(pfpr_pct)","reference","12-23","reference_age_4"
1.00078262360106,1.00141747733982,31.0370990779377,0,"s(calendar_year)","reference","12-23","reference_age_4"
23.5285356931014,68,374.849470996177,0.158462987551083,"s(survey)","reference","12-23","reference_age_4"
17.0913641091175,30,823.322793014893,0.00404534587518257,"s(country)","reference","12-23","reference_age_4"
228.492143830002,586,832.748688925348,0.000163211260766571,"s(region)","reference","12-23","reference_age_4"
3.34559995800131,3.69867250705547,104.260655880533,0,"s(pfpr_pct)","gamma14","12-23","gamma14_age_4"
1.00038020197764,1.00068503510327,36.0051107216442,0,"s(calendar_year)","gamma14","12-23","gamma14_age_4"
25.2384199657888,68,337.283072731768,0.00392685700531059,"s(survey)","gamma14","12-23","gamma14_age_4"
15.7946172548364,30,557.812313149096,0.000131937887070777,"s(country)","gamma14","12-23","gamma14_age_4"
145.119092638893,586,500.502277422526,-8.32658897387262e-09,"s(region)","gamma14","12-23","gamma14_age_4"
3.07891923791651,4,3636.38330304274,0,"s(pfpr_pct)","cs","12-23","cs_age_4"
1.00084858192585,1.00153665363694,31.1485590614305,0,"s(calendar_year)","cs","12-23","cs_age_4"
23.1923117071348,68,366.965386398359,0.163862979068798,"s(survey)","cs","12-23","cs_age_4"
17.3040657593111,30,842.940570957076,0.00334747011872139,"s(country)","cs","12-23","cs_age_4"
229.301512804301,586,837.633388776895,0.000164872927907012,"s(region)","cs","12-23","cs_age_4"
3.42988026945059,3.75277227920746,62.3807841876771,0,"s(pfpr_pct)","reference","24-35","reference_age_5"
3.78153676251571,4.37548013501175,51.8690107157363,0,"s(calendar_year)","reference","24-35","reference_age_5"
19.1389309384566,68,202.183753516202,0.164623331975345,"s(survey)","reference","24-35","reference_age_5"
19.9938027787486,30,954.371469589141,0.000168691621586947,"s(country)","reference","24-35","reference_age_5"
196.117171901304,586,775.151622731422,0,"s(region)","reference","24-35","reference_age_5"
3.35110013569245,3.70502049479751,90.1802741141641,0,"s(pfpr_pct)","gamma14","24-35","gamma14_age_5"
3.42049896598613,4.04173925177269,55.2740145348132,0,"s(calendar_year)","gamma14","24-35","gamma14_age_5"
17.2585659817498,68,130.135620644384,0.017061463231856,"s(survey)","gamma14","24-35","gamma14_age_5"
19.7236016879988,30,698.872492693543,0,"s(country)","gamma14","24-35","gamma14_age_5"
120.813298711662,586,467.981509048667,0,"s(region)","gamma14","24-35","gamma14_age_5"
3.25849619786059,4,2381.62524685942,0,"s(pfpr_pct)","cs","24-35","cs_age_5"
3.77590079113095,4.37066571558231,51.79298449158,0,"s(calendar_year)","cs","24-35","cs_age_5"
19.0849617966263,68,199.859299697256,0.170334382325898,"s(survey)","cs","24-35","cs_age_5"
20.0314790835684,30,961.491352373677,0.000154316073814886,"s(country)","cs","24-35","cs_age_5"
196.331654408505,586,775.739531786313,0,"s(region)","cs","24-35","cs_age_5"
3.07425270650252,3.47779208791397,37.1890428984433,1.98435146869791e-07,"s(pfpr_pct)","reference","36-47","reference_age_6"
1.00075262449651,1.00135918669647,25.8110315997846,6.27615205250898e-07,"s(calendar_year)","reference","36-47","reference_age_6"
22.2636266414816,68,126.523787907373,0.0597085204153903,"s(survey)","reference","36-47","reference_age_6"
11.6045785311598,30,105.43962335328,0.103184247699151,"s(country)","reference","36-47","reference_age_6"
140.488270349353,586,307.470816238515,2.19854580759682e-05,"s(region)","reference","36-47","reference_age_6"
2.99841009093195,3.43136373075783,52.3588311889517,0,"s(pfpr_pct)","gamma14","36-47","gamma14_age_6"
1.00026861744473,1.00048548918396,28.3102204926907,0,"s(calendar_year)","gamma14","36-47","gamma14_age_6"
20.4410287224594,68,102.632844442888,0.000177188812727214,"s(survey)","gamma14","36-47","gamma14_age_6"
11.6728434963358,30,97.3733891588451,0.00178148267954348,"s(country)","gamma14","36-47","gamma14_age_6"
61.2509740194359,586,126.70447623642,0,"s(region)","gamma14","36-47","gamma14_age_6"
2.77462249398153,4,587.935864833765,0,"s(pfpr_pct)","cs","36-47","cs_age_6"
1.0003544775014,1.00064002499561,25.8529932761987,1.55197121154416e-06,"s(calendar_year)","cs","36-47","cs_age_6"
22.0661673835484,68,124.552132441517,0.063707929751503,"s(survey)","cs","36-47","cs_age_6"
11.7361183158769,30,107.943244001064,0.0959281744457208,"s(country)","cs","36-47","cs_age_6"
141.018767511704,586,309.116841777936,2.27691129579544e-05,"s(region)","cs","36-47","cs_age_6"
2.57211194183143,3.01280525851136,16.9278987319217,0.000759853334052984,"s(pfpr_pct)","reference","48-59","reference_age_7"
1.40064300520217,1.65557386904689,10.7909400359646,0.00799851420725339,"s(calendar_year)","reference","48-59","reference_age_7"
7.43270956873235,68,12.6468933632342,0.270470381557234,"s(survey)","reference","48-59","reference_age_7"
14.1310878266563,30,66.043116849269,0.00270408795796628,"s(country)","reference","48-59","reference_age_7"
101.601453266416,586,154.148906352231,2.29935042639351e-06,"s(region)","reference","48-59","reference_age_7"
2.71576093971808,3.20752506160998,26.6216031351859,1.35301990037973e-05,"s(pfpr_pct)","gamma14","48-59","gamma14_age_7"
1.15421552423261,1.27832379400003,10.2850389477028,0.00436905073534177,"s(calendar_year)","gamma14","48-59","gamma14_age_7"
4.22871575048467,68,7.26292229968076,0.0152657318461809,"s(survey)","gamma14","48-59","gamma14_age_7"
13.9451574149469,30,57.5351927691203,1.75224683829356e-06,"s(country)","gamma14","48-59","gamma14_age_7"
16.4696497885746,586,24.9115398955608,1.96011517916705e-06,"s(region)","gamma14","48-59","gamma14_age_7"
2.12808378121418,4,129.193488278661,0.000285594783031584,"s(pfpr_pct)","cs","48-59","cs_age_7"
1.31379150775961,1.52426060121047,10.708879168938,0.0065959827211598,"s(calendar_year)","cs","48-59","cs_age_7"
7.76968966074084,68,13.5453849246095,0.26669357789618,"s(survey)","cs","48-59","cs_age_7"
14.1164969283851,30,67.2998068313859,0.00281862605105454,"s(country)","cs","48-59","cs_age_7"
102.747202075409,586,156.778405694744,1.33859895579125e-06,"s(region)","cs","48-59","cs_age_7"
1.59145875663264,1.92268332785626,7.6645182514841,0.0135009031783343,"s(pfpr_pct)","gamma2","<1","gamma2_age_1"
1.00476729108358,1.00880335317437,21.6474456460343,3.52680695636653e-06,"s(calendar_year)","gamma2","<1","gamma2_age_1"
13.6790800922819,68,66.3068609004474,0,"s(survey)","gamma2","<1","gamma2_age_1"
17.2412113838588,30,299.25145845083,0,"s(country)","gamma2","<1","gamma2_age_1"
27.4070499125239,586,61.7879849044512,0,"s(region)","gamma2","<1","gamma2_age_1"
1.00105524748923,1.00196265659113,29.1749118209291,0,"s(pfpr_pct)","gamma2","1-5","gamma2_age_2"
1.4622379276497,1.76459749252369,73.0734002953972,0,"s(calendar_year)","gamma2","1-5","gamma2_age_2"
7.24643982826197,68,22.2535388279743,2.72762480757471e-06,"s(survey)","gamma2","1-5","gamma2_age_2"
20.8763099257395,30,231.649415754506,0,"s(country)","gamma2","1-5","gamma2_age_2"
0.0024310196312665,586,0.00435319685281265,0,"s(region)","gamma2","1-5","gamma2_age_2"
1.51252220233022,1.81356608976052,68.6572385263558,0,"s(pfpr_pct)","gamma2","6-11","gamma2_age_3"
1.00063471009524,1.00115437655221,32.8520343588303,0,"s(calendar_year)","gamma2","6-11","gamma2_age_3"
22.3569927108561,68,175.829581159402,5.15816427237858e-07,"s(survey)","gamma2","6-11","gamma2_age_3"
16.6592884768701,30,283.290811486087,-1.40888877897538e-06,"s(country)","gamma2","6-11","gamma2_age_3"
29.3370582917263,586,73.3558951419453,0,"s(region)","gamma2","6-11","gamma2_age_3"
3.28592939352667,3.6707372474478,150.996452839887,0,"s(pfpr_pct)","gamma2","12-23","gamma2_age_4"
1.00041823630811,1.00075144435881,43.2285719840406,0,"s(calendar_year)","gamma2","12-23","gamma2_age_4"
25.3774838384988,68,295.357583303354,8.68118817276553e-07,"s(survey)","gamma2","12-23","gamma2_age_4"
14.7091466050032,30,406.218335868381,2.247494834684e-07,"s(country)","gamma2","12-23","gamma2_age_4"
62.0461974056322,586,205.647965586308,0,"s(region)","gamma2","12-23","gamma2_age_4"
3.23297605408023,3.63510199653123,119.337875026301,0,"s(pfpr_pct)","gamma2","24-35","gamma2_age_5"
1.00164729141964,1.00298927919503,53.9266196039744,0,"s(calendar_year)","gamma2","24-35","gamma2_age_5"
14.1788987601639,68,85.250772923263,0.000444558315723542,"s(survey)","gamma2","24-35","gamma2_age_5"
19.3585805249318,30,557.642218274067,0,"s(country)","gamma2","24-35","gamma2_age_5"
57.5577730128989,586,223.86106110602,0,"s(region)","gamma2","24-35","gamma2_age_5"
2.86068273729932,3.34496303433022,69.6732033739825,0,"s(pfpr_pct)","gamma2","36-47","gamma2_age_6"
1.0002054791439,1.00037670013744,32.293356433439,0,"s(calendar_year)","gamma2","36-47","gamma2_age_6"
17.3369900089094,68,84.4351706094979,0,"s(survey)","gamma2","36-47","gamma2_age_6"
11.2017226163563,30,89.2405554842271,-2.37754129939205e-07,"s(country)","gamma2","36-47","gamma2_age_6"
0.0274364257175586,586,0.0546408336113979,0,"s(region)","gamma2","36-47","gamma2_age_6"
2.56742068129297,3.07951240829458,33.5426905749585,-9.79523808730676e-08,"s(pfpr_pct)","gamma2","48-59","gamma2_age_7"
1.00023704253807,1.00046720746485,10.1036272557267,0.00148339146040266,"s(calendar_year)","gamma2","48-59","gamma2_age_7"
0.000802209667796008,68,0.00144391752727133,0.0033012489180817,"s(survey)","gamma2","48-59","gamma2_age_7"
11.7011078834935,30,48.0118527744068,0,"s(country)","gamma2","48-59","gamma2_age_7"
0.000631366221753062,586,0.000970380174603295,4.41968049669228e-06,"s(region)","gamma2","48-59","gamma2_age_7"
