"edf","Ref.df","Chi.sq","p-value","term","series","age_band","fit_id"
2.10010950731431,2.51057732030416,4.887546526761,0.110115076397698,"s(pfpr_pct)","reference","<1","reference_age_1"
3.34640707212783,3.99492038877181,22.0248491186305,0.000215732444107997,"s(calendar_year)","reference","<1","reference_age_1"
11.2448775005506,68,59.661970623575,0.112021615174722,"s(survey)","reference","<1","reference_age_1"
18.4968136313696,30,588.593819742391,-3.61987049890544e-07,"s(country)","reference","<1","reference_age_1"
254.488666491146,586,674.689790624727,0,"s(region)","reference","<1","reference_age_1"
1.75787365689886,2.10771673737221,5.95753194225582,0.0521146539260432,"s(pfpr_pct)","gamma14","<1","gamma14_age_1"
1.84634318638347,2.27557384231654,18.3922805831852,0.000178652759024067,"s(calendar_year)","gamma14","<1","gamma14_age_1"
12.3293597447193,68,59.6999293983751,0.00202481824883105,"s(survey)","gamma14","<1","gamma14_age_1"
17.9672037489173,30,409.786174766064,0,"s(country)","gamma14","<1","gamma14_age_1"
152.051558418851,586,374.159571689529,0,"s(region)","gamma14","<1","gamma14_age_1"
1.00640063464695,4,71.7442406171706,0.076982228148967,"s(pfpr_pct)","cs","<1","cs_age_1"
3.20447105056515,3.85378373029853,21.4574477323654,0.000372958314219518,"s(calendar_year)","cs","<1","cs_age_1"
12.1143444499282,68,68.7145161418729,0.114149562902822,"s(survey)","cs","<1","cs_age_1"
18.3646937043079,30,597.43553968254,-1.0227231439508e-07,"s(country)","cs","<1","cs_age_1"
253.977411408797,586,676.950022431993,0,"s(region)","cs","<1","cs_age_1"
1.00156827062832,1.0027330263725,14.813179366166,0.000119419359298989,"s(pfpr_pct)","reference","1-5","reference_age_2"
1.86609845572829,2.30006757988635,48.2002731299922,0,"s(calendar_year)","reference","1-5","reference_age_2"
1.95867806291166,68,2.98323776524261,0.337210970234832,"s(survey)","reference","1-5","reference_age_2"
23.3382186860179,30,457.392469600198,0,"s(country)","reference","1-5","reference_age_2"
197.603270058118,586,409.336969640748,1.49158032924923e-06,"s(region)","reference","1-5","reference_age_2"
1.00145536682535,1.0026320673832,22.0987985099115,3.23022607917611e-06,"s(pfpr_pct)","gamma14","1-5","gamma14_age_2"
1.67142811348971,2.04684655778168,55.9755632078754,0,"s(calendar_year)","gamma14","1-5","gamma14_age_2"
6.46986564583093,68,17.1412452846128,0.00604432627279294,"s(survey)","gamma14","1-5","gamma14_age_2"
22.3444140356031,30,314.830998726419,0,"s(country)","gamma14","1-5","gamma14_age_2"
84.1349710132874,586,161.117678312275,0,"s(region)","gamma14","1-5","gamma14_age_2"
1.49009774683872,4,624.027736203681,9.59850356749836e-05,"s(pfpr_pct)","cs","1-5","cs_age_2"
1.89065860504351,2.32966203882903,48.6194830042081,0,"s(calendar_year)","cs","1-5","cs_age_2"
2.23831955959289,68,3.49832326872805,0.34656182314175,"s(survey)","cs","1-5","cs_age_2"
23.414241734112,30,435.414940352657,0,"s(country)","cs","1-5","cs_age_2"
196.961734025841,586,408.218717130034,1.08317394276192e-06,"s(region)","cs","1-5","cs_age_2"
1.8443515484752,2.21464130032811,39.1797211180614,0,"s(pfpr_pct)","reference","6-11","reference_age_3"
1.00122056289965,1.0022239082017,19.9366051572296,8.63256213173846e-06,"s(calendar_year)","reference","6-11","reference_age_3"
22.6801290241657,68,263.427016730403,0.100944450338482,"s(survey)","reference","6-11","reference_age_3"
19.2906498133268,30,551.767270581792,0.0161230113302648,"s(country)","reference","6-11","reference_age_3"
196.83514175224,586,573.210433917362,3.73308733037092e-06,"s(region)","reference","6-11","reference_age_3"
1.6424627548586,1.96897505127827,53.0882458370622,0,"s(pfpr_pct)","gamma14","6-11","gamma14_age_3"
1.00054854755672,1.00101021544933,25.3159453929582,1.00431230953824e-06,"s(calendar_year)","gamma14","6-11","gamma14_age_3"
22.7500900297381,68,208.355156292203,0.00185180855985556,"s(survey)","gamma14","6-11","gamma14_age_3"
18.2035334137901,30,394.804152617729,0.000244364403545694,"s(country)","gamma14","6-11","gamma14_age_3"
111.366597360289,586,301.487829826217,0,"s(region)","gamma14","6-11","gamma14_age_3"
1.9186403496723,4,2082.25196819844,0,"s(pfpr_pct)","cs","6-11","cs_age_3"
1.00117736849255,1.00214443161586,20.2066367446678,7.73697172817833e-06,"s(calendar_year)","cs","6-11","cs_age_3"
