"rank_absolute_difference_from_ihme","iso3","country","year","model_deaths","ihme_malaria_deaths","who_cacode_deaths","difference_from_ihme"
1,"NGA","Nigeria",2024,200987.6756104,138110.850542117,165329,62876.825068283
2,"NER","Niger",2024,34098.798824817,20343.4978323923,23877,13755.3009924247
3,"TCD","Chad",2024,17472.2420278212,4884.19831764987,14345,12588.0437101713
4,"MOZ","Mozambique",2024,17303.2695563689,10284.9934524545,10315,7018.2761039144
5,"MLI","Mali",2024,18716.5711371619,12944.5842730324,6984,5771.9868641295
6,"SSD","South Sudan",2024,9956.68151440201,4779.0227833698,3980,5177.65873103221
7,"CAF","Central African Republic",2024,8543.54579109856,3864.81190981826,5220,4678.7338812803
8,"CMR","Cameroon",2024,20776.6795551297,16295.439261067,6286,4481.2402940627
9,"UGA","Uganda",2024,21899.4198763823,26093.0901265167,12349,-4193.6702501344
10,"AGO","Angola",2024,18700.1244449298,14651.9398492798,4734,4048.18459565
11,"BEN","Benin",2024,11082.0404772244,7361.29305522589,6857,3720.74742199851
12,"CIV","Cote d'Ivoire",2024,16387.9673348508,12847.9944570404,5753,3539.9728778104
13,"BDI","Burundi",2024,11100.9768239631,14430.2985954673,3615,-3329.3217715042
14,"COD","Democratic Republic of the Congo",2024,64941.1958796703,61774.2754897226,105372,3166.9203899477
15,"GIN","Guinea",2024,10214.0445546355,7062.92867541533,6861,3151.11587922017
16,"SOM","Somalia",2024,3649.79147349119,1200.23039386064,864,2449.56107963055
17,"MDG","Madagascar",2024,7074.83720645816,4898.31220543322,9290,2176.52500102494
18,"SLE","Sierra Leone",2024,7877.3780052954,6200.18547588636,6856,1677.19252940904
19,"BFA","Burkina Faso",2024,12353.1854022255,10708.7756030255,8639,1644.4097992
20,"MWI","Malawi",2024,7187.47490669039,5556.77907078908,3052,1630.69583590131
21,"TGO","Togo",2024,3493.40134579216,1863.65613692523,2100,1629.74520886693
22,"ZMB","Zambia",2024,6282.66610883989,4717.79275413367,2589,1564.87335470622
23,"RWA","Rwanda",2024,817.941159523703,2147.105688144,729,-1329.1645286203
24,"TZA","Tanzania",2024,8709.43729652974,9939.76533484766,7308,-1230.32803831792
25,"SEN","Senegal",2024,1698.81322214435,766.297572416344,651,932.515649728006
26,"ETH","Ethiopia",2024,7986.02660822875,8908.38144328392,7007,-922.354835055171
27,"ZWE","Zimbabwe",2024,1015.4547575948,275.192339219123,531,740.262418375677
28,"KEN","Kenya",2024,2143.41801255401,2762.50881132626,2188,-619.09079877225
29,"COG","Congo",2024,1859.25147657911,1414.45241393579,533,444.79906264332
30,"GMB","The Gambia",2024,348.988140095415,125.250703961608,167,223.737436133807
31,"GNQ","Equatorial Guinea",2024,499.052016564141,718.459783286752,93,-219.407766722611
32,"GNB","Guinea-Bissau",2024,420.401370330922,243.753822660091,338,176.647547670831
33,"LBR","Liberia",2024,2516.03932037753,2689.78371276534,3513,-173.74439238781
34,"ERI","Eritrea",2024,203.10461880017,43.3765641194195,148,159.72805468075
35,"GHA","Ghana",2024,6649.84126781666,6745.25942954957,1367,-95.4181617329104
36,"GAB","Gabon",2024,329.437019124627,264.514045573738,30,64.922973550889
37,"DJI","Djibouti",2024,69.5620985816189,19.4005119570286,22,50.1615866245903
38,"SWZ","Swaziland",2024,33.6007909824071,0.481067001536171,1,33.1197239808709
39,"MRT","Mauritania",2024,160.740689805048,192.831907593039,173,-32.091217787991
40,"NAM","Namibia",2024,31.2292183072656,11.0131110529254,43,20.2161072543402
41,"COM","Comoros",2024,22.9255685957999,3.33028598949748,14,19.5952826063024
42,"BWA","Botswana",2024,1.15232683342562,0.695282142301979,0,0.457044691123641
