"iso3","country","year","SurveyType","svkey","in_panel","n_regions","in_health_fit","reason"
"NGA","Nigeria",2013,"DHS","NG6AFL",TRUE,6,TRUE,""
"NGA","Nigeria",2018,"DHS","NG7BFL",TRUE,6,TRUE,""
"NGA","Nigeria",2024,"DHS","NG8BFL",TRUE,6,TRUE,""
"RWA","Rwanda",2000,"DHS","RW41FL",TRUE,10,FALSE,""
"RWA","Rwanda",2005,"DHS","RW53FL",TRUE,1,TRUE,""
"RWA","Rwanda",2008,"DHS","RW5AFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"RWA","Rwanda",2010,"DHS","RW61FL",TRUE,4,TRUE,""
"RWA","Rwanda",2015,"DHS","RW70FL",TRUE,4,TRUE,""
"RWA","Rwanda",2019,"DHS","RW81FL",TRUE,5,TRUE,""
"STP","São Tomé & Príncipe",2008,"DHS","ST51FL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2005,"DHS","SN4AFL",TRUE,9,TRUE,""
"SEN","Senegal",2008,"MIS","SN5AFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2010,"DHS","SN61FL",TRUE,13,TRUE,""
"SEN","Senegal",2012,"DHS","SN6DFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2014,"DHS","SN71FL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2015,"DHS","SN7AFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2016,"DHS","SN7IFL",TRUE,3,TRUE,""
"SEN","Senegal",2017,"DHS","SN7ZFL",TRUE,14,TRUE,""
"SEN","Senegal",2018,"DHS","SN81FL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2019,"DHS","SN8BFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"SEN","Senegal",2023,"DHS","SN8SFL",TRUE,14,TRUE,""
"SLE","Sierra Leone",2008,"DHS","SL51FL",TRUE,4,TRUE,""
"SLE","Sierra Leone",2013,"DHS","SL61FL",TRUE,4,TRUE,""
"SLE","Sierra Leone",2019,"DHS","SL7AFL",TRUE,5,TRUE,""
"ZAF","South Africa",2016,"DHS","ZA71FL",TRUE,6,FALSE,""
"TZA","Tanzania",2004,"DHS","TZ4IFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"TZA","Tanzania",2007,"AIS","TZ51FL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"TZA","Tanzania",2010,"DHS","TZ63FL",TRUE,8,TRUE,""
"TZA","Tanzania",2012,"AIS","TZ6AFL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"TZA","Tanzania",2015,"DHS","TZ7BFL",TRUE,9,TRUE,""
"TZA","Tanzania",2022,"DHS","TZ82FL",TRUE,9,TRUE,""
"TGO","Togo",2013,"DHS","TG61FL",TRUE,4,TRUE,""
"UGA","Uganda",2000,"DHS","UG41FL",TRUE,4,FALSE,""
"UGA","Uganda",2006,"DHS","UG52FL",TRUE,9,TRUE,""
"UGA","Uganda",2009,"MIS","UG5AFL",TRUE,9,FALSE,""
"UGA","Uganda",2011,"DHS","UG61FL",FALSE,0,FALSE,"no usable mortality/prevalence overlap"
"UGA","Uganda",2016,"DHS","UG7BFL",TRUE,12,TRUE,""
"ZMB","Zambia",2002,"DHS","ZM42FL",TRUE,9,FALSE,""
"ZMB","Zambia",2007,"DHS","ZM51FL",TRUE,9,TRUE,""
"ZMB","Zambia",2013,"DHS","ZM61FL",TRUE,10,TRUE,""
"ZMB","Zambia",2018,"DHS","ZM71FL",TRUE,10,TRUE,""
"ZMB","Zambia",2024,"DHS","ZM81FL",TRUE,10,TRUE,""
"ZWE","Zimbabwe",2005,"DHS","ZW52FL",TRUE,8,TRUE,""
"ZWE","Zimbabwe",2010,"DHS","ZW62FL",TRUE,10,TRUE,""
"ZWE","Zimbabwe",2015,"DHS","ZW72FL",TRUE,9,TRUE,""
