"outcome","var","pct","lo","hi"
"Post-neonatal (1mo-5y)","DPT3 coverage",-5.1342664315237,-8.7244005587451,-1.40292191367941
"Post-neonatal (1mo-5y)","Facility delivery",-10.2131269098251,-14.2450140042977,-5.99167516959092
"Post-neonatal (1mo-5y)","Stunting",1.12764125338263,-3.25749566480562,5.7115473260744
"Post-neonatal (1mo-5y)","Underweight",-2.36762776970714,-7.58048823052104,3.13926058265956
"Post-neonatal (1mo-5y)","Wasting",-3.70737005369194,-7.16348765136959,-0.12258811321646
"Post-neonatal (1mo-5y)","Birth interval <24mo",7.80687467481513,4.05500172583868,11.6940275276097
"Post-neonatal (1mo-5y)","Improved water",-3.21094163638884,-6.51278623658634,0.207519742991358
"Post-neonatal (1mo-5y)","Improved sanitation",-2.24219190946491,-5.66795136923607,1.3079773139715
"Post-neonatal (1mo-5y)","Electricity (DHS)",-1.7800035171555,-6.3676080399676,3.03237487736019
"Post-neonatal (1mo-5y)","% urban",2.28846296010954,-1.44210279709235,6.16023628427236
"Post-neonatal (1mo-5y)","Maternal education",-1.69432327812293,-6.96900601078503,3.87942406448483
"Post-neonatal (1mo-5y)","Wealth quintile",-0.0420034232341826,-4.08967064919792,4.17648596633842
"Post-neonatal (1mo-5y)","Age at first birth",-9.64655014077559,-12.7745227476239,-6.40640603384037
"Post-neonatal (1mo-5y)","Health exp/cap (log)",-4.20728540673367,-9.75814282241266,1.685010217476
"Neonatal (<1mo)","DPT3 coverage",0.142692471935946,-2.96296247992146,3.34774341656572
"Neonatal (<1mo)","Facility delivery",-4.55942063411051,-7.895484522167,-1.10252312343025
"Neonatal (<1mo)","Stunting",-1.41659290160806,-4.67830225614433,1.9567253328084
"Neonatal (<1mo)","Underweight",-1.10020578373056,-4.93770836934915,2.89221023645834
"Neonatal (<1mo)","Wasting",-0.940432423811144,-3.87015520064913,2.07857870636852
"Neonatal (<1mo)","Birth interval <24mo",2.16214850072793,-0.813303888400196,5.22686000692563
"Neonatal (<1mo)","Improved water",-0.556417735108283,-3.49350739877126,2.47005965221845
"Neonatal (<1mo)","Improved sanitation",1.31248906276558,-1.76222607535589,4.48343880396187
"Neonatal (<1mo)","Electricity (DHS)",-0.454047553182624,-4.03501201721823,3.26054175426969
"Neonatal (<1mo)","% urban",-1.0714200831367,-4.11875904574298,2.07277072098309
"Neonatal (<1mo)","Maternal education",-1.86342456502037,-5.6355835558474,2.05952414070412
"Neonatal (<1mo)","Wealth quintile",3.81581730343603,0.493980057902599,7.24745816784749
"Neonatal (<1mo)","Age at first birth",-4.87174245064532,-7.58866547265018,-2.07494101604904
"Neonatal (<1mo)","Health exp/cap (log)",-3.51441880182517,-7.18855445462576,0.305165213683889
