"iso3","country","pfpr_pct","deaths","u5mr","m_1mo_5y","births","gdp_pc","dtp3","share_u5","share_1mo5y"
"AGO","Angola",20.3629860173891,15265.5258014429,49,30.9,1407762.377142,2720.81900669715,64,22.1302506690847,35.0932777600372
"BDI","Burundi",23.4233910534999,15659.2043758806,47.1,28,466541.020846,216.231928531758,89,71.2621547400932,119.873124580657
"BEN","Benin",36.4195176021028,8123.38963423525,74.7,47.5,483329.773356,1485.38018885134,63,22.4995138270638,35.3834459554036
"BFA","Burkina Faso",20.8895299226178,12438.7300943295,74.9,51.1,737924.601416,982.493100418428,91,22.505166854373,32.9870253892864
"BWA","Botswana",0.0783307803951344,0.664983923479673,33.3,15.7,61417.467179,7649.81663744354,95,0.0325143450370252,0.0689635471167477
"CAF","Central African Republic",33.7173529884399,4319.77192218517,89.7,59.8,246240.56317,516.160999996036,42,19.5572946323585,29.3359419485378
"CIV","Côte d’Ivoire",21.6097900536211,14112.9387768486,64.5,37.1,1007972.03572,2727.8935220697,77,21.7074724893481,37.7394063494058
"CMR","Cameroon",25.154436708263,17718.226133822,64.8,40,971102.119936,1830.00833684727,77,28.1566078409367,45.6137047023174
"COD","Congo - Kinshasa",36.0389696426312,68299.9225401062,89.7,66.1,4467760.094525,692.887665085098,65,17.0426813249754,23.1275115711089
"COG","Congo - Brazzaville",23.0367083039643,1414.0779827042,39.1,22.6,192674.005464,2482.2489948456,78,18.7703978125737,32.474449312904
"COM","Comoros",2.0569309592247,3.5718790015687,39,16.9,24466.641696,1857.87060684189,75,0.374332702476439,0.863844698022552
"ERI","Eritrea",1.01174970161902,45.0068579933148,34.3,18.7,101538.982557,688.68165957684,95,1.29226555281775,2.37030526532882
"ETH","Ethiopia",3.96603043268051,9330.18058822834,44.5,19.3,4155788.807723,1133.88279681256,73,5.04517888688449,11.6326663454072
"GAB","Gabon",18.3941089285982,262.056217142271,32.6,16.3,68874.150904,8230.04311451151,61,11.6713370149162,23.3426740298325
"GHA","Ghana",16.1684528452277,7254.33644799362,35.9,17.8,892358.57088,2419.2518672482,95,22.6445578875521,45.6707656271417
"GIN","Guinea",21.3918844138873,7978.83064374528,92.1,62.3,491703.210125,1694.95375862185,63,17.6188100388065,26.0464270397123
"GMB","Gambia",7.44128485616308,146.548778346443,42.4,19.4,82404.961716,871.340287547821,80,4.19433373909732,9.16699745039827
"GNB","Guinea-Bissau",6.45858719241253,283.390713628118,67.3,35.3,65071.96512,998.376093392688,68,6.47107790560658,12.337210851199
"GNQ","Equatorial Guinea",22.7908740948625,724.113499098486,68,41.7,56764.124904,7003.58055684906,68,18.7596090769093,30.591209046279
"KEN","Kenya",4.56630179838788,2905.21639819498,38.8,18.1,1521883.633792,2133.46193404026,91,4.92000239907427,10.5467454742587
"LBR","Liberia",15.0772926520803,3088.41507207042,86.4,53.5,171623.105409,851.497723870206,83,20.8279326553634,33.6361379705308
"MDG","Madagascar",9.5834111098206,5465.88913243118,62.4,39.3,1013736.614584,550.37875528856,60,8.64074315380629,13.7196532518451
"MLI","Mali",17.8159583489328,15376.9431014676,73,45,967687.81754,1093.2523323649,82,21.767666427792,35.3119922050849
"MOZ","Mozambique",23.8959888516995,11387.9817126498,59.4,34.3,1282345.031448,656.976148587772,70,14.9504898562939,25.8909357861184
"MRT","Mauritania",2.77560525533352,197.43027665485,36.9,16.1,175914.51185,2104.54260769051,86,3.04148529033731,6.97085759089732
"MWI","Malawi",19.1949461379247,6315.80132217637,48.8,25.2,674410.571898,522.365366146003,91,19.1904106540153,37.162382536347
"NAM","Namibia",0.94554297582227,10.5391523504407,39.5,18.1,78453.121721,4501.84849548225,74,0.340093520439279,0.742193041842626
"NER","Niger",17.3322123852766,23329.372234712,110.7,77.9,1119682.50504,729.856664168989,86,18.8217733461031,26.7467305444622
"NGA","Nigeria",24.7029050973954,150493.13610871,115.6,76.6,7560454.278654,1084.16041805058,67,17.219120571104,25.9860357443815
"RWA","Rwanda",2.95286330052362,2454.49793187811,37.7,20.3,400067.783154,1059.93709298801,98,16.2737537687082,30.222685570458
"SDN","Sudan",4.74760862160875,1352.07031334233,61.6,37.9,1664613.983148,984.607666015625,39,1.31857557491532,2.14312019564072
"SEN","Senegal",6.77121703113813,838.607389622041,36.5,15.6,539961.901056,1738.73223822106,91,4.25503074869147,9.95568091841273
"SLE","Sierra Leone",30.8228777964225,7181.23666935144,90.5,62.2,260193.998376,806.654650274255,91,30.4967377897126,44.3722631827811
"SOM","Somalia",3.0050584106644,1275.3617721339,101.1,66.9,804961.508246,629.538899449007,70,1.56713758292183,2.36827518136617
"SSD","South Sudan",23.0925969704235,4282.22125812668,96.7,57.2,349010.268576,1080.14718624765,73,12.6883287948234,21.4503740290109
"SWZ","Eswatini",2.08958935754062,0.52089542094377,45.1,20.1,29390.254656,3909.55892378182,84,0.0392980181330849,0.0881761501394095
"TCD","Chad",15.0399054719793,5497.81037301096,97.3,66.9,878221.257472,980.668312111718,68,6.43388021527636,9.35749693492362
"TGO","Togo",20.988802052246,1971.63171351714,56.1,33.5,269522.656038,1266.08777721447,90,13.0397016884245,21.8366347677796
"TZA","Tanzania",8.82259173357379,10729.3102045926,37,17.1,2385962.023757,1192.60668945313,83,12.1536451122667,26.297360769232
"UGA","Uganda",21.8989085169071,28473.9253198729,48.7,27.4,1722319.708112,1077.91278438613,91,33.9472508280176,60.3369020191408
"ZMB","Zambia",14.2547402661023,5272.14715193377,48.4,27,697510.620144,1187.10943350064,91,15.6167744286722,27.9945141610271
"ZWE","Zimbabwe",3.38456270889392,302.167062423287,64.7,31,497218.043343,2496.15514995576,91,0.939281917550855,1.96037226017872
