"outcome","term","beta","se","pct_change_per_unit","p","sample"
"u5mr","(Intercept)",4.63461675393575,0.445353413327781,10198.8440516427,2.31326243301523e-25,"full"
"u5mr","pfpr10",0.0666054043122493,0.0210873052152111,6.88736220267634,0.00158553620723427,"full"
"u5mr","dtp3",-0.00807268918632547,0.00230845862184254,-0.804019253489296,0.000470514661160764,"full"
"u5mr","log_gdp",-0.012791078447501,0.0505169889095506,-1.27096202860463,0.800110961310905,"full"
"u5mr","pct_urban",-0.00229454174985687,0.000764779471786965,-0.229191130121198,0.00269744038193116,"full"
"u5mr","year_c",-0.0360788655302542,0.00524428939796295,-3.54357803852846,6.00005960143801e-12,"full"
"u5mr","stunting",0.0086235864001638,0.00194617681991199,0.866087663614579,9.37798986028299e-06,"full"
"m1mo5y","(Intercept)",3.82312569107811,0.603276698388077,4474.69759955089,2.33876054334622e-10,"full"
"m1mo5y","pfpr10",0.104781003853643,0.0286679063893787,11.0467395644833,0.000257188761760031,"full"
"m1mo5y","dtp3",-0.00967182869462931,0.00312191942568937,-0.962520698627178,0.00194805672869496,"full"
"m1mo5y","log_gdp",0.0220619106513824,0.0685743434682924,2.23070742081406,0.747662914984073,"full"
"m1mo5y","pct_urban",-0.00284743009350859,0.00100482527046433,-0.284338000946227,0.00460043784392738,"full"
"m1mo5y","year_c",-0.0474576805132849,0.00692328881271844,-4.63491697076834,7.14181038484113e-12,"full"
"m1mo5y","stunting",0.0136112080379235,0.00256771211864153,1.37042622441215,1.15227575481155e-07,"full"
"u5mr","(Intercept)",3.94677281712533,0.64660806092107,5076.80320635747,1.0356932748494e-09,"pfpr_5_50"
"u5mr","pfpr10",0.0517512587355368,0.0294092972808274,5.31137570838613,0.0784603107112363,"pfpr_5_50"
"u5mr","dtp3",-0.00562895333325583,0.00314674167209227,-0.56131404593307,0.0736438654426757,"pfpr_5_50"
"u5mr","log_gdp",0.0643048249223255,0.0795853412038707,6.64174198288936,0.419091528050602,"pfpr_5_50"
"u5mr","pct_urban",-0.00294549074545809,0.00131623423459049,-0.29411570435961,0.0252330211206411,"pfpr_5_50"
"u5mr","year_c",-0.038219928394743,0.00677946184160355,-3.74987637397058,1.72431406020481e-08,"pfpr_5_50"
"u5mr","stunting",0.00936790309887756,0.00269651420964904,0.94119192420683,0.000512610291100536,"pfpr_5_50"
"m1mo5y","(Intercept)",3.22629333375466,0.758473074952999,2418.61271687421,2.10296178798393e-05,"pfpr_5_50"
"m1mo5y","pfpr10",0.071823207572669,0.0389606692937571,7.44653699304814,0.0652589855999159,"pfpr_5_50"
"m1mo5y","dtp3",-0.00774889754083422,0.00369021538248588,-0.77189522319161,0.0357420676146323,"pfpr_5_50"
"m1mo5y","log_gdp",0.107488793272991,0.0936745540762998,11.3478382228354,0.251187192636042,"pfpr_5_50"
"m1mo5y","pct_urban",-0.00365156047598144,0.00166367848936263,-0.364490163654396,0.0281728178360426,"pfpr_5_50"
"m1mo5y","year_c",-0.0475567482308588,0.00848331974966735,-4.64436410391961,2.07160605255773e-08,"pfpr_5_50"
"m1mo5y","stunting",0.0126356259445277,0.00339372770814892,1.2715792762839,0.000196690846992773,"pfpr_5_50"
