"outcome","var","pct","lo","hi","p"
"Post-neonatal (1mo-5y)","DPT3 coverage",-7.98695545562552,-12.6346776380328,-3.09198046282583,0.00164574278132646
"Post-neonatal (1mo-5y)","Measles coverage",5.0129723010029,0.0117851993861606,10.2642486533566,0.0494450878620344
"Post-neonatal (1mo-5y)","Facility delivery",-12.0408353546544,-16.4959907180228,-7.34798590351199,1.31235162536068e-06
"Post-neonatal (1mo-5y)","Stunting",1.75778506809403,-3.46823053231803,7.26672554605012,0.517123833246295
"Post-neonatal (1mo-5y)","Underweight",-3.56749183961628,-9.9598516860221,3.27869072000246,0.299225728397039
"Post-neonatal (1mo-5y)","Wasting",-3.7177197086151,-7.62272910033386,0.352363820939727,0.0728950809783797
"Post-neonatal (1mo-5y)","Birth interval <24mo",8.72946345654728,4.68402596303332,12.9312339183759,1.51628179465727e-05
"Post-neonatal (1mo-5y)","Improved water",-3.31469530738462,-6.8230222091075,0.325728148027471,0.0738487040079912
"Post-neonatal (1mo-5y)","Improved sanitation",-2.57302248107507,-6.19984822873235,1.19403614206779,0.178059269157992
"Post-neonatal (1mo-5y)","Electricity (DHS)",-2.06812051977902,-7.22827398282039,3.37905125051263,0.449231181896654
"Post-neonatal (1mo-5y)","% urban",3.03366793995408,-1.04493735272078,7.28038005494209,0.146987022227745
"Post-neonatal (1mo-5y)","Maternal education",-1.78185700209506,-8.06128696460316,4.9264591102427,0.593775388898044
"Post-neonatal (1mo-5y)","Wealth quintile",0.455639604721747,-4.13346265818098,5.2644208104895,0.848873504882465
"Post-neonatal (1mo-5y)","Age at first birth",-10.4186457811824,-13.7298500610329,-6.98035149638048,1.03090549668381e-08
"Post-neonatal (1mo-5y)","Health exp/cap (log)",-5.15263156624768,-11.8759298624516,2.08361103574219,0.15846480266511
"Neonatal (<1mo)","DPT3 coverage",-0.626202573038281,-5.43058572194145,4.42225629122881,0.803780341364705
"Neonatal (<1mo)","Measles coverage",2.75338798454565,-1.95769532127589,7.69084607813988,0.256659932329981
"Neonatal (<1mo)","Facility delivery",-6.71714655763929,-10.9882511067341,-2.24109901735375,0.00363886852720395
"Neonatal (<1mo)","Stunting",-2.12799971666994,-6.76484089499555,2.73944434064901,0.385055334594494
"Neonatal (<1mo)","Underweight",-1.89884026681496,-8.00409843794442,4.61159005549994,0.55869542018722
"Neonatal (<1mo)","Wasting",-1.0976846254231,-4.98277612559609,2.94626161023097,0.589311352672248
"Neonatal (<1mo)","Birth interval <24mo",2.64325561387126,-0.882581583681419,6.2945150443904,0.143491865353972
"Neonatal (<1mo)","Improved water",-0.885131115154691,-4.38201749946956,2.73964140589957,0.62757167023223
"Neonatal (<1mo)","Improved sanitation",2.00533637951734,-1.6734460539962,5.82175650752954,0.28938220293161
"Neonatal (<1mo)","Electricity (DHS)",-0.59956142290708,-5.33102704142785,4.36837836660782,0.809028313075518
"Neonatal (<1mo)","% urban",-1.84823031909044,-5.62852541491949,2.08349433820707,0.351877111588456
"Neonatal (<1mo)","Maternal education",-3.15289522683482,-8.46341029461305,2.46571052223126,0.265521169134787
"Neonatal (<1mo)","Wealth quintile",6.3068170264188,1.8113510019474,11.0007797271281,0.00553180735427437
"Neonatal (<1mo)","Age at first birth",-6.41014954477227,-9.56994650484013,-3.139943307667,0.000156436368942014
"Neonatal (<1mo)","Health exp/cap (log)",-4.53634922164203,-9.63396978002173,0.848832218785467,0.0972954172502057
