"year","point","lo","hi"
2000,563873.917172404,306270.541792617,902766.576200437
2001,579564.070381438,314008.258453334,922668.292055994
2002,584245.781121561,317624.589442808,906730.658937674
2003,588047.039113033,329526.042660438,898099.685818389
2004,584677.442697789,328301.277937332,886220.054903986
2005,564235.382723966,323484.911316801,862620.923282065
2006,555070.297878564,330791.693705314,838222.39323624
2007,536805.464542994,324756.305304292,809435.665367892
2008,523617.616517695,313426.095540081,790801.227735549
2009,512719.0935621,301211.562779681,783099.362264307
2010,493710.959875497,280666.287158068,749076.259815716
2011,466302.424381573,252873.377155186,727992.560453271
2012,450219.133215199,230606.536059241,711799.05552185
2013,441256.704817405,217459.091626611,711899.573144863
2014,422457.384808125,209267.885809301,696729.110271874
2015,416191.577644388,198033.372285836,713725.77392022
2016,399527.086275468,176736.102773846,709406.248905202
2017,392014.313525214,164953.664406176,703817.142740839
2018,394542.932614326,167834.559390731,687449.83444608
2019,396775.775055348,172059.48309707,674204.87689947
2020,442214.827563535,186542.661781793,745724.468283171
2021,433520.823248362,184214.786974582,729907.694260849
2022,411853.123283096,157891.488484449,724418.604262294
2023,400220.887879535,155111.292000495,715971.485177542
2024,428232.293686377,392016.685458799,468915.292556741
2025,470341.576380392,437625.42519407,508129.225014037
