"svkey","regkey","region","rdt","mic","pct_urban","stunting","survey","cc","country","iso3","year","u5mr","m1mo5y","exposure","log_gdp","dtp3","mic_eq","pfpr2_10","pfpr10","year_c"
"AO62FL","hiperendemica","hiperendemica",24.5954272781699,15.7390910634688,18.591828612749,NA,"AOPR62FL","AO","Angola","AGO",2011,68.53,48.3,1576,8.55336169198076,50,15.7390910634688,16.4357014329885,1.64357014329885,-5
"AO62FL","luanda","luanda",1.74726059058763,1.74451830317738,97.1014167810746,NA,"AOPR62FL","AO","Angola","AGO",2011,65.08,42.09,1358,8.55336169198076,50,1.74451830317738,1.82173048365905,0.182173048365905,-5
"AO62FL","mesoendemicaestavel","mesoendemica estavel",14.6332401948603,10.5963063098101,22.5088299173038,NA,"AOPR62FL","AO","Angola","AGO",2011,104.03,79.89,2821,8.55336169198076,50,10.5963063098101,11.0652976145973,1.10652976145973,-5
"AO62FL","mesoendemicainstavel","mesoendemica instavel",8.63333597238243,9.8226888860278,26.977066258183,NA,"AOPR62FL","AO","Angola","AGO",2011,112.19,85.74,1333,8.55336169198076,50,9.8226888860278,10.2574399721598,1.02574399721598,-5
"AO71FL","bengo","bengo",9.61828236458754,NA,42.3691849242033,39.4728908628159,"AOPR71FL","AO","Angola","AGO",2015,21.85,13.54,126,8.20021383115933,57,7.16342677073304,7.4804792199288,0.74804792199288,-1
"AO71FL","benguela","benguela",9.65004648449427,NA,65.7638976634307,33.2622537341164,"AOPR71FL","AO","Angola","AGO",2015,116.15,69.87,1168,8.20021383115933,57,7.1870837957884,7.50518330220618,0.750518330220618,-1
"AO71FL","bie","bié",30.7002762707505,NA,42.9727342542059,50.6292786807111,"AOPR71FL","AO","Angola","AGO",2015,78.27,57.8,661,8.20021383115933,57,22.8647041717646,23.8766933621074,2.38766933621074,-1
"AO71FL","cabinda","cabinda",19.5169226347458,NA,81.7620773557745,21.4266496231921,"AOPR71FL","AO","Angola","AGO",2015,35.78,21.06,230,8.20021383115933,57,14.5356562413687,15.1790027233656,1.51790027233656,-1
"AO71FL","cuandocubango","cuando cubango",39.4186840448497,NA,55.1138482141807,43.0443918481555,"AOPR71FL","AO","Angola","AGO",2015,60.26,38.72,206,8.20021383115933,57,29.3579296022313,30.6573082071376,3.06573082071376,-1
"AO71FL","cuanzanorte","cuanza norte",36.6596676052393,NA,56.8388471554648,44.7183714041933,"AOPR71FL","AO","Angola","AGO",2015,64.14,31.15,165,8.20021383115933,57,27.3030915890363,28.5115232986039,2.85115232986039,-1
"AO71FL","cuanzasul","cuanza sul",28.2957474598646,NA,36.2611353263091,48.3479085021895,"AOPR71FL","AO","Angola","AGO",2015,101.72,76.36,1014,8.20021383115933,57,21.0738785958471,22.0066060511155,2.20066060511155,-1
"AO71FL","cunene","cunene",0.42051495809714,NA,23.3627461737417,39.4644859103476,"AOPR71FL","AO","Angola","AGO",2015,59.82,41.09,447,8.20021383115933,57,0.313187739155744,0.327049392654191,0.0327049392654191,-1
"AO71FL","huambo","huambo",0.931822223413637,NA,46.8814318559814,43.5977008175311,"AOPR71FL","AO","Angola","AGO",2015,78.74,42.39,989,8.20021383115933,57,0.693995040667687,0.72471118175708,0.072471118175708,-1
"AO71FL","huila","huíla",2.56936593284723,NA,34.4292786777945,43.4419409101417,"AOPR71FL","AO","Angola","AGO",2015,97.64,60.79,1157,8.20021383115933,57,1.91359163824638,1.99828698519194,0.199828698519194,-1
"AO71FL","luanda","luanda",5.73953090145349,NA,96.5493562766731,29.6537276120381,"AOPR71FL","AO","Angola","AGO",2015,42.61,26.03,3557,8.20021383115933,57,4.27464153706872,4.46383668237244,0.446383668237244,-1
"AO71FL","lundanorte","lunda norte",21.5134506913968,NA,65.0793317915578,38.9377550066065,"AOPR71FL","AO","Angola","AGO",2015,67.44,47.95,353,8.20021383115933,57,16.0226143059594,16.7317733817495,1.67317733817495,-1
"AO71FL","lundasul","lunda sul",9.11951198741369,NA,75.353601995348,42.7736591942585,"AOPR71FL","AO","Angola","AGO",2015,57.55,46.33,239,8.20021383115933,57,6.79195659166547,7.09256781324124,0.709256781324124,-1
