"svkey","regkey","u5mr","m1mo5y","exposure","pfpr2_10","pct_urban","iso3","year","pfpr10","log_gdp","dtp3","year_c","dtp3_reg","facility","educ_yrs","wealth_q"
"AO62FL","luanda",65.08,42.09,1358,6.04885840063977,95.6721466446881,"AGO",2011,0.604885840063977,8.55336169198076,50,-3,NA,NA,7.71520979474796,4.4178215802066
"AO71FL","bengo",21.85,13.54,126,8.6843139499301,41.7955049225738,"AGO",2015,0.86843139499301,8.20021383115933,57,1,30.5450917480272,41.1098445559807,4.43885008194866,2.78652643834982
"AO71FL","benguela",116.15,69.87,1168,10.1514915889101,61.5031768156568,"AGO",2015,1.01514915889101,8.20021383115933,57,1,32.8637705616515,47.0760594193374,4.28367662802244,2.71623076413031
"AO71FL","bie",78.27,57.8,661,25.9841434236365,40.5750754707304,"AGO",2015,2.59841434236365,8.20021383115933,57,1,16.3042067318022,17.2558610642866,2.61362016940675,1.94144083020618
"AO71FL","cabinda",35.78,21.06,230,20.8423335659145,77.5164709495216,"AGO",2015,2.08423335659145,8.20021383115933,57,1,62.3816909552902,83.2093733096213,6.63924934336985,3.60196021863851
"AO71FL","cuandocubango",60.26,38.72,206,20.2260687694171,57.7037904997589,"AGO",2015,2.02260687694171,8.20021383115933,57,1,22.0443484166919,20.812137087914,2.78279179303748,2.41146918159695
"AO71FL","cuanzanorte",64.14,31.15,165,29.0644113581561,57.6497980450966,"AGO",2015,2.90644113581561,8.20021383115933,57,1,36.0900464503825,36.5638838939577,3.67224348011558,2.70455043949474
"AO71FL","cuanzasul",101.72,76.36,1014,22.640072759523,34.9557343789339,"AGO",2015,2.2640072759523,8.20021383115933,57,1,31.925620744681,20.1918577965276,2.38818849558623,2.07029164886506
"AO71FL","cunene",59.82,41.09,447,6.77245896367257,25.4083520358798,"AGO",2015,0.677245896367257,8.20021383115933,57,1,58.0093106124864,25.6346537811479,4.04257524930445,1.80478488797233
"AO71FL","huambo",78.74,42.39,989,4.59935550083992,43.8645786558982,"AGO",2015,0.459935550083992,8.20021383115933,57,1,43.4413967419814,37.0217551624219,3.88598558967391,2.38990123759091
"AO71FL","huila",97.64,60.79,1157,5.97286551193955,30.2648382778929,"AGO",2015,0.597286551193955,8.20021383115933,57,1,33.6028195646486,30.4016207696124,3.82663781869019,2.09956983513221
"AO71FL","luanda",42.61,26.03,3557,7.88567715973098,96.8271323744512,"AGO",2015,0.788567715973098,8.20021383115933,57,1,55.7473953098943,70.7309924037902,7.17517486860016,4.22441002187548
"AO71FL","lundanorte",67.44,47.95,353,22.5755180991572,67.4325308968438,"AGO",2015,2.25755180991572,8.20021383115933,57,1,31.5421957133484,42.0317789953407,2.75164373018844,2.4203161104709
"AO71FL","lundasul",57.55,46.33,239,19.2638545445957,73.9675369556438,"AGO",2015,1.92638545445957,8.20021383115933,57,1,39.9140966858447,44.1782684290107,3.70867771484676,2.69442719987686
"AO71FL","malanje",52.23,34.84,481,19.2576875068855,55.5365411295464,"AGO",2015,1.92576875068855,8.20021383115933,57,1,44.4423207191922,30.4659987200229,3.59188683065625,2.7588326035702
"AO71FL","moxico",18.63,13.85,232,32.2776548471668,52.4494494776207,"AGO",2015,3.22776548471668,8.20021383115933,57,1,12.9038471597736,24.548100985315,2.9147979745085,2.25222591646007
"AO71FL","namibe",66.34,44.98,155,5.78929664733694,63.4262913303378,"AGO",2015,0.578929664733694,8.20021383115933,57,1,40.6794613135142,52.0531314922667,4.93516850215838,2.90122308794911
"AO71FL","uige",61.55,43.5,698,18.0921795220523,33.2735313954845,"AGO",2015,1.80921795220523,8.20021383115933,57,1,28.5546136492946,40.234908515439,3.3079869532272,2.17870596032712
"AO71FL","zaire",53.24,33.14,250,19.7722014882068,71.0483069175164,"AGO",2015,1.97722014882068,8.20021383115933,57,1,57.2411498273303,85.4802060822494,5.96577059832855,2.91717526636999
"AO81FL","bengo",19.75,15.78,181,15.3172708651532,29.1440866467178,"AGO",2023,1.53172708651532,7.96745814969305,66,9,36.4724407295972,52.3565773578555,5.96618428070034,2.58201109444504
"AO81FL","benguela",98.61,61.69,775,28.2745960065671,66.043575062699,"AGO",2023,2.82745960065671,7.96745814969305,66,9,50.5380812059902,49.9698225276424,6.6018096796807,3.08349289970377
"AO81FL","bie",46.66,32.07,661,28.4529715472114,33.9825049970421,"AGO",2023,2.84529715472114,7.96745814969305,66,9,25.7151806330342,21.8128874124913,4.00746193143943,2.0441067182952
"AO81FL","cabinda",52.75,43.81,235,27.9566506239455,76.4470045112338,"AGO",2023,2.79566506239455,7.96745814969305,66,9,83.9709844917583,85.1733926854879,7.32626732950972,3.93429851292859
"AO81FL","cuandocubango",66.67,46.37,204,21.263534271587,53.5993002245026,"AGO",2023,2.1263534271587,7.96745814969305,66,9,35.3279963623729,26.7652397558654,5.09770553129444,2.44413919656073
"AO81FL","cunene",63.79,44.35,342,20.1971825326909,33.2237255941933,"AGO",2023,2.01971825326909,7.96745814969305,66,9,57.8174892420699,51.7380973688457,4.83153309909193,2.15960244938669
"AO81FL","huambo",104.51,84.6,890,34.1816615515045,41.5867815143049,"AGO",2023,3.41816615515045,7.96745814969305,66,9,27.2008666119214,34.0624553208313,4.78999177094122,2.44252581927944
"AO81FL","huila",30.22,16,751,27.3110479937611,41.7862853987937,"AGO",2023,2.73110479937611,7.96745814969305,66,9,25.4249534846815,25.9518951785254,4.74152732781479,2.26750742405799
"AO81FL","luanda",38.52,26.51,2220,9.15256230592339,93.6310028125004,"AGO",2023,0.915256230592339,7.96745814969305,66,9,64.438132439701,78.6098279660302,9.02157998541731,4.1879047521853
"AO81FL","malanje",10.01,1.19,417,36.8088810996339,44.3512341558723,"AGO",2023,3.68088810996339,7.96745814969305,66,9,33.1374485155378,38.2996731568678,3.99935536189573,2.3846759070587
"AO81FL","moxico",32.84,22.78,289,22.8252761394997,48.7486705698259,"AGO",2023,2.28252761394997,7.96745814969305,66,9,10.8383958120158,35.9093023093978,3.52976736544786,2.23897016229983
"AO81FL","namibe",25.31,21.04,159,13.3586100125455,63.1676664061119,"AGO",2023,1.33586100125455,7.96745814969305,66,9,35.8342775898142,51.725283905259,5.65105843948234,3.03205417527305
"AO81FL","uige",54.21,32.35,599,40.8834699017843,33.3983361779195,"AGO",2023,4.08834699017843,7.96745814969305,66,9,62.0011578566352,42.7959597394216,5.19012539659641,2.29723689172789
"AO81FL","zaire",28.57,25.96,105,41.7168580753884,52.7705524778775,"AGO",2023,4.17168580753884,7.96745814969305,66,9,60.0191970127487,73.6480630799949,6.75817313342793,3.01574485207082
"BF62FL","cascades",127.71,99.33,587,66.2628469278618,23.4159106612637,"BFA",2010,6.62628469278618,6.43768325095688,91,-4,75.3655868350711,76.7308104265856,1.19861615112064,3.5295797833513
"BF62FL","centre",79.08,60.58,1265,36.0325061227408,77.7704541725577,"BFA",2010,3.60325061227408,6.43768325095688,91,-4,88.7930972881778,97.0524898305106,3.99733525681756,4.5784721583781
"BF62FL","centreest",74.81,53.76,1121,69.4405443637524,14.4309020168162,"BFA",2010,6.94405443637524,6.43768325095688,91,-4,98.1416221834024,84.1288440156991,0.761011792308521,3.13140623079124
"BF62FL","centrenord",101.24,84.62,1169,69.320832714056,6.19449373640913,"BFA",2010,6.9320832714056,6.43768325095688,91,-4,97.7987152287135,69.8631556172478,0.479836882880049,2.70980957580066
"BF62FL","centreouest",119.81,87.53,1212,76.4856020978722,10.5804932834558,"BFA",2010,7.64856020978722,6.43768325095688,91,-4,91.2495152727052,59.65055115984,0.910719497430243,2.76315993926715
