"svkey","regkey","region","iso3","year","pfpr2_10","exposure","map_pfpr"
"AO62FL","luanda","luanda","AGO",2011,1.82173048365905,1358,6.04885840063977
"AO71FL","bengo","bengo","AGO",2015,7.4804792199288,126,8.6843139499301
"AO71FL","benguela","benguela","AGO",2015,7.50518330220618,1168,10.1514915889101
"AO71FL","bie","bié","AGO",2015,23.8766933621074,661,25.9841434236365
"AO71FL","cabinda","cabinda","AGO",2015,15.1790027233656,230,20.8423335659145
"AO71FL","cuandocubango","cuando cubango","AGO",2015,30.6573082071376,206,20.2260687694171
"AO71FL","cuanzanorte","cuanza norte","AGO",2015,28.5115232986039,165,29.0644113581561
"AO71FL","cuanzasul","cuanza sul","AGO",2015,22.0066060511155,1014,22.640072759523
"AO71FL","cunene","cunene","AGO",2015,0.327049392654191,447,6.77245896367257
"AO71FL","huambo","huambo","AGO",2015,0.72471118175708,989,4.59935550083992
"AO71FL","huila","huíla","AGO",2015,1.99828698519194,1157,5.97286551193955
"AO71FL","luanda","luanda","AGO",2015,4.46383668237244,3557,7.88567715973098
"AO71FL","lundanorte","lunda norte","AGO",2015,16.7317733817495,353,22.5755180991572
"AO71FL","lundasul","lunda sul","AGO",2015,7.09256781324124,239,19.2638545445957
"AO71FL","malanje","malanje","AGO",2015,18.2087843282762,481,19.2576875068855
"AO71FL","moxico","moxico","AGO",2015,31.332816125164,232,32.2776548471668
"AO71FL","namibe","namibe","AGO",2015,0.983175357828359,155,5.78929664733694
"AO71FL","uige","uíge","AGO",2015,24.103526424717,698,18.0921795220523
"AO71FL","zaire","zaire","AGO",2015,15.8576037684347,250,19.7722014882068
"AO81FL","bengo","bengo","AGO",2023,28.5180788221829,181,15.3172708651532
"AO81FL","benguela","benguela","AGO",2023,9.80519223928078,775,28.2745960065671
"AO81FL","bie","bié","AGO",2023,28.3983157321661,661,28.4529715472114
"AO81FL","cabinda","cabinda","AGO",2023,12.8116447032136,235,27.9566506239455
"AO81FL","cuandocubango","cuando cubango","AGO",2023,5.62849056109647,204,21.263534271587
"AO81FL","cunene","cunene","AGO",2023,0.941086131256514,342,20.1971825326909
"AO81FL","huambo","huambo","AGO",2023,15.2029381735581,890,34.1816615515045
"AO81FL","huila","huíla","AGO",2023,8.67426598665535,751,27.3110479937611
"AO81FL","luanda","luanda","AGO",2023,1.95307439847379,2220,9.15256230592339
"AO81FL","malanje","malanje","AGO",2023,27.2557978494111,417,36.8088810996339
"AO81FL","moxico","moxico","AGO",2023,20.9648754890709,289,22.8252761394997
"AO81FL","namibe","namibe","AGO",2023,2.07118651686614,159,13.3586100125455
"AO81FL","uige","uíge","AGO",2023,30.4673260803277,599,40.8834699017843
"AO81FL","zaire","zaire","AGO",2023,16.9029534643291,105,41.7168580753884
"BF62FL","cascades","cascades","BFA",2010,62.6581572480558,587,66.2628469278618
"BF62FL","centre","centre","BFA",2010,28.954018188479,1265,36.0325061227408
"BF62FL","centreest","centre-est","BFA",2010,69.8956602633361,1121,69.4405443637524
"BF62FL","centrenord","centre-nord","BFA",2010,72.0667960379424,1169,69.320832714056
"BF62FL","centreouest","centre-ouest","BFA",2010,79.8325518987536,1212,76.4856020978722
"BF62FL","centresud","centre-sud","BFA",2010,78.4622640166794,683,73.8797090591851
"BF62FL","est","est","BFA",2010,72.2835943375091,1687,75.5750602771903
"BF62FL","nord","nord","BFA",2010,66.8975699685435,1151,64.3212842577497
"BF62FL","plateaucentral","plateau central","BFA",2010,63.5970551353628,709,62.8038568181943
"BF62FL","sahel","sahel","BFA",2010,76.8745115250817,1412,75.1773424882967
"BF62FL","sudouest","sud-ouest","BFA",2010,81.1548683697076,710,80.744019608043
"BF81FL","boucledumouhoun","boucle du mouhoun","BFA",2021,11.0642674331174,1282,18.244281302319
"BF81FL","cascades","cascades","BFA",2021,5.70953363327481,388,21.6001038076989
"BF81FL","centre","centre","BFA",2021,5.09520729899405,1746,20.1443449594937
"BF81FL","centreest","centre est","BFA",2021,10.9842493643227,1319,21.1633945751918
"BF81FL","centrenord","centre nord","BFA",2021,13.7271008673886,1227,25.6305307975309
"BF81FL","centreouest","centre ouest","BFA",2021,28.1639780872608,1264,31.1164040837524
"BF81FL","centresud","centre sud","BFA",2021,15.1520869062649,495,27.9012264532273
"BF81FL","est","est","BFA",2021,28.6579286892675,972,34.2431980590806
"BF81FL","hautsbassins","hauts-bassins","BFA",2021,6.91065086259632,1188,19.9922641211867
"BF81FL","nord","nord","BFA",2021,11.8491217040859,792,21.3821379512942
"BF81FL","plateaucentral","plateau central","BFA",2021,20.7405815764584,776,25.4280278093875
"BF81FL","sahel","sahel","BFA",2021,30.5226979840036,386,25.0606543640013
"BF81FL","sudouest","sud-ouest","BFA",2021,15.2751907788197,474,27.981303673041
"BJ61FL","alibori","alibori","BEN",2012,47.835576816144,970,48.1562688535521
"BJ61FL","atacora","atacora","BEN",2012,56.1199553713687,1257,49.5683671475206
"BJ61FL","atlantique","atlantique","BEN",2012,23.2167086530816,1526,24.4938944106946
"BJ61FL","borgou","borgou","BEN",2012,34.9322261659098,1039,39.6222836717817
"BJ61FL","collines","collines","BEN",2012,23.8774146838897,854,30.7828220728235
"BJ61FL","couffo","couffo","BEN",2012,39.8294625325905,1001,33.4858323913592
"BJ61FL","donga","donga","BEN",2012,47.7304367843326,555,51.8786421269879
"BJ61FL","littoral","littoral","BEN",2012,22.323361175973,1349,17.44013058463
"BJ61FL","mono","mono","BEN",2012,12.1769139980323,710,23.9078318698499
"BJ61FL","oueme","ouémé","BEN",2012,16.8931415427339,1582,18.4437444156701
"BJ61FL","plateau","plateau","BEN",2012,24.2491334924077,867,24.275987981264
"BJ61FL","zou","zou","BEN",2012,27.5841181030749,1150,31.2510095264015
"BJ71FL","alibori","alibori","BEN",2017,38.9289569681715,1687,39.7891265116426
"BJ71FL","atacora","atacora","BEN",2017,51.9709488769778,1126,50.7261000401382
"BJ71FL","atlantic","atlantic","BEN",2017,35.8264790933925,1511,33.2886210865307
"BJ71FL","borgou","borgou","BEN",2017,46.7548685192418,1627,43.3308044176112
"BJ71FL","collines","collines","BEN",2017,44.3608599954874,800,47.531725964916
"BJ71FL","couffo","couffo","BEN",2017,53.6679194541528,853,55.7785260789463
"BJ71FL","donga","donga","BEN",2017,49.0529170085079,805,51.2162068466502
"BJ71FL","littoral","littoral","BEN",2017,17.2838486536803,548,19.2965042659496
"BJ71FL","mono","mono","BEN",2017,40.0168262805387,574,49.1732100578486
"BJ71FL","oueme","ouémé","BEN",2017,27.5648363146592,1119,26.3059626181534
"BJ71FL","plateau","plateau","BEN",2017,38.7976437402199,802,35.8413411207569
"BJ71FL","zou","zou","BEN",2017,38.6606469435624,1196,41.6876551641187
"BU71FL","bubanza","bubanza","BDI",2016,20.5751965417421,725,13.7442630402431
"BU71FL","bujumburamairie","bujumbura mairie","BDI",2016,2.60090313850076,621,6.07892076655891
"BU71FL","bujumburarural","bujumbura rural","BDI",2016,4.99322911348745,747,7.6308426543042
"BU71FL","bururi","bururi","BDI",2016,7.84608242084386,373,8.35534698349855
"BU71FL","cankuzo","cankuzo","BDI",2016,44.9676861491222,417,33.9248387431639
"BU71FL","cibitoke","cibitoke","BDI",2016,27.1910168985625,806,18.3066193005808
"BU71FL","gitega","gitega","BDI",2016,34.7756963588901,1064,15.157244109509
"BU71FL","karusi","karusi","BDI",2016,31.0054615494972,722,24.3532340105804
"BU71FL","kayanza","kayanza","BDI",2016,26.0523628566929,833,15.6099640829441
"BU71FL","kirundo","kirundo","BDI",2016,56.274792781792,1052,38.8208648834389
"BU71FL","makamba","makamba","BDI",2016,23.9555103872662,777,13.5866246126256
"BU71FL","muramvya","muramvya","BDI",2016,20.557488551383,452,12.2190392548577
"BU71FL","muyinga","muyinga","BDI",2016,48.8917249769626,1130,35.2323892482486
"BU71FL","mwaro","mwaro","BDI",2016,17.0396219197513,375,12.2407435905905
"BU71FL","ngozi","ngozi","BDI",2016,41.6158716026519,1018,21.8809199566621
"BU71FL","rumonge","rumonge","BDI",2016,16.1566739098427,766,8.1029604142987
"BU71FL","rutana","rutana","BDI",2016,25.9146992338317,553,21.2035466483529
"BU71FL","ruyigi","ruyigi","BDI",2016,40.171787881468,712,31.7660873074495
"CD61FL","bandundu","bandundu","COD",2013,14.9706890030324,2721,15.3278580068544
"CD61FL","bascongo","bas-congo","COD",2013,24.909972505323,749,35.712663774185
"CD61FL","equateur","equateur","COD",2013,19.9516149538163,2395,33.3429676154131
"CD61FL","kasaioccidental","kasai-occidental","COD",2013,33.4368077423659,1277,35.5115125130537
"CD61FL","kasaioriental","kasai-oriental","COD",2013,30.4697478791553,1774,35.5133366048563
"CD61FL","katanga","katanga","COD",2013,33.4274450510082,1819,40.3303078725577
"CD61FL","kinshasa","kinshasa","COD",2013,19.0852104678687,1208,18.8761992330767
"CD61FL","maniema","maniema","COD",2013,35.580609482812,563,44.2612283117679
"CD61FL","nordkivu","nord-kivu","COD",2013,5.19069796345423,1312,14.8204554412333
"CD61FL","orientale","orientale","COD",2013,39.6754498249221,1499,44.2260330734669
"CD61FL","sudkivu","sud-kivu","COD",2013,10.4155062587664,1398,19.5838162794464
"CD81FL","basuele","bas-uele","COD",2023,47.4225545631897,281,48.9866275125482
"CD81FL","equateur","equateur","COD",2023,16.7258928211874,638,41.2524800617955
"CD81FL","hautkatanga","haut-katanga","COD",2023,16.077979646355,1369,25.1805901192018
"CD81FL","hautlomami","haut lomami","COD",2023,34.0254602185695,721,34.6565233704194
"CD81FL","hautuele","haut uele","COD",2023,15.5491498215627,398,47.6798264277977
"CD81FL","ituri","ituri","COD",2023,26.1903338576099,935,40.4016845953057
"CD81FL","kasai","kasaï","COD",2023,29.0633837696188,846,39.8518626512811
"CD81FL","kasaicentral","kasaï central","COD",2023,45.2785636566886,927,38.7244380351428
"CD81FL","kasaioriental","kasaï oriental","COD",2023,33.8750351264735,670,21.4060308564105
"CD81FL","kinshasa","kinshasa","COD",2023,3.97564360509559,1900,42.4992786071567
"CD81FL","kongocentral","kongo central","COD",2023,39.4691718090496,1016,36.9694583574078
"CD81FL","kwango","kwango","COD",2023,38.9972316207331,685,42.2059800972142
"CD81FL","kwilu","kwilu","COD",2023,23.0098851162185,1280,45.9633450306007
"CD81FL","lomami","lomami","COD",2023,40.0505048123942,687,41.0374990634748
"CD81FL","lualaba","lualaba","COD",2023,38.8803021763157,1029,39.5899821106873
"CD81FL","maindombe","mai-ndombe","COD",2023,11.9347815113144,325,39.5738024510783
"CD81FL","maniema","maniema","COD",2023,44.449883937047,788,29.0136126507798
"CD81FL","mongala","mongala","COD",2023,9.1308936990047,482,47.7909604523418
"CD81FL","nordkivu","nord-kivu","COD",2023,6.7644018554355,1705,20.0535302586674
"CD81FL","nordubangi","nord ubangi","COD",2023,18.5067297610049,297,51.9139524846358
"CD81FL","sankuru","sankuru","COD",2023,32.6080485950416,379,30.0827047940721
"CD81FL","sudkivu","sud-kivu","COD",2023,17.726255479,1573,21.7992252130413
"CD81FL","sudubangi","sud ubangi","COD",2023,19.5007121186359,683,46.4839051895132
"CD81FL","tanganyika","tanganyika","COD",2023,34.8974061714943,544,34.9994554672926
"CD81FL","tshopo","tshopo","COD",2023,33.9242832823243,350,52.0043797456289
"CD81FL","tshuapa","tshuapa","COD",2023,32.8185269300421,458,63.0571140133599
"CI81FL","abidjan","abidjan","CIV",2021,1.07780912077982,1840,10.3671445727734
"CI81FL","bassassandra","bas sassandra","CIV",2021,37.7951229712164,909,35.2635461585744
"CI81FL","comoe","comoe","CIV",2021,13.1974685559931,385,18.7295015156502
"CI81FL","denguele","denguele","CIV",2021,31.3950905908155,176,27.336849111372
"CI81FL","gohdjiboua","goh-djiboua","CIV",2021,22.226585985774,667,26.7656590936071
"CI81FL","lacs","lacs","CIV",2021,33.3154300457539,412,30.4186906751066
"CI81FL","lagunes","lagunes","CIV",2021,28.8540731317551,600,21.7540985447661
"CI81FL","montagnes","montagnes","CIV",2021,39.5823147948148,969,38.6184765461955
"CI81FL","sassandramarahoue","sassandra-marahoue","CIV",2021,43.1391530657952,1069,39.0380165237127
"CI81FL","savanes","savanes","CIV",2021,21.333450161682,747,18.7354237928873
"CI81FL","valleedubandama","vallee du bandama","CIV",2021,19.5820676406243,575,24.1115928506148
"CI81FL","woroba","woroba","CIV",2021,41.6378269070399,514,34.9420628459773
"CI81FL","yamoussoukro","yamoussoukro","CIV",2021,9.11498342726774,111,20.0046811845883
"CI81FL","zanzan","zanzan","CIV",2021,46.4979815027369,466,34.7003873628339
"CM71FL","adamawa","adamawa","CMR",2018,24.3419179082556,462,33.8519167713662
"CM71FL","douala","douala","CMR",2018,6.90711437999528,835,18.8526335098172
"CM71FL","east","east","CMR",2018,27.3207585481063,657,44.5416289496159
"CM71FL","farnorth","far-north","CMR",2018,16.96828920269,1901,16.8277312514797
"CM71FL","north","north","CMR",2018,20.2334252490614,1544,23.3543765274648
"CM71FL","northwest","north-west","CMR",2018,7.39540775123759,563,13.1579270147973
"CM71FL","south","south","CMR",2018,25.2890503861566,432,36.1155637663572
"CM71FL","southwest","south-west","CMR",2018,7.5314168577722,119,24.3724601602138
"CM71FL","west","west","CMR",2018,12.1277384825087,1008,14.5367182878728
"CM71FL","yaounde","yaounde","CMR",2018,11.4592825104464,790,19.4471941268339
"GA71FL","hautogooue","haut-ogooué","GAB",2020,0.00659713801119401,525,15.6938030199859
"GA71FL","moyenogooue","moyen-ogooué","GAB",2020,0.00659713801119401,174,16.9410017440069
"GA71FL","ngounie","ngounié","GAB",2020,0.00659713801119401,251,26.1774996942015
"GA71FL","nyanga","nyanga","GAB",2020,0.00659713801119401,115,21.015201556501
"GA71FL","ogooueivindo","ogooué-ivindo","GAB",2020,0.00659713801119401,162,40.6025544037404
"GA71FL","ogoouelolo","ogooué-lolo","GAB",2020,0.00659713801119401,151,23.9704259402063
"GA71FL","portgentil","port-gentil","GAB",2020,0.00659713801119401,618,3.05989713718494
"GA71FL","woleuntem","woleu-ntem","GAB",2020,0.00659713801119401,395,45.3228342530188
"GH72FL","ashanti","ashanti","GHA",2014,20.1680468270238,1028,22.4588110184588
"GH72FL","brongahafo","brong ahafo","GHA",2014,32.9608455837831,475,45.7941824334821
"GH72FL","central","central","GHA",2014,41.1201382664511,599,42.8675519647798
"GH72FL","eastern","eastern","GHA",2014,35.1299089553382,524,41.3665342869292
"GH72FL","greateraccra","greater accra","GHA",2014,12.3153154444585,840,16.5874402720744
"GH72FL","northern","northern","GHA",2014,41.7477777573864,657,50.3283164615479
"GH72FL","uppereast","upper east","GHA",2014,12.3802867433533,226,20.9077626082867
"GH72FL","upperwest","upper west","GHA",2014,39.7523114584578,154,50.6082210892515
"GH72FL","volta","volta","GHA",2014,27.1102157537345,436,37.427173064721
"GH72FL","western","western","GHA",2014,41.7000571928968,553,36.75256304376
"GH8CFL","ahafo","ahafo","GHA",2022,12.3194381226567,182,20.7636069783853
"GH8CFL","ashanti","ashanti","GHA",2022,7.6690657470925,1509,14.8988307944646
"GH8CFL","bono","bono","GHA",2022,10.282875927179,277,21.2332325271773
"GH8CFL","bonoeast","bono east","GHA",2022,12.5716323420285,417,23.9171243365965
"GH8CFL","central","central","GHA",2022,9.98978124679684,838,20.9748534355935
"GH8CFL","eastern","eastern","GHA",2022,6.95470498169703,603,21.1921329831914
"GH8CFL","greateraccra","greater accra","GHA",2022,2.10824299895459,1052,13.4332558396436
"GH8CFL","northeast","north east","GHA",2022,10.8021183092535,244,20.3126641995418
"GH8CFL","northern","northern","GHA",2022,11.0773982005901,909,18.2931945935421
"GH8CFL","oti","oti","GHA",2022,15.4296590963612,280,20.3996076790661
"GH8CFL","savannah","savannah","GHA",2022,12.5171327241585,242,21.6574706357954
"GH8CFL","uppereast","upper east","GHA",2022,12.6928483032105,368,21.8787017080537
"GH8CFL","upperwest","upper west","GHA",2022,13.9939069783496,234,22.1495591611844
"GH8CFL","volta","volta","GHA",2022,6.63440089081539,333,19.9931517027557
"GH8CFL","western","western","GHA",2022,9.83693604918317,518,23.3775315288042
"GH8CFL","westernnorth","western north","GHA",2022,4.61241994183534,227,22.3329891470085
"GM61FL","banjul","banjul","GMB",2013,0.00659713801119401,114,18.0556900574288
"GM61FL","basse","basse","GMB",2013,0.990357837862271,1088,28.1708007291147
"GM61FL","brikama","brikama","GMB",2013,1.06365486504566,2526,18.8853341848098
"GM61FL","janjanbureh","janjanbureh","GMB",2013,0.252126374131559,602,20.1625979215719
"GM61FL","kanifing","kanifing","GMB",2013,1.18320481311006,1268,17.4920331987834
"GM61FL","kerewan","kerewan","GMB",2013,0.121288977909489,865,17.4490457999502
"GM61FL","kuntaur","kuntaur","GMB",2013,0.166196891198659,489,17.9885569834809
"GM61FL","mansakonko","mansakonko","GMB",2013,0.00659713801119401,382,18.4604153690541
"GM81FL","banjul","banjul","GMB",2020,0.00659713801119401,80,5.49081611170742
"GM81FL","basse","basse","GMB",2020,0.403090268668265,948,3.70438166252447
"GM81FL","brikama","brikama","GMB",2020,0.502794609208264,3168,4.95779624358686
"GM81FL","janjanbureh","janjanbureh","GMB",2020,0.364782842416837,491,3.60981444549174
"GM81FL","kanifing","kanifing","GMB",2020,0.254538609262451,1277,4.9081249191584
"GM81FL","kerewan","kerewan","GMB",2020,0.00659713801119401,906,4.2202097836174
"GM81FL","kuntaur","kuntaur","GMB",2020,0.138086190969342,471,3.62217662536092
"GM81FL","mansakonko","mansakonko","GMB",2020,0.00659713801119401,330,3.91149408923723
"MD81FL","alaotramangoro","alaotra mangoro","MDG",2021,8.40338815340179,462,10.3698470910546
"MD81FL","amoronimania","amoron i mania","MDG",2021,4.27548946461183,367,7.07085995274209
"MD81FL","analanjirofo","analanjirofo","MDG",2021,4.61241980136218,520,8.9927318901736
"MD81FL","androy","androy","MDG",2021,5.21269793829488,604,7.82371766782769
