"regkey","u5mr","m1mo5y","exposure","pfpr2_10","pct_urban","svkey","iso3","year","pfpr10","log_gdp","dtp3","year_c"
"luanda",65.08,42.09,1358,6.04885840063977,95.6721466446881,"AO62FL","AGO",2011,0.604885840063977,8.55336169198076,50,-3
"bengo",21.85,13.54,126,8.6843139499301,41.7955049225738,"AO71FL","AGO",2015,0.86843139499301,8.20021383115933,57,1
"benguela",116.15,69.87,1168,10.1514915889101,61.5031768156568,"AO71FL","AGO",2015,1.01514915889101,8.20021383115933,57,1
"bie",78.27,57.8,661,25.9841434236365,40.5750754707304,"AO71FL","AGO",2015,2.59841434236365,8.20021383115933,57,1
"cabinda",35.78,21.06,230,20.8423335659145,77.5164709495216,"AO71FL","AGO",2015,2.08423335659145,8.20021383115933,57,1
"cuandocubango",60.26,38.72,206,20.2260687694171,57.7037904997589,"AO71FL","AGO",2015,2.02260687694171,8.20021383115933,57,1
"cuanzanorte",64.14,31.15,165,29.0644113581561,57.6497980450966,"AO71FL","AGO",2015,2.90644113581561,8.20021383115933,57,1
"cuanzasul",101.72,76.36,1014,22.640072759523,34.9557343789339,"AO71FL","AGO",2015,2.2640072759523,8.20021383115933,57,1
"cunene",59.82,41.09,447,6.77245896367257,25.4083520358798,"AO71FL","AGO",2015,0.677245896367257,8.20021383115933,57,1
"huambo",78.74,42.39,989,4.59935550083992,43.8645786558982,"AO71FL","AGO",2015,0.459935550083992,8.20021383115933,57,1
"huila",97.64,60.79,1157,5.97286551193955,30.2648382778929,"AO71FL","AGO",2015,0.597286551193955,8.20021383115933,57,1
"luanda",42.61,26.03,3557,7.88567715973098,96.8271323744512,"AO71FL","AGO",2015,0.788567715973098,8.20021383115933,57,1
"lundanorte",67.44,47.95,353,22.5755180991572,67.4325308968438,"AO71FL","AGO",2015,2.25755180991572,8.20021383115933,57,1
"lundasul",57.55,46.33,239,19.2638545445957,73.9675369556438,"AO71FL","AGO",2015,1.92638545445957,8.20021383115933,57,1
"malanje",52.23,34.84,481,19.2576875068855,55.5365411295464,"AO71FL","AGO",2015,1.92576875068855,8.20021383115933,57,1
"moxico",18.63,13.85,232,32.2776548471668,52.4494494776207,"AO71FL","AGO",2015,3.22776548471668,8.20021383115933,57,1
"namibe",66.34,44.98,155,5.78929664733694,63.4262913303378,"AO71FL","AGO",2015,0.578929664733694,8.20021383115933,57,1
"uige",61.55,43.5,698,18.0921795220523,33.2735313954845,"AO71FL","AGO",2015,1.80921795220523,8.20021383115933,57,1
"zaire",53.24,33.14,250,19.7722014882068,71.0483069175164,"AO71FL","AGO",2015,1.97722014882068,8.20021383115933,57,1
"bengo",19.75,15.78,181,15.3172708651532,29.1440866467178,"AO81FL","AGO",2023,1.53172708651532,7.96745814969305,66,9
"benguela",98.61,61.69,775,28.2745960065671,66.043575062699,"AO81FL","AGO",2023,2.82745960065671,7.96745814969305,66,9
"bie",46.66,32.07,661,28.4529715472114,33.9825049970421,"AO81FL","AGO",2023,2.84529715472114,7.96745814969305,66,9
"cabinda",52.75,43.81,235,27.9566506239455,76.4470045112338,"AO81FL","AGO",2023,2.79566506239455,7.96745814969305,66,9
"cuandocubango",66.67,46.37,204,21.263534271587,53.5993002245026,"AO81FL","AGO",2023,2.1263534271587,7.96745814969305,66,9
"cunene",63.79,44.35,342,20.1971825326909,33.2237255941933,"AO81FL","AGO",2023,2.01971825326909,7.96745814969305,66,9
"huambo",104.51,84.6,890,34.1816615515045,41.5867815143049,"AO81FL","AGO",2023,3.41816615515045,7.96745814969305,66,9
"huila",30.22,16,751,27.3110479937611,41.7862853987937,"AO81FL","AGO",2023,2.73110479937611,7.96745814969305,66,9
"luanda",38.52,26.51,2220,9.15256230592339,93.6310028125004,"AO81FL","AGO",2023,0.915256230592339,7.96745814969305,66,9
"malanje",10.01,1.19,417,36.8088810996339,44.3512341558723,"AO81FL","AGO",2023,3.68088810996339,7.96745814969305,66,9
"moxico",32.84,22.78,289,22.8252761394997,48.7486705698259,"AO81FL","AGO",2023,2.28252761394997,7.96745814969305,66,9
"namibe",25.31,21.04,159,13.3586100125455,63.1676664061119,"AO81FL","AGO",2023,1.33586100125455,7.96745814969305,66,9
"uige",54.21,32.35,599,40.8834699017843,33.3983361779195,"AO81FL","AGO",2023,4.08834699017843,7.96745814969305,66,9
"zaire",28.57,25.96,105,41.7168580753884,52.7705524778775,"AO81FL","AGO",2023,4.17168580753884,7.96745814969305,66,9
"atlantique",128.69,88.14,936,47.4196797370046,52.0347751048996,"BJ41FL","BEN",2001,4.74196797370046,6.19929443961247,76,-13
"alibori",141.49,104.74,1477,55.174683703866,17.9891591736328,"BJ51FL","BEN",2006,5.5174683703866,6.69598069596985,74,-8
"atacora",161.5,127.55,1209,74.8087040374884,39.7666336133199,"BJ51FL","BEN",2006,7.48087040374884,6.69598069596985,74,-8
"atlantique",111.14,83.94,1625,40.5806930125752,30.3522846654581,"BJ51FL","BEN",2006,4.05806930125752,6.69598069596985,74,-8
"borgou",112,76.76,1620,65.1936020831905,42.7657743949536,"BJ51FL","BEN",2006,6.51936020831905,6.69598069596985,74,-8
"collines",142.76,112.49,1133,78.1994167669427,22.5571674996105,"BJ51FL","BEN",2006,7.81994167669427,6.69598069596985,74,-8
"couffo",117.44,89.2,1310,82.6581073535522,20.1846014131344,"BJ51FL","BEN",2006,8.26581073535522,6.69598069596985,74,-8
"donga",174.98,128.57,634,75.5135404791413,31.9530555982731,"BJ51FL","BEN",2006,7.55135404791413,6.69598069596985,74,-8
"littoral",68.81,43.44,927,22.9274895604401,100,"BJ51FL","BEN",2006,2.29274895604401,6.69598069596985,74,-8
"mono",71.88,49.36,894,62.2979551770308,15.9760201514354,"BJ51FL","BEN",2006,6.22979551770308,6.69598069596985,74,-8
"plateau",124.54,92.37,804,55.8642827036998,24.8067712050751,"BJ51FL","BEN",2006,5.58642827036998,6.69598069596985,74,-8
"zou",123.73,91.72,1641,80.5336847566215,26.6681870335877,"BJ51FL","BEN",2006,8.05336847566215,6.69598069596985,74,-8
"alibori",108.13,75.63,970,48.1562688535521,18.4015084155889,"BJ61FL","BEN",2012,4.81562688535521,6.97683892720184,80,-2
"atacora",67.73,52.2,1257,49.5683671475206,33.5090635827757,"BJ61FL","BEN",2012,4.95683671475206,6.97683892720184,80,-2
"atlantique",71.19,43.59,1526,24.4938944106946,34.070296663173,"BJ61FL","BEN",2012,2.44938944106946,6.97683892720184,80,-2
