"country","pct_change_per10"
"Senegal",19.3229742295293
"Nigeria",15.249512744619
"Cameroon",11.6761001324411
"Cote d'Ivoire",9.9320835633294
"Congo Democratic Republic",9.48160562091895
"Togo",8.69700404242892
"Burkina Faso",7.30509637416237
"Gambia",7.21277919263184
"Ghana",7.17103947815725
"Rwanda",7.06980661770753
"Burundi",6.99280479456972
"Gabon",6.93371088189503
"Guinea",6.88458483443815
"Benin",6.76557200458767
"Mauritania",6.75953797590227
"Malawi",6.44644976918538
"Madagascar",6.09139778428607
"Uganda",4.85928014988835
"Mali",4.75215944389031
"Tanzania",2.9782428820728
"Mozambique",0.681933903601273
"Angola",-8.06996526059738
