"year","point","lo","hi"
2000,864000,833000,904000
2001,873000,840000,916000
2002,840000,809000,881000
2003,811000,781000,854000
2004,806000,770000,863000
2005,767000,734000,815000
2006,771000,739000,818000
2007,747000,717000,790000
2008,708000,679000,745000
2009,715000,683000,762000
2010,693000,659000,744000
2011,655000,625000,696000
2012,610000,583000,651000
2013,583000,554000,625000
2014,579000,546000,632000
2015,578000,543000,635000
2016,576000,542000,634000
2017,574000,540000,638000
2018,575000,536000,649000
2019,567000,527000,649000
2020,621000,575000,736000
2021,601000,558000,716000
2022,598000,554000,722000
2023,598000,550000,725000
2024,610000,561000,738000
