"svkey","regkey","u5mr","m1mo5y","exposure","pfpr2_10","pct_urban","iso3","year","pfpr10","log_gdp","dtp3","year_c","dtp3_reg","facility","educ_yrs","wealth_q","measles","excl_bf","stunting","underweight","wasting","birth_int","mage1","imp_water","imp_sanit","elec_dhs","hexp_gdp","hexp_pc","polstab","elec","log_hexp_pc","dtp3_reg_imp","measles_imp","facility_imp","educ_yrs_imp","wealth_q_imp","excl_bf_imp","stunting_imp","underweight_imp","wasting_imp","birth_int_imp","mage1_imp","imp_water_imp","imp_sanit_imp","elec_dhs_imp","hexp_gdp_imp","log_hexp_pc_imp","elec_imp"
"AO62FL","luanda",65.08,42.09,1358,6.04885840063977,95.6721466446881,"AGO",2011,0.604885840063977,8.55336169198076,50,-3,35.9621620200983,40.6723765357099,7.71520979474796,4.4178215802066,48.8801461346754,39.8435394504384,31.5210304341401,23.4725733769254,4.23890977514944,24.0009462522481,19.2898969042182,59.5647245895175,28.8970239761726,85.7547090585774,2.35561895,122.11888123,NA,34.6,4.80499500658986,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","bengo",21.85,13.54,126,8.6843139499301,41.7955049225738,"AGO",2015,0.86843139499301,8.20021383115933,57,1,30.5450917480272,41.1098445559807,4.43885008194866,2.78652643834982,42.3747139289607,40.2400869179066,34.0364226478947,21.5274000834622,4.55869792295048,21.7153709010027,19.4000093384014,16.3965968358431,64.1491944475463,34.7784427681951,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","benguela",116.15,69.87,1168,10.1514915889101,61.5031768156568,"AGO",2015,1.01514915889101,8.20021383115933,57,1,32.8637705616515,47.0760594193374,4.28367662802244,2.71623076413031,47.7487339840163,42.0545274879138,26.0454322405035,20.1408762850352,3.9191216273484,32.9727692079517,18.7248810400687,47.1151721792317,48.9244673582043,34.0127807754098,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","bie",78.27,57.8,661,25.9841434236365,40.5750754707304,"AGO",2015,2.59841434236365,8.20021383115933,57,1,16.3042067318022,17.2558610642866,2.61362016940675,1.94144083020618,25.9301819097934,39.4469919829702,43.325840798909,24.024840764103,5.64850698436439,31.0956470770079,18.0263736966072,49.7542968212557,66.4329962539936,4.62139828482209,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","cabinda",35.78,21.06,230,20.8423335659145,77.5164709495216,"AGO",2015,2.08423335659145,8.20021383115933,57,1,62.3816909552902,83.2093733096213,6.63924934336985,3.60196021863851,65.5833271435473,47.2260099345266,18.5420551323471,13.5525265566268,3.70917762435143,18.5128094369513,18.9068883169945,79.90852586406,66.0068708337489,63.9572240194366,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","cuandocubango",60.26,38.72,206,20.2260687694171,57.7037904997589,"AGO",2015,2.02260687694171,8.20021383115933,57,1,22.0443484166919,20.812137087914,2.78279179303748,2.41146918159695,42.5884128915304,41.1494129312662,37.8351249839174,25.5751664200035,7.00450860587711,24.9352833344775,18.5660261771543,35.1938171357367,40.8373057296348,31.7807625659664,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","cuanzanorte",64.14,31.15,165,29.0644113581561,57.6497980450966,"AGO",2015,2.90644113581561,8.20021383115933,57,1,36.0900464503825,36.5638838939577,3.67224348011558,2.70455043949474,57.3927064908118,51.5241537633368,44.1101790350863,25.3247396944241,1.99469048227999,26.1626150252268,18.8168924413816,46.9842280298535,50.3527181364771,32.9003541168513,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","cuanzasul",101.72,76.36,1014,22.640072759523,34.9557343789339,"AGO",2015,2.2640072759523,8.20021383115933,57,1,31.925620744681,20.1918577965276,2.38818849558623,2.07029164886506,37.1593876471581,28.6442585100893,42.7806771458886,28.4818860353493,4.84341496550108,32.5683717039849,18.345032134742,22.535534051851,27.8042220374239,20.090394796141,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","cunene",59.82,41.09,447,6.77245896367257,25.4083520358798,"AGO",2015,0.677245896367257,8.20021383115933,57,1,58.0093106124864,25.6346537811479,4.04257524930445,1.80478488797233,59.1200637643639,61.6829706769137,28.9195411461977,31.7454302990807,7.17879089674749,29.2964582983296,19.3012108125515,41.6796014468626,17.4263778337041,18.7086045167502,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AO71FL","huambo",78.74,42.39,989,4.59935550083992,43.8645786558982,"AGO",2015,0.459935550083992,8.20021383115933,57,1,43.4413967419814,37.0217551624219,3.88598558967391,2.38990123759091,66.2610890114604,55.9776775552506,38.1222431387578,25.7326827510672,5.40558301384295,29.892034366042,18.3286729401396,47.9301506978036,76.3965883500641,20.9820375018654,2.29966879,107.52857208,NA,42,4.67775659904336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
