"sample","n","model","form","AIC","dAIC","dev","edf","effect"
"Full sample",600,"M1","linear in PfPR",4375.9,4.8,61.4,NA,"+11.0% /+10pt"
"Full sample",600,"M2","spline s(PfPR)",4376.8,5.7,61.5,2.13,"edf=2.13"
"Full sample",600,"M3","linear in log PfPR (power law)",4378.9,7.8,60.7,NA,"+6.2% /doubling"
"Full sample",600,"M4","spline s(log PfPR)",4371.1,0,61.4,2.46,"edf=2.46"
"Analysis sample PfPR2-10 >= 1%",467,"M1","linear in PfPR",3561.9,0,57.1,NA,"+8.5% /+10pt"
"Analysis sample PfPR2-10 >= 1%",467,"M2","spline s(PfPR)",3562,0.1,57.1,1,"edf=1.00"
"Analysis sample PfPR2-10 >= 1%",467,"M3","linear in log PfPR (power law)",3572,10.1,55.9,NA,"+8.9% /doubling"
"Analysis sample PfPR2-10 >= 1%",467,"M4","spline s(log PfPR)",3566.4,4.5,56.5,2.49,"edf=2.49"
