"iso3","country","pfpr_pct","share_u5","share_1mo5y","resid_1mo5y","resid_u5","log_gdp","dtp3"
"BDI","Burundi",23.4233910534999,71.2621547400932,119.873124580657,8.26705870991347,9.0137252118929,5.37635157483683,89
"UGA","Uganda",21.8989085169071,33.9472508280176,60.3369020191408,1.65794512900685,1.46050736989045,6.98278184317381,91
"RWA","Rwanda",2.95286330052362,16.2737537687082,30.222685570458,1.25030115865778,1.23148745839168,6.96596483910733,98
"GHA","Ghana",16.1684528452277,22.6445578875521,45.6707656271417,1.17370808632878,0.743832881710826,7.79121362559012,95
"TZA","Tanzania",8.82259173357379,12.1536451122667,26.297360769232,0.560175425401155,0.281098887897326,7.08389668580721,83
"LBR","Liberia",15.0772926520803,20.8279326553634,33.6361379705308,0.534532223159798,0.647455607814557,6.74699682701662,83
"CMR","Cameroon",25.154436708263,28.1566078409367,45.6137047023174,0.512482222837564,0.562401447688346,7.51207580147934,77
"MWI","Malawi",19.1949461379247,19.1904106540153,37.162382536347,0.443725297104802,0.135089599341562,6.25836727818788,91
"MLI","Mali",17.8159583489328,21.767666427792,35.3119922050849,0.434699068290135,0.514345746103844,6.99691232371394,82
"CIV","Côte d’Ivoire",21.6097900536211,21.7074724893481,37.7394063494058,0.303711845128274,0.191723123713042,7.91128498670223,77
"ZMB","Zambia",14.2547402661023,15.6167744286722,27.9945141610271,0.264168993295428,0.181178717510552,7.07927658370523,91
"AGO","Angola",20.3629860173891,22.1302506690847,35.0932777600372,0.238613038650474,0.339012854731767,7.90868821937027,64
"BFA","Burkina Faso",20.8895299226178,22.505166854373,32.9870253892864,0.077813904544374,0.333654094154798,6.89009332124388,91
"ETH","Ethiopia",3.96603043268051,5.04517888688449,11.6326663454072,0.0529832228374045,-0.0421154493586341,7.03340312516552,73
"SLE","Sierra Leone",30.8228777964225,30.4967377897126,44.3722631827811,0.0263736040765933,0.331012484890583,6.69289563401744,91
"NER","Niger",17.3322123852766,18.8217733461031,26.7467305444622,-0.0295832514619292,0.252394481064561,6.59284816440972,86
"KEN","Kenya",4.56630179838788,4.92000239907427,10.5467454742587,-0.0546774484783765,-0.105538755029992,7.66550126044416,91
"GNB","Guinea-Bissau",6.45858719241253,6.47107790560658,12.337210851199,-0.0865971553823285,-0.104232253820334,6.9061300524093,68
"COG","Congo - Brazzaville",23.0367083039643,18.7703978125737,32.474449312904,-0.107255029880245,-0.229176336276837,7.81692028097681,78
"MRT","Mauritania",2.77560525533352,3.04148529033731,6.97085759089732,-0.135545430818025,-0.149524967115619,7.65185343399784,86
"GNQ","Equatorial Guinea",22.7908740948625,18.7596090769093,30.591209046279,-0.19967605180061,-0.209570045428228,8.85417680538306,68
"MDG","Madagascar",9.5834111098206,8.64074315380629,13.7196532518451,-0.230887841725201,-0.142387767357174,6.31060668719788,60
"SEN","Senegal",6.77121703113813,4.25503074869147,9.95568091841273,-0.24883470201177,-0.35869878688438,7.460911527928,91
"ERI","Eritrea",1.01174970161902,1.29226555281775,2.37030526532882,-0.28049140415928,-0.182876608966396,6.53477913169923,95
"GAB","Gabon",18.3941089285982,11.6713370149162,23.3426740298325,-0.304313433463781,-0.568267933090878,9.01554653235867,61
"GMB","Gambia",7.44128485616308,4.19433373909732,9.16699745039827,-0.34341971554139,-0.420919667683969,6.7700325866026,80
"BWA","Botswana",0.0783307803951344,0.0325143450370252,0.0689635471167477,-0.350153601028637,-0.235795118467571,8.94243695757169,95
"GIN","Guinea",21.3918844138873,17.6188100388065,26.0464270397123,-0.364049523321314,-0.209114302005848,7.43541073839336,63
"NAM","Namibia",0.94554297582227,0.340093520439279,0.742193041842626,-0.372914087203032,-0.276876243938321,8.41224336818656,74
"SOM","Somalia",3.0050584106644,1.56713758292183,2.36827518136617,-0.4251746145541,-0.322126708017053,6.44498764577539,70
"COM","Comoros",2.0569309592247,0.374332702476439,0.863844698022552,-0.446243522765883,-0.366915552300872,7.52718627585179,75
"ZWE","Zimbabwe",3.38456270889392,0.939281917550855,1.96037226017872,-0.476894589612651,-0.419400129168734,7.8225068869949,91
"SWZ","Eswatini",2.08958935754062,0.0392980181330849,0.0881761501394095,-0.494970372513336,-0.404707259728136,8.27117983939927,84
"MOZ","Mozambique",23.8959888516995,14.9504898562939,25.8909357861184,-0.557812017519555,-0.698781846668769,6.48764771430625,70
"SDN","Sudan",4.74760862160875,1.31857557491532,2.14312019564072,-0.564468528551782,-0.494071791964198,6.89224325321256,39
"TGO","Togo",20.988802052246,13.0397016884245,21.8366347677796,-0.582222302600734,-0.647417240808333,7.14368693459324,90
"NGA","Nigeria",24.7029050973954,17.219120571104,25.9860357443815,-0.61248178941924,-0.531582069213037,6.98856115818211,67
"SSD","South Sudan",23.0925969704235,12.6883287948234,21.4503740290109,-0.762102561023996,-0.866651506638001,6.98485259439514,73
"TCD","Chad",15.0399054719793,6.43388021527636,9.35749693492362,-0.883876946419371,-0.827559392354403,6.88823429037601,68
"BEN","Benin",36.4195176021028,22.4995138270638,35.3834459554036,-0.960813013196846,-1.02783584273578,7.30342603789793,63
"CAF","Central African Republic",33.7173529884399,19.5572946323585,29.3359419485378,-1.11817896286009,-1.09541395922441,6.24641873231104,42
"COD","Congo - Kinshasa",36.0389696426312,17.0426813249754,23.1275115711089,-1.73293535489841,-1.61717639671041,6.54086788660607,65
