"country","level","allcause_u5","c1","c1_lo","c1_hi","c2","c2_lo","c2_hi","ihme","pfpr","n_units"
"Nigeria","National",873989,178351.589620873,119927.957462475,236775.221779272,108622.464101993,50042.9835806344,163037.160169876,150493.13610871,24.7029050973954,1
"Nigeria","Subnational (sum of 37 admin-1)",873989,178349.881361076,119926.784542389,236772.978179764,108283.736605673,49971.1200443558,162272.326558128,150493.13610871,24.7026787429973,37
"DR Congo","National",400758,125534.986274059,86451.8459761262,164618.126571991,71390.5979743485,33451.889697021,105410.653035709,68299.9225401062,36.0389696426312,1
"DR Congo","Subnational (sum of 26 admin-1)",400758,125535.189659336,86451.9856238995,164618.393694773,70902.0071250883,33344.5125131498,104348.358725714,68299.9225401062,36.0390284156457,26
