"outcome","model","term","estimate","std_error","p_value"
"share_u5","prevalence_only","(Intercept)",2.21885868373049,2.68735072190261,0.413890136601861
"share_u5","prevalence_only","pfpr_pct",0.815287143112582,0.147109517677785,2.07849165822208e-06
"share_u5","multivariable","(Intercept)",5.7855551996852,16.2205827727706,0.723304506205227
"share_u5","multivariable","pfpr_pct",0.863493867184643,0.138063451583171,2.55072371481826e-07
"share_u5","multivariable","log_gdp",-3.88506432302335,1.79747248044423,0.0370299380491967
"share_u5","multivariable","dtp3",0.305093670262725,0.100035998293025,0.00415779785794452
"share_1mo5y","prevalence_only","(Intercept)",5.83140441396123,4.71621504743485,0.223499353139756
"share_1mo5y","prevalence_only","pfpr_pct",1.23609523566584,0.258172524798568,2.32192159970876e-05
"share_1mo5y","multivariable","(Intercept)",5.22394099540665,28.5661400124369,0.855870824294058
"share_1mo5y","multivariable","pfpr_pct",1.34039938494057,0.243144154792382,2.6519831886937e-06
"share_1mo5y","multivariable","log_gdp",-6.1143343325909,3.16553672973254,0.0609005255022092
"share_1mo5y","multivariable","dtp3",0.554565468589906,0.176173838730354,0.00319561141899863
