"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"RWA","Rwanda",2005,"map_full",4.897431879853,"MAP","estimated",38267.9806795348,3032.63854327557,35235.3421362592,0.0792474149255905,2841.50458808531,0.814603360177058,FALSE,TRUE,FALSE
"SEN","Senegal",2005,"map_full",5.44994687087531,"MAP","estimated",38522.3642175266,3163.44978992705,35358.9144275996,0.0821198245274824,4355.85191330994,0.99558981120801,FALSE,TRUE,FALSE
"SLE","Sierra Leone",2005,"map_full",40.7926668056115,"MAP","estimated",37841.2524673903,12478.6600448421,25362.5924225482,0.329763399231978,6759.19690523862,0.99816935916103,FALSE,TRUE,FALSE
"SOM","Somalia",2005,"map_full",9.00565355096317,"MAP","estimated",91196.3495631419,13107.4981293135,78088.8514338284,0.143728320180603,2834.75713714953,0.983183349547194,FALSE,TRUE,FALSE
"SSD","South Sudan",2005,"map_full",35.4180105817913,"MAP","estimated",37611.7230423069,11381.3507390556,26230.3723032513,0.302601152471889,4727.21749013014,0.998944588913762,FALSE,TRUE,FALSE
"STP","Sao Tome and Principe",2005,"map_full",,"MAP","missing_MAP_no_estimate",413.742464346307,,,,39.3306059836189,,,TRUE,FALSE
"SWZ","Swaziland",2005,"map_full",2.77619052188256,"MAP","estimated",3247.7077903365,120.675319019243,3127.03247131726,0.0371570740995575,2.47884157083843,0.0274046526925583,FALSE,TRUE,FALSE
"TCD","Chad",2005,"map_full",17.2544300153994,"MAP","estimated",77646.949864827,18531.0189273183,59115.9309375087,0.238657396840163,3943.23764594159,0.941951498070144,FALSE,TRUE,FALSE
"TGO","Togo",2005,"map_full",54.7789048030301,"MAP","estimated",22148.2394810415,7762.34396956442,14385.8955114771,0.350472279126693,3282.74509670263,1,FALSE,TRUE,FALSE
"TZA","Tanzania",2005,"map_full",21.5102815877522,"MAP","estimated",143205.034385894,33734.530220507,109470.504165387,0.235568046648435,17905.7678371295,0.982661834291151,FALSE,TRUE,FALSE
"UGA","Uganda",2005,"map_full",41.7907617391782,"MAP","estimated",137915.902947265,45543.6106403141,92372.2923069512,0.330227404288021,44154.0043335441,0.972005626882908,FALSE,TRUE,FALSE
"ZMB","Zambia",2005,"map_full",20.8670520447216,"MAP","estimated",52399.241167066,13239.967580761,39159.273586305,0.252674796158739,3742.04847209806,0.999994981989078,FALSE,TRUE,FALSE
"ZWE","Zimbabwe",2005,"map_full",4.09485353977597,"MAP","estimated",28517.2506942995,1650.7244766955,26866.526217604,0.0578851199363856,363.485138105732,0.993374399109765,FALSE,TRUE,FALSE
"AGO","Angola",2015,"map_full",12.001303326479,"MAP","estimated",77321.0488630936,12585.8999595238,64735.1489035698,0.16277456326037,6832.55631081913,0.998084957706995,FALSE,TRUE,FALSE
"BDI","Burundi",2015,"map_full",16.717817650048,"MAP","estimated",39468.6283250787,8062.74021781343,31405.8881072653,0.204282250485262,7621.7837339771,0.903118502531811,FALSE,TRUE,FALSE
"BEN","Benin",2015,"map_full",36.3793100261877,"MAP","estimated",38817.0754924682,12882.0991528068,25934.9763396614,0.331866813493106,7298.77480376705,1,FALSE,TRUE,FALSE
"BFA","Burkina Faso",2015,"map_full",39.2003452509794,"MAP","estimated",55253.1036656593,16984.2988183619,38268.8048472975,0.307390855745138,13545.8717646912,1,FALSE,TRUE,FALSE
"BWA","Botswana",2015,"map_full",0.0668556239324968,"MAP","estimated",2000.78906689539,1.6833516014288,1999.10571529396,0.000841343862419662,0.518384167820944,0.500006041684288,FALSE,TRUE,FALSE
"CAF","Central African Republic",2015,"map_full",36.7348327663838,"MAP","estimated",28150.8022278888,8341.83552381646,19808.9667040723,0.296326742530707,2950.93257259004,1,FALSE,TRUE,FALSE
"CIV","Cote d'Ivoire",2015,"map_full",21.3567298975211,"MAP","estimated",77900.2697353517,17468.1796331476,60432.0901022041,0.224237729760009,12113.9747572197,0.999044906250652,FALSE,TRUE,FALSE
"CMR","Cameroon",2015,"map_full",25.339889009207,"MAP","estimated",86832.2296518058,23706.7898069452,63125.4398448606,0.27301832397957,12490.1867607554,0.994188327616715,FALSE,TRUE,FALSE
"COD","Democratic Republic of the Congo",2015,"map_full",31.2906693790223,"MAP","estimated",248211.14235586,75956.8802447916,172254.262111069,0.306017205850865,72887.450903449,0.967925701459564,FALSE,TRUE,FALSE
"COG","Congo",2015,"map_full",19.1216915715156,"MAP","estimated",9147.10580862238,1929.9867597863,7217.11904883608,0.2109942532825,1162.69867040741,0.999999884856155,FALSE,TRUE,FALSE
"COM","Comoros",2015,"map_full",0.242446595277091,"MAP","estimated",1091.49777195399,3.20720024747472,1088.29057170652,0.00293834795625209,0.566885759376502,0.977875023773357,FALSE,TRUE,FALSE
"CPV","Cape Verde",2015,"map_full",,"MAP","missing_MAP_no_estimate",297.674343911655,,,,0.0236627273474872,,,TRUE,FALSE
"DJI","Djibouti",2015,"map_full",0.446388006068223,"MAP","estimated",1975.83391624404,9.25261282881919,1966.58130341522,0.00468288997002741,15.5983083618225,0.900244405140964,FALSE,TRUE,FALSE
"ERI","Eritrea",2015,"map_full",0.437883754324056,"MAP","estimated",12707.9072451884,102.533586492476,12605.373658696,0.00806848716426526,22.6752348843585,0.941587510523092,FALSE,TRUE,FALSE
"ETH","Ethiopia",2015,"map_full",4.44168903034584,"MAP","estimated",222280.681072972,11413.4980973416,210867.182975631,0.0513472337867937,11813.4580723826,0.827586281480413,FALSE,TRUE,FALSE
