"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths"
2005,42,973934.744391753,2421420.5397912,3395355.28418296,564066.526910137
2015,42,665558.666396863,2262448.05854757,2928006.72494444,416121.688943615
2024,42,565616.384837018,2071206.72201573,2636823.10685275,428146.804091449
