"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit","previous_deaths","change_deaths","change_pct"
"AGO","Angola",2005,"map_full",20.1035553415068,"MAP","estimated",96551.420798192,24155.6330463862,72395.7877518058,0.250184128277878,17036.3618753842,0.998084957706995,FALSE,TRUE,FALSE,21635.4282798953,2520.2047664909,11.6485087971787
"BDI","Burundi",2005,"map_full",32.7108667147613,"MAP","estimated",39965.5290915808,12256.9763160432,27708.5527755376,0.306688703856677,9544.83585622456,0.903118502531811,FALSE,TRUE,FALSE,10823.5814595416,1433.3948565016,13.2432583600873
"BEN","Benin",2005,"map_full",56.789331963267,"MAP","estimated",35764.568969811,12532.7817101421,23231.7872596689,0.350424514292931,7882.71211201263,1,FALSE,TRUE,FALSE,10835.0104286629,1697.7712814792,15.6693091590196
"BFA","Burkina Faso",2005,"map_full",53.1839944402602,"MAP","estimated",88292.8538201055,32764.2238215029,55528.6299986026,0.371085794647199,24966.6794975544,1,FALSE,TRUE,FALSE,28655.5929056779,4108.630915825,14.3379720997185
"BWA","Botswana",2005,"map_full",0.0739687942020688,"MAP","estimated",2386.55814676257,2.24378125896788,2384.31436550361,0.000940174561433429,1.01106893548783,0.500006041684288,FALSE,TRUE,FALSE,1.95103457751189,0.29274668145599,15.0046895544682
"CAF","Central African Republic",2005,"map_full",57.137610295232,"MAP","estimated",27492.8570841914,9210.12242676941,18282.734657422,0.335000556637866,3752.68743335549,1,FALSE,TRUE,FALSE,7952.37270355738,1257.74972321203,15.8160308891131
"CIV","Cote d'Ivoire",2005,"map_full",62.0559536355424,"MAP","estimated",80769.9833548921,26322.9912890305,54446.9920658616,0.325900665020209,18927.1407480006,0.999044906250652,FALSE,TRUE,FALSE,22309.4053084997,4013.5859805308,17.9905556648866
"CMR","Cameroon",2005,"map_full",48.6084683420969,"MAP","estimated",89440.1172170792,31795.3384271552,57644.778789924,0.355493031722946,20518.3763959582,0.994188327616715,FALSE,TRUE,FALSE,27824.0125603139,3971.3258668413,14.2730163675447
"COD","Democratic Republic of the Congo",2005,"map_full",64.5181086884157,"MAP","estimated",291364.155661708,105102.242948752,186261.912712956,0.360724683892764,90901.2946546033,0.967925701459564,FALSE,TRUE,FALSE,90632.651693993,14469.591254759,15.9650975496263
"COG","Congo",2005,"map_full",32.8294542135053,"MAP","estimated",10371.3261694714,3040.08122640521,7331.24494306622,0.293123673552362,1798.4947973644,0.999999884856155,FALSE,TRUE,FALSE,2670.60330497424,369.47792143097,13.8349982845743
"COM","Comoros",2005,"map_full",1.49344288730066,"MAP","estimated",1294.11415854412,24.2301625876496,1269.88399595647,0.0187233579260956,6.01667570728837,0.977875023773357,FALSE,TRUE,FALSE,21.0187732809109,3.2113893067387,15.2786714230143
"CPV","Cape Verde",2005,"map_full",,"MAP","missing_MAP_no_estimate",487.882790929842,,,,0.360636598851271,,,TRUE,FALSE,,,
"DJI","Djibouti",2005,"map_full",0.180218583070353,"MAP","estimated",1827.74449858499,3.5965993396833,1824.1478992453,0.00196778014786407,3.15105029062501,0.900748542924068,FALSE,TRUE,FALSE,3.08648270533302,0.51011663435028,16.5274418505203
"ERI","Eritrea",2005,"map_full",0.264051516629705,"MAP","estimated",12881.6351925552,66.1922231062939,12815.4429694489,0.00513849539416773,20.5491549999896,0.951453885431987,FALSE,TRUE,FALSE,59.3698422101003,6.82238089619359,11.4913239486982
"ETH","Ethiopia",2005,"map_full",10.282958677834,"MAP","estimated",324374.02190096,40940.7706692935,283433.251231666,0.126214702488702,31593.2561718979,0.827728262514435,FALSE,TRUE,FALSE,36049.1703265488,4891.6003427447,13.5692452792519
