"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths","previous_deaths","change_deaths","change_pct"
2005,42,973934.744391753,2421420.5397912,3395355.28418296,564066.526910137,854154.153608609,119780.590783144,14.0232989884903
2015,42,665558.666396863,2262448.05854757,2928006.72494444,416121.688943615,589807.37322749,75751.293169373,12.8433954216024
2024,42,565616.384837018,2071206.72201573,2636823.10685275,428146.804091449,501064.676098993,64551.708738025,12.8829094959533
