"year","iso3","age_band","start_month","end_month","observed_q","zero_pfpr_q","observed_survival","zero_pfpr_survival"
2005,"COD","<1",0,0.919917864476386,0.029350426756517,0.0256179272735641,0.970649573243483,0.974382072726436
2005,"COD","1-5",0.919917864476386,6,0.0209800068951381,0.016795753192045,0.950285338504072,0.95801659191817
2005,"COD","6-11",6,12,0.0225646989446315,0.0121404662510391,0.92884243592923,0.946385823816051
2005,"COD","12-23",12,24,0.0175879451419971,0.00789780579227221,0.912506006120548,0.938911452374993
2005,"COD","24-35",24,36,0.0123785200043919,0.00532276759363872,0.901210532269657,0.933913844922995
2005,"COD","36-47",36,48,0.0123785200043919,0.0059175978849889,0.890054879667788,0.928387318329517
2005,"COD","48-59",48,60,0.0123785200043919,0.00647366597003256,0.879037317534814,0.922377248939837
2015,"COD","<1",0,0.919917864476386,0.0218645331456952,0.0196911636146092,0.978135466854305,0.980308836385391
2015,"COD","1-5",0.919917864476386,6,0.014738685791425,0.0127666048568679,0.96371903554689,0.967793620833563
2015,"COD","6-11",6,12,0.015243669100871,0.0101429100431238,0.949028421462803,0.957977377197139
2015,"COD","12-23",12,24,0.0112167280467697,0.00568420762241484,0.9383834277506,0.952532034887574
2015,"COD","24-35",24,36,0.00840073911206422,0.003826252087849,0.930500313386982,0.948887407200342
2015,"COD","36-47",36,48,0.00840073911206422,0.00405500232542266,0.922683423010524,0.94503966655758
2015,"COD","48-59",48,60,0.00840073911206422,0.00439678485298236,0.914932200290787,0.940884530466193
2024,"COD","<1",0,0.919917864476386,0.0184384507455692,0.0163574564168425,0.981561549254431,0.983642543583158
2024,"COD","1-5",0.919917864476386,6,0.0125999144211487,0.0107203617594618,0.969193957734735,0.973097539673949
2024,"COD","6-11",6,12,0.0122433356410228,0.00778613947434068,0.957327790808937,0.96552086650791
2024,"COD","12-23",12,24,0.00841256814515238,0.00414125792664474,0.949274205531509,0.961522395566143
2024,"COD","24-35",24,36,0.00596980464567396,0.00264196202487136,0.943607223969308,0.958982089910994
2024,"COD","36-47",36,48,0.00596980464567396,0.00281086291832026,0.937974073179965,0.95628652271513
2024,"COD","48-59",48,60,0.00596980464567396,0.00312332046246396,0.932374551200373,0.953299733450755
