"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"BWA","Botswana",2005,"map_full",0.0739687942020688,"MAP","estimated",2386.55814676257,2.24378125896788,2384.31436550361,0.000940174561433429,1.01106893548783,0.500006041684288,FALSE,TRUE,FALSE
"COM","Comoros",2005,"map_full",1.49344288730066,"MAP","estimated",1294.11415854412,24.2301625876496,1269.88399595647,0.0187233579260956,6.01667570728837,0.977875023773357,FALSE,TRUE,FALSE
"DJI","Djibouti",2005,"map_full",0.180218583070353,"MAP","estimated",1827.74449858499,3.5965993396833,1824.1478992453,0.00196778014786407,3.15105029062501,0.900748542924068,FALSE,TRUE,FALSE
"ERI","Eritrea",2005,"map_full",0.264051516629705,"MAP","estimated",12881.6351925552,66.1922231062939,12815.4429694489,0.00513849539416773,20.5491549999896,0.951453885431987,FALSE,TRUE,FALSE
"GAB","Gabon",2005,"map_full",13.5729851145187,"MAP","estimated",2434.17926397405,390.34018391332,2043.83908006073,0.160358026908852,247.587005011858,0.999284909726468,FALSE,TRUE,FALSE
"GMB","The Gambia",2005,"map_full",6.80021050223797,"MAP","estimated",5244.84227075379,480.15533845255,4764.68693230124,0.0915480988112808,309.032888877776,0.99989435444155,FALSE,TRUE,FALSE
"GNB","Guinea-Bissau",2005,"map_full",5.47134440577292,"MAP","estimated",7767.24982587559,633.935467902709,7133.31435797288,0.0816164642716698,322.64768526346,0.996068689009789,FALSE,TRUE,FALSE
"GNQ","Equatorial Guinea",2005,"map_full",33.9046533846217,"MAP","estimated",2828.61147410932,797.754766834626,2030.8567072747,0.282030520676518,795.294411262496,0.967788791016353,FALSE,TRUE,FALSE
"MRT","Mauritania",2005,"map_full",4.08661106779518,"MAP","estimated",7861.39012005786,387.166735774968,7474.22338428289,0.049249144217781,254.427955607677,0.840119682930452,FALSE,TRUE,FALSE
"NAM","Namibia",2005,"map_full",4.5353951282014,"MAP","estimated",3618.47879220969,221.374106151812,3397.10468605788,0.0611787767357966,68.1857539029271,0.611389973186959,FALSE,TRUE,FALSE
"SWZ","Swaziland",2005,"map_full",2.77619052188256,"MAP","estimated",3247.7077903365,120.675319019243,3127.03247131726,0.0371570740995575,2.47884157083843,0.0274046526925583,FALSE,TRUE,FALSE
"ZWE","Zimbabwe",2005,"map_full",4.09485353977597,"MAP","estimated",28517.2506942995,1650.7244766955,26866.526217604,0.0578851199363856,363.485138105732,0.993374399109765,FALSE,TRUE,FALSE
"BWA","Botswana",2015,"map_full",0.0668556239324968,"MAP","estimated",2000.78906689539,1.6833516014288,1999.10571529396,0.000841343862419662,0.518384167820944,0.500006041684288,FALSE,TRUE,FALSE
"COM","Comoros",2015,"map_full",0.242446595277091,"MAP","estimated",1091.49777195399,3.20720024747472,1088.29057170652,0.00293834795625209,0.566885759376502,0.977875023773357,FALSE,TRUE,FALSE
"DJI","Djibouti",2015,"map_full",0.446388006068223,"MAP","estimated",1975.83391624404,9.25261282881919,1966.58130341522,0.00468288997002741,15.5983083618225,0.900244405140964,FALSE,TRUE,FALSE
