"iso3","regkey","status_basis","first_year_main"
"CIV","centre","national",2025
"CIV","centreest","national",2025
"CIV","centrenord","national",2025
"CIV","centreouest","national",2025
"CIV","nord","national",2025
"CIV","nordest","national",2025
"CIV","nordouest","national",2025
"CIV","ouest","national",2025
"CIV","sudouest","national",2025
"CIV","sudsansabidjan","national",2025
"CIV","villedabidjan","national",2025
"UGA","eastern2011vintage","confirmed",
"UGA","mideastern","confirmed",
"UGA","midnorth","confirmed",
"UGA","midwestern","confirmed",
"UGA","northeast","confirmed",2023
"UGA","southwestern","confirmed",
