"year","iso3","status","units"
2015,"BFA","No SMC",6
2015,"BFA","1–24%",3
2015,"BFA","50–74%",2
2015,"BFA","75–100%",2
2015,"CIV","No SMC",14
2015,"CMR","No SMC",12
2015,"MLI","National programme, area coverage not recorded",9
2015,"NER","National programme, area coverage not recorded",8
2015,"NGA","No SMC",32
2015,"NGA","1–24%",3
2015,"NGA","25–49%",2
2015,"TCD","National programme, area coverage not recorded",21
2015,"UGA","No SMC",15
2016,"BFA","No SMC",2
2016,"BFA","50–74%",1
2016,"BFA","75–100%",10
2016,"CIV","No SMC",14
2016,"CMR","No SMC",10
2016,"CMR","75–100%",2
2016,"MLI","National programme, area coverage not recorded",9
2016,"NER","National programme, area coverage not recorded",8
2016,"NGA","No SMC",32
2016,"NGA","1–24%",3
2016,"NGA","75–100%",2
2016,"TCD","National programme, area coverage not recorded",21
2016,"UGA","No SMC",15
2017,"BFA","No SMC",1
2017,"BFA","25–49%",1
2017,"BFA","75–100%",11
2017,"CIV","No SMC",14
2017,"CMR","No SMC",10
2017,"CMR","75–100%",2
2017,"MLI","National programme, area coverage not recorded",9
2017,"NER","National programme, area coverage not recorded",8
2017,"NGA","No SMC",32
2017,"NGA","1–24%",3
2017,"NGA","75–100%",2
2017,"TCD","National programme, area coverage not recorded",21
2017,"UGA","No SMC",15
2018,"BFA","No SMC",1
2018,"BFA","75–100%",12
2018,"CIV","No SMC",14
2018,"CMR","No SMC",10
2018,"CMR","75–100%",2
2018,"MLI","National programme, area coverage not recorded",9
2018,"NER","National programme, area coverage not recorded",8
2018,"NGA","No SMC",30
2018,"NGA","1–24%",4
2018,"NGA","25–49%",1
2018,"NGA","75–100%",2
2018,"TCD","National programme, area coverage not recorded",21
2018,"UGA","No SMC",15
2019,"BFA","75–100%",13
2019,"CIV","No SMC",14
2019,"CMR","No SMC",10
2019,"CMR","75–100%",2
2019,"MLI","National programme, area coverage not recorded",9
2019,"NER","National programme, area coverage not recorded",8
2019,"NGA","No SMC",29
2019,"NGA","1–24%",2
2019,"NGA","25–49%",3
2019,"NGA","75–100%",3
2019,"TCD","National programme, area coverage not recorded",21
2019,"UGA","No SMC",15
2020,"BFA","75–100%",13
2020,"CIV","No SMC",14
2020,"CMR","75–100%",2
2020,"CMR","National programme, area coverage not recorded",10
2020,"MLI","National programme, area coverage not recorded",9
2020,"NER","National programme, area coverage not recorded",8
2020,"NGA","No SMC",27
2020,"NGA","1–24%",1
2020,"NGA","25–49%",1
2020,"NGA","75–100%",8
2020,"TCD","National programme, area coverage not recorded",21
2020,"UGA","No SMC",15
2021,"BFA","75–100%",13
2021,"CIV","No SMC",14
2021,"CMR","75–100%",2
2021,"CMR","National programme, area coverage not recorded",10
2021,"MLI","National programme, area coverage not recorded",9
2021,"NER","National programme, area coverage not recorded",8
2021,"NGA","No SMC",19
2021,"NGA","25–49%",1
2021,"NGA","50–74%",1
2021,"NGA","75–100%",16
2021,"TCD","National programme, area coverage not recorded",21
2021,"UGA","No SMC",14
2021,"UGA","25–49%",1
2022,"BFA","75–100%",13
2022,"CIV","No SMC",14
2022,"CMR","75–100%",2
2022,"CMR","National programme, area coverage not recorded",10
2022,"MLI","National programme, area coverage not recorded",9
2022,"NER","National programme, area coverage not recorded",8
2022,"NGA","No SMC",16
2022,"NGA","1–24%",1
2022,"NGA","25–49%",1
2022,"NGA","50–74%",1
2022,"NGA","75–100%",18
2022,"TCD","National programme, area coverage not recorded",21
2022,"UGA","No SMC",14
2022,"UGA","75–100%",1
