"iso3","records","deaths","main_records","main_post_records","main_post_deaths","national_post_records","national_post_deaths","surveys","admin1_units","entry_years"
"BFA",186763,2882,186763,68815,503,68815,503,3,39,"2000-2021"
"CIV",153794,2308,153794,0,0,0,0,3,35,"2007-2021"
"CMR",181804,3028,181804,6981,103,6981,103,4,46,"2000-2018"
"MLI",374353,6243,231816,0,0,133179,1754,5,41,"2002-2023"
"NER",116308,2300,116308,0,0,0,0,2,16,"2002-2012"
"NGA",872061,17013,872061,82439,1640,82439,1640,6,160,"2000-2023"
"TCD",241126,4074,115237,0,0,125889,1966,2,41,"2009-2019"
"UGA",161461,2140,161461,0,0,0,0,3,32,"2002-2016"
