"age_band","post_records","pre_season_records","pre_season_deaths"
"<1",27832,2584,106
"1-5",24574,727,13
"6-11",23791,427,3
"12-23",20282,0,0
"24-35",21213,0,0
"36-47",20480,0,0
"48-59",20063,0,0
