"year","derived_rate","extended_model_rate"
2000,1.32111458346007,1.19445321376079
2001,1.34602458885925,1.22056309914987
2002,1.38551089903028,1.17335528670276
2003,1.41469636836029,1.2049872594341
2004,1.44461480813562,1.20181331892885
2005,1.52564820105577,1.2359265992723
2006,1.56880032568307,1.19342238788958
2007,1.54106272464495,1.13796847436839
2008,1.4007919624443,1.06375739138633
2009,1.3583796512201,1.00845191624006
2010,1.25572098388928,0.894701786479568
2011,1.18204474294263,0.84674975060592
2012,1.1923187504963,0.839842745919592
2013,1.23770795975299,0.790102392373991
2014,1.21093091483788,0.758750268699077
2015,1.0075405831421,0.695308854989336
2016,0.927594311039687,0.672350243848567
2017,0.835574626918453,0.580964609659022
2018,0.722632742466716,0.551027933159454
2019,0.690233055308756,0.549908177125084
2020,0.842319548402723,0.535386170476861
2021,0.626042276614377,0.531480137350833
2022,0.65226518102,0.467008247331382
2023,0.557716625287086,0.482357494678527
2024,0.45672910296332,0.42048075973523
